%% MetaTwins_RDMsc_training for 'hubinglun': starting at _nofeedback (       48.0000000000).6-Apr-2019 11:31:58 for '7.375215e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  13  4    4   1    0    6    2.499269   0    0  1.999665   4.664952 0.649663   5.431286  0   0    5.431286 0.568206   4  
   2  13  4    4   1    0    8    6.497455   0    0  2.032975   8.679646 0.455668   9.262866  0   0    9.262866 0.734825   4  
   3  12  2    3   0    0    6   10.495636   0    0  2.032977  12.677990 0.837594  13.627550  0   0   13.627550 1.368316   5  
   4  12  4    1   0    0    8   15.493377   0    0  1.216847  16.876020 0.316348  17.309220  0   0   17.309220 0.684371   3  
   5  13  2    1   0    0    8   18.492001   0    0  1.549754  20.157886 0.319434  20.591050  0   0   20.591050 1.401179   4  
   6  13  4    3   0    0    6   22.506850   0    0  2.016355  24.739181 0.538222  25.405528  0   0   25.405528 0.601551   4  
   7  14  3    3   1    0    6   26.505040   0    0  1.982948  28.637403 0.389894  29.153837  0   0   29.153837 0.851428   4  
   8  14  3    3   1    0    6   30.503214   0    0  2.082963  32.702101 0.320524  33.135353  0   0   33.135353 0.868095   4  
   9  13  4    4   1    0    6   34.501402   0    0  2.332947  37.000274 0.457214  37.583339  0   0   37.583339 1.418286   5  
  10  13  3    2   0    0    5   39.499139   0    0  2.366504  42.031322 0.453661  42.597730  0   0   42.597730 1.401629   5  
  11  13  2    2   1    0    4   44.496855   0    0  1.733164  46.345859 1.226973  47.695396  0   0   47.695396 1.301698   5  
  12  13  2    3   0    0    3   49.494593   0    0  1.749823  51.427051 0.787763  52.343287  0   0   52.343287 0.651539   4  
  13  13  1    1   1    0    2   53.492780   0    0  1.866118  55.508536 0.661613  56.291515  0   0   56.291515 0.701497   4  
  14  13  1    2   0    0    1   57.507618   0    0  1.882924  59.523289 0.505566  60.156423  0   0   60.156423 0.851440   4  
  15  13  1    3   0    0    3   61.505799   0    0  1.799717  63.454791 0.955310  64.537756  0   0   64.537756 1.468282   5  
  16  14  3    2   0    0    2   66.503539   0    0  2.349599  68.985746 0.606224  69.718740  0   0   69.718740 1.285025   5  
  17  14  2    4   0    0    6   71.501271   0    0  1.883039  73.550338 1.435129  75.099628  0   0   75.099628 0.901871   5  
  18  15  4    2   0    0    8   76.498997   0    0  1.966240  78.597980 0.969265  79.680874  0   0   79.680874 1.318355   5  
  19  15  1    4   0    0    8   81.496735   0    0  1.799574  83.445847 0.642826  84.212160  0   0   84.212160 0.784803   4  
  20  16  1    4   0    0    8   85.494919   0    0  1.966205  87.593967 0.627641  88.343625  0   0   88.343625 0.651524   4  
  21  16  2    2   1    0    2   89.493108   0    0  2.182754  91.825385 0.988124  92.941544  0   0   92.941544 1.051784   5  
  22  16  4    4   1    0    8   94.507485   0    0  1.566336  96.206716 0.522550  96.856421  0   0   96.856421 1.151300   4  
  23  14  3    2   0    0    1   98.505677   0    0  1.766130 100.438128 0.521202 101.071179  0   0  101.071179 0.934735   4  
  24  14  3    3   1    0    8  102.503852   0    0  1.283415 103.969862 0.383106 104.469640  0   0  104.469640 0.534446   3  
  25  14  3    2   0    0    2  105.502489   0    0  2.082761 107.734756 0.829972 108.684386  0   0  108.684386 1.318332   5  
  26  14  2    2   1    0    1  110.500232   0    0  2.082898 112.715900 0.875089 113.715433  0   0  113.715433 1.285027   5  
  27  14  1    4   0    0    6  115.497949   0    0  2.216433 117.846740 0.526375 118.496605  0   0  118.496605 0.501593   4  
  28  14  2    3   0    0    6  119.496138   0    0  1.866434 121.528560 0.742259 122.394831  0   0  122.394831 0.601540   4  
  29  15  3    3   1    0    6  123.494325   0    0  1.866348 125.526733 0.831742 126.476305  0   0  126.476305 0.518246   4  
  30  15  2    1   0    0    6  127.492495   0    0  1.366902 129.041811 1.096330 130.257929  0   0  130.257929 0.734810   4  
  31  15  3    3   1    0    6  131.507359   0    0  1.233119 132.889998 0.447833 133.456468  0   0  133.456468 0.551120   3  
  32  15  4    4   1    0    8  134.505992   0    0  1.499676 136.138538 0.704013 136.954877  0   0  136.954877 1.051344   4  
  33  14  4    4   1    0    8  138.504173   0    0  2.032983 140.653193 0.739385 141.519470  0   0  141.519470 1.484937   5  
  34  14  4    2   0    0    6  143.501896   0    0  2.299541 145.984105 0.704934 146.817063  0   0  146.817063 1.185078   5  
  35  14  3    3   1    0    8  148.499693   0    0  1.333090 149.982232 0.428457 150.532049  0   0  150.532049 1.467821   4  
  36  14  1    1   1    0    8  152.497814   0    0  1.149959 153.813889 0.324586 154.263682  0   0  154.263682 0.734370   3  
  37  13  2    3   0    0    8  155.496463   0    0  1.299859 156.962443 0.193802 157.278973  0   0  157.278973 0.717714   3  
  38  13  4    4   1    0    8  158.495080   0    0  1.133401 159.761102 0.201519 160.077712  0   0  160.077712 0.917612   3  
  39  13  4    2   0    0    8  161.493723   0    0  1.116747 162.759837 0.216322 163.093008  0   0  163.093008 0.900954   3  
  40  13  2    1   0    0    8  164.509031   0    0  1.150356 165.841761 0.065003 166.025010  0   0  166.025010 0.984246   3  
  41  14  2    1   0    0    1  167.507665   0    0  2.066690 169.773298 0.583507 170.472996  0   0  170.472996 0.534902   4  
  42  14  3    3   1    0    8  171.505852   0    0  1.066684 172.738481 0.267007 173.121784  0   0  173.121784 0.884306   3  
  43  14  3    4   0    0    2  174.504483   0    0  1.883052 176.553563 1.334714 178.002891  0   0  178.002891 1.001840   5  
  44  14  1    1   1    0    8  179.502216   0    0  1.183349 180.801625 0.390420 181.318063  0   0  181.318063 0.684393   3  
  45  14  3    3   1    0    8  182.500853   0    0  0.916688 183.567041 0.163719 183.850247  0   0  183.850247 1.150834   3  
  46  13  3    2   0    0    3  185.499494   0    0  1.949651 187.615145 1.117367 188.847978  0   0  188.847978 1.151745   5  
  47  13  1    4   0    0    6  190.497226   0    0  1.633224 192.279761 0.958536 193.362595  0   0  193.362595 0.634860   4  
  48  14  2    3   0    0    8  194.495412   0    0  1.799750 196.477843 0.143970 196.744390  0   0  196.744390 1.251252   4  
  49  14  1    1   1    0    6  198.493587   0    0  1.683129 200.342636 0.483082 200.942484  0   0  200.942484 1.051346   4  
  50  14  1    3   0    0    6  202.508438   0    0  1.916507 204.574094 0.645830 205.340491  0   0  205.340491 0.668187   4  
  51  14  1    2   0    0    2  206.506624   0    0  2.082957 208.755549 0.370711 209.238712  0   0  209.238712 0.768135   4  
  52  15  3    3   1    0    8  210.504805   0    0  1.433304 212.104086 0.098440 212.320759  0   0  212.320759 0.684281   3  
  53  15  1    1   1    0    1  213.503450   0    0  2.232926 215.868874 1.014063 217.001856  0   0  217.001856 1.001828   5  
  54  14  2    3   0    0    3  218.501176   0    0  1.699776 220.366992 1.160566 221.649750  0   0  221.649750 1.351656   5  
  55  14  1    2   0    0    2  223.498904   0    0  2.366162 225.997768 0.931104 227.047297  0   0  227.047297 0.951847   5  
  56  15  1    3   0    0    8  228.496636   0    0  1.499875 230.195863 0.297376 230.612346  0   0  230.612346 1.384514   4  
  57  15  2    3   0    0    8  232.494827   0    0  1.883093 234.527073 0.453398 235.093639  0   0  235.093639 0.901415   4  
  58  16  4    3   0    0    6  236.493012   0    0  1.499914 238.158915 0.969280 239.241752  0   0  239.241752 0.751484   4  
  59  16  4    2   0    0    2  240.507846   0    0  2.016259 242.723506 1.193305 244.039583  0   0  244.039583 0.968492   5  
  60  18  4    2   0    0    4  245.505574   0    0  2.282903 247.904356 1.886657 249.903586  0   0  249.903586 1.102216   6  
]; % This session completes at 06-Apr-2019 11:37:18, 253.003s after session start, 249s on 60 trials, totally 320.041s, correctness is 40.000%.

