%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at huxulun (       48.0000000000).6-Apr-2019 12:31:307.375215e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   14   1   1    3      1      2.499016 2.000717   5.014542 0.247874   5.397694 2.601547   6  
   2  4   14   2   0    2      1      8.496291 2.149616  11.161759 0.332896  11.611533 2.384989   6  
   3  3   14   3   1    3      1     14.493561 2.382694  17.392252 0.001085  17.525525 2.468262   6  
   4  3   14  -1   0    1      1     20.507503 0.000000  23.039696 0.330212  23.506135 2.501596   6  
   5  4   14   2   0    2      1     26.504766 2.299300  29.320155 0.338067  29.786612 2.218394   6  
   6  4   14   3   0    5      2     32.502043 1.799633  34.817658 0.983614  35.917160 2.085121   6  
   7  3   14   3   1    5      3     38.499309 2.315980  41.331368 0.950488  42.414200 1.585338   6  
   8  3   14   3   1    1      1     44.496582 2.432737  47.445253 0.117049  47.695135 2.301684   6  
   9  3   14   1   0    2     -1     50.493856 2.366111  53.375886 0.001266  53.509149 2.484937   6  
  10  1   14   1   1    6      8     56.507800 1.566518  58.590181 0.950169  59.673028 2.335000   6  
  11  4   14   4   1    2      4     62.505070 2.182773  65.203917 1.865837  67.202938 0.802360   6  
  12  1   14   1   1    7      1     68.502346 1.349758  70.368157 1.087407  71.584275 2.418296   6  
  13  2   14   2   1    6      7     74.499611 1.166629  76.182176 0.598014  76.915181 3.084672   6  
  14  2   14   2   1    5      7     80.496883 1.299781  82.312722 0.647692  83.095704 2.901417   6  
  15  1   14   1   1    6      8     86.494166 1.366634  88.376632 0.433328  88.943049 3.051336   6  
  16  2   14   2   1    6      7     92.508102 1.599619  94.623785 1.178459  95.923203 2.085126   6  
  17  1   14   1   1    5      7     98.505367 1.133310 100.154617 0.242237 100.521110 3.484488   6  
  18  3   14  -1   0    2      4    104.502649 0.000000 107.034836 1.012027 108.184307 1.818568   6  
  19  1   14   1   1    5      7    110.499901 1.299868 112.315759 0.790788 113.231999 2.768139   6  
  20  3   14   4   0    3      4    116.497187 2.149405 119.162635 0.872040 120.162185 1.835232   6  
  21  2   14   4   0    5      7    122.494463 1.616383 124.626813 1.262398 126.026192 1.968496   6  
  22  3   14   4   0    2      4    128.508387 2.349454 131.373745 0.148018 131.656958 2.351665   6  
  23  3   14   4   0    3      1    134.505662 2.232786 137.254420 0.237388 137.620915 2.384984   6  
  24  4   14   4   1    2      1    140.502941 2.399408 143.418273 0.001244 143.551544 2.451628   6  
  25  4   14   2   0    2      3    146.500202 2.182859 149.198980 0.001067 149.332247 2.668187   6  
  26  1   14   1   1    6      8    152.497476 1.449788 154.463255 0.868386 155.462795 2.534912   6  
  27  1   14   1   1    2      8    158.511484 2.082910 161.110234 0.035808 161.260179 2.751464   6  
  28  4   14   2   0    2      7    164.508682 2.332770 167.357396 0.391711 167.873819 2.135096   6  
  29  4   14   1   0    6      8    170.505963 1.616295 172.638318 0.617445 173.371321 2.634870   6  
  30  1   14   1   1    5      7    176.503225 1.766241 178.785527 1.219752 180.134913 1.868553   6  
  31  4   14   2   0    3      7    182.500507 1.949623 184.966057 1.416023 186.515333 1.485404   6  
  32  2   14   4   0    2      3    188.497783 2.116171 191.129913 0.605019 191.862924 2.135075   6  
  33  2   14   2   1    4      2    194.511715 1.899501 196.927284 1.214821 198.276677 1.735255   6  
  34  4   14   3   0    2      1    200.508980 2.349314 203.374344 0.649418 204.157332 1.851887   6  
  35  4   14   4   1    6      4    206.506255 1.316532 208.338740 0.679154 209.155042 2.851443   6  
  36  3   14   3   1    5      7    212.503528 1.882926 214.902444 0.610131 215.652102 2.351649   6  
  37  1   14   1   1    5      8    218.500804 1.249953 220.266665 1.097099 221.499436 2.501607   6  
  38  3   14   3   1    4      3    224.498076 1.882809 226.896988 0.635820 227.663311 2.334989   6  
  39  2   14   2   1    4      7    230.512016 1.616338 232.644369 1.057680 233.827168 2.185074   6  
  40  3   14  -1   0    1      1    236.509278 0.000000 239.024819 0.783492 239.941048 2.068468   6  
  41  3   14   1   0    4      3    242.506549 1.649774 244.672237 1.119489 245.921667 2.085113   6  
  42  4   14   3   0    5      3    248.503834 1.799663 250.819438 1.128595 252.068885 1.935169   6  
  43  2   14   2   1    6      8    254.501098 1.116494 256.133697 0.809171 257.066604 2.934725   6  
  44  3   14   3   1    5      3    260.498368 1.766313 262.780671 1.048071 263.963468 2.035136   6  
  45  3   14   1   0    2      5    266.512302 2.266088 269.294376 0.281385 269.710858 2.301669   6  
  46  1   14   2   0    5      5    272.509581 1.599800 274.625294 0.977156 275.724786 2.285017   6  
  47  4   14   4   1    5      5    278.506849 1.716315 280.739170 1.670772 282.538354 1.468735   6  
  48  2   14   2   1    6      7    284.504127 1.049910 286.070071 0.814695 287.019646 2.984703   6  
  49  3   14   4   0    5      7    290.501396 1.449941 292.467166 0.673803 293.266807 2.734821   6  
  50  1   14   1   1    7      7    296.498681 0.883480 297.898029 0.840238 298.864262 3.134631   6  
  51  3   14   3   1    2      1    302.512600 2.149042 305.178054 0.302730 305.611200 2.401633   6  
  52  2   14   4   0    5      8    308.509887 1.299754 310.325724 1.011744 311.475195 2.534903   6  
  53  1   14   1   1    6      8    314.507165 0.850032 315.873186 1.492971 317.505783 2.501602   6  
  54  2   14   2   1    5      7    320.504418 1.283204 322.303609 1.656644 324.086137 1.918524   6  
  55  2   14   2   1    4      7    326.501699 1.466463 328.484132 0.824591 329.433694 2.568220   6  
  56  2   14   2   1    4      7    332.498964 1.666403 334.681317 1.695393 336.497162 1.502029   6  
  57  4   14   4   1    3      3    338.512909 2.199366 341.228337 0.425757 341.778089 2.235036   6  
  58  1   14   1   1    4      8    344.510171 1.833000 346.859114 0.800416 347.792028 2.218376   6  
  59  1   14   3   0   -1      1    350.507451 0.267007 351.290424 0.000000 353.289460 2.718227   6  
  60  4   14   2   0    2      1    356.504726 2.166128 359.186842 1.253770 360.569533 1.435414   6  
  61  2   14   2   1    2      1    362.501999 2.299347 365.317378 0.082527 365.517284 2.484941   6  
  62  1   14   1   1    5      8    368.515925 1.166475 370.198488 1.747334 372.080967 1.935188   6  
  63  1   14   1   1    5      8    374.513199 1.116618 376.145793 1.237749 377.511840 2.501591   6  
  64  4   14   3   0    2      2    380.510469 2.382538 383.409138 0.295156 383.842296 2.168407   6  
  65  2   14   2   1    4      8    386.507744 1.816253 388.840014 0.802359 389.772928 2.235050   6  
  66  2   14   2   1    4      4    392.505024 1.433113 394.454129 0.663180 395.253762 2.751493   6  
  67  3   14   4   0    2      1    398.502292 2.332663 401.351002 0.415336 401.884088 2.118440   6  
  68  2   14   2   1    6      8    404.516211 1.183230 406.215452 0.512605 406.865164 3.151292   6  
  69  2   14   2   1    2      7    410.513482 2.232775 413.262232 0.194475 413.578768 2.434958   6  
  70  3   14   1   0    1      1    416.510769 2.482626 419.509407 0.195693 419.842584 2.168416   6  
  71  1   14   1   1    2      8    422.508051 0.999863 424.024014 1.277643 425.423377 2.584887   6  
  72  1   14   1   1    5      8    428.505303 1.066641 430.087929 0.489447 430.704310 3.301236   6  
  73  3   14   3   1    6      8    434.502585 1.016521 436.035229 0.409952 436.584985 3.417827   6  
  74  3   14   3   1    6      7    440.516516 1.100038 442.132451 0.378327 442.648890 3.367853   6  
  75  2   14   2   1    2      2    446.513805 2.382754 449.412486 0.164470 449.712346 2.301677   6  
  76  4   14   1   0    2      2    452.511055 2.266198 455.293141 0.800884 456.226054 1.785238   6  
  77  1   14   3   0    5      2    458.508338 1.916202 460.940569 0.909776 461.973423 2.035138   6  
  78  2   14   3   0    5      3    464.488953 1.932823 466.937844 1.654051 468.720361 1.268651   6  
  79  1   14   1   1    4      8    470.486237 1.599711 472.601938 0.662772 473.401556 2.584733   6  
  80  3   14   4   0    1      4    476.500146 2.399299 479.415507 0.000840 479.548765 2.451460   6  
  81  2   14   2   1    2      7    482.497419 2.249449 485.262847 0.155421 485.546048 2.451443   6  
  82  4   14   2   0    4      2    488.494712 1.816200 490.826984 1.143187 492.093068 1.901714   6  
  83  4   14   4   1    1      2    494.491989 2.449178 497.457297 0.098220 497.690524 2.301531   6  
  84  1   14   1   1    5      8    500.489253 1.149921 502.155166 1.237812 503.521214 2.468113   6  
  85  3   14   2   0    3      7    506.486526 2.116160 509.118664 0.845127 510.084887 1.901711   6  
  86  2   14   2   1    5      8    512.500437 1.283165 514.299644 0.749712 515.165915 2.834615   6  
  87  4   14   2   0    2      3    518.497734 2.382718 521.396423 0.000871 521.529685 2.468135   6  
  88  4   14   2   0    5      6    524.494999 1.849569 526.860593 0.558701 527.543630 2.451449   6  
  89  4   14   4   1    2      2    530.492281 2.282806 533.291004 0.945492 534.373843 1.618530   6  
  90  4   14   2   0    4      2    536.489553 1.899616 538.905117 0.979635 540.004621 1.985023   6  
]; % This session completes at 06-Apr-2019 12:40:53, 544.007s after session start, 540s on 90 trials, totally 562.373s.

