%% MetaTwins_RDMsc_training for 'huxulun': starting at _nofeedback (       48.0000000000).6-Apr-2019 12:05:04 for '7.375215e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  13  2    2   1    0    4    2.498868   0    0  1.833713   4.464636 0.561593   5.147650  0   0    5.147650 0.851435   4  
   2  13  3    3   1    0    6    6.497042   0    0  1.767816   8.396185 0.199478   8.729357  0   0    8.729357 1.267916   4  
   3  12  1    1   1    0    6   10.495227   0    0  1.550593  12.177785 0.248524  12.560960  0   0   12.560960 1.434498   4  
   4  12  2    4   0    0    3   14.493401   0    0  2.183531  16.825686 0.963468  17.925180  0   0   17.925180 1.068456   5  
   5  12  1    1   1    0    6   19.507795   0    0  1.083977  20.723910 0.008379  20.857175  0   0   20.857175 1.150841   3  
   6  12  4    4   1    0    7   22.506428   0    0  2.450068  25.088587 0.001074  25.221859  0   0   25.221859 0.784805   4  
   7  11  3    2   0    0    4   26.504619   0    0  2.350114  28.986816 0.113375  29.236707  0   0   29.236707 0.768130   4  
   8  11  2    2   1    0    3   30.502793   0    0  2.400183  33.068163 0.348817  33.551398  0   0   33.551398 1.451632   5  
   9  11  2    2   1    0    4   35.500521   0    0  1.350531  37.049688 1.249971  38.432526  0   0   38.432526 0.568242   4  
  10  10  2    4   0    0    6   39.498713   0    0  1.250631  40.897934 0.376498  41.397832  0   0   41.397832 0.601099   3  
  11  10  3    2   0    0    2   42.497335   0    0  2.316840  44.962753 0.395696  45.495980  0   0   45.495980 0.501593   4  
  12  11  4    4   1    0    2   46.495518   0    0  1.833732  48.494614 0.851104  49.477492  0   0   49.477492 0.518267   4  
  13  11  2    2   1    0    1   50.493704   0    0  2.416608  53.209130 1.726675  55.058294  0   0   55.058294 0.935641   6  
  14  10  3    3   1    0    4   56.507648   0    0  2.150082  58.839909 1.161989  60.122670  0   0   60.122670 0.885201   5  
  15  10  1    2   0    0    1   61.505367   0    0  2.116973  63.854256 1.761044  65.736770  0   0   65.736770 1.268822   6  
  16  10  4    2   0    0    4   67.502636   0    0  2.300154  70.017994 1.087426  71.234281  0   0   71.234281 0.768585   5  
  17  11  3    4   0    0    2   72.500365   0    0  2.466825  75.115839 0.667452  75.915487  0   0   75.915487 1.085110   5  
  18  11  1    1   1    0    6   77.498096   0    0  1.300718  78.930779 0.913183  79.963645  0   0   79.963645 1.034683   4  
  19  11  2    2   1    0    2   81.496267   0    0  2.383578  84.045116 0.893856  85.061324  0   0   85.061324 0.935178   5  
  20  10  4    2   0    0    3   86.494004   0    0  2.000344  88.626379 1.169247  89.925788  0   0   89.925788 1.068438   5  
  21  10  3   -1   0    0    3   91.508396   0    0  0.000000  94.023929 0.000600  94.140525  0   0   94.140525 0.868103   4  
  22  10  4    2   0    0    4   95.506564   0    0  2.383579  98.038750 0.823624  98.988325  0   0   98.988325 1.018470   5  
  23  11  3    3   1    0    1  100.504294   0    0  2.133517 102.836455 0.821889 103.786145  0   0  103.786145 1.218388   5  
  24  11  1    4   0    0    4  105.502026   0    0  1.783719 107.467656 1.006834 108.600610  0   0  108.600610 1.401650   5  
  25  11  4    2   0    0    3  110.499760   0    0  2.100288 112.782059 1.243466 114.148097  0   0  114.148097 0.851880   5  
  26  12  4    2   0    0    1  115.497487   0    0  2.466709 118.112960 1.519398 119.762216  0   0  119.762216 1.235502   6  
  27  12  1    1   1    0    7  121.494758   0    0  1.500561 123.127348 0.153335 123.410555  0   0  123.410555 0.584431   3  
