%% MetaTwins_RDMsc_training for 'taizhenglin': starting at _feedback (       48.0000000000).6-Apr-2019 16:29:03 for '7.375217e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  40  3    3   1    0    6    2.498890   0    0  1.333667   3.981148 0.670361   4.764135 0.999360   5.763495   6.762857 1.236371   6  
   2  40  2    2   1    0    6    8.495079   0    0  0.767252   9.411279 0.146966   9.677659 0.999374  10.677033  11.676394 1.319017   5  
   3  36  2    2   1    0    6   13.508563   0    0  0.900512  14.574559 0.574640  15.257453 0.999363  16.256816  17.256249 0.752642   5  
   4  36  1    1   1    0    6   18.505384   0    0  1.083745  19.721120 0.132420  19.971105 0.999381  20.970486  21.969833 1.035866   5  
   5  32  4    4   1    0    6   23.502184   0    0  1.100640  24.718093 0.082915  24.917952 0.999378  25.917330  26.916696 1.085821   5  
   6  32  3    3   1    0    6   28.499012   0    0  1.234409  29.864827 0.055676  30.031369 0.999360  31.030729  32.030101 0.969241   5  
   7  28  4    4   1    0    6   33.512485   0    0  0.834040  34.461920 0.109175  34.695075 0.999360  35.694436  36.693800 1.319019   5  
   8  28  3    3   1    0    6   38.509306   0    0  1.150528  39.808592 0.129042  40.058314 0.999377  41.057691  42.057065 0.952563   5  
   9  25  4    4   1    0    7   43.506122   0    0  0.917189  44.538786 0.135178  44.788632 0.999366  45.787998  46.787370 1.219083   5  
  10  25  1    1   1    0    8   48.502944   0    0  0.700641  49.352416 0.172776  49.635573 0.999343  50.634917  51.634292 1.368968   5  
  11  22  3    4   0    0    7   53.516413   0    0  0.967034  54.599113 0.149192  54.865545 0.999375  55.864920  56.864289 1.152455   5  
  12  22  2    2   1    0    6   58.513236   0    0  0.934022  59.579113 0.101514  59.795829 0.999282  60.795111  61.794484 1.219071   5  
  13  22  4    4   1    0    6   63.493398   0    0  0.950553  64.559392 0.068939  64.742602 0.999353  65.741955  66.741332 1.252168   5  
  14  19  4    4   1    0    6   68.490215   0    0  0.967225  69.572931 0.058385  69.756079 0.999364  70.755444  71.754807 1.235545   5  
  15  19  3    4   0    0    6   73.503695   0    0  1.300275  74.919461 0.019671  75.052712 0.999356  76.052069  77.051506 0.952423   5  
  16  19  1    2   0    0    6   78.500520   0    0  1.483427  80.166112 0.118888  80.399368 0.999294  81.398662  82.398024 0.602688   5  
  17  21  3    2   0    0    6   83.497335   0    0  2.299814  85.928910 0.112789  86.162300 0.999359  87.161660  88.161019 0.836535   6  
  18  21  3    3   1    0    6   89.493499   0    0  1.433508  91.059190 0.081869  91.259048 0.999370  92.258419  93.257779 0.735992   5  
  19  21  2    2   1    0    5   94.506990   0    0  0.950645  95.572746 0.145180  95.839470 0.999361  96.838831  97.838195 1.169070   5  
  20  18  3    2   0    0    6   99.503804   0    0  1.916732 101.552544 0.122446 101.785760 0.999282 102.785043 103.784414 1.219698   6  
  21  18  2    2   1    0    6  105.500045   0    0  1.416690 107.032340 0.126220 107.282171 0.999364 108.281535 109.280903 0.719412   5  
  22  18  4    4   1    0    5  110.496799   0    0  1.333636 111.945875 0.117902 112.179065 0.999363 113.178428 114.177796 0.819330   5  
  23  16  2    2   1    0    6  115.510272   0    0  0.783877 116.426377 0.170613 116.709595 0.999286 117.708881 118.708246 1.302471   5  
  24  16  4    4   1    0    5  120.507087   0    0  1.167173 121.789688 0.118986 122.022784 0.999366 123.022151 124.021529 0.985890   5  
  25  14  1    2   0    0    6  125.503918   0    0  1.616935 127.252789 0.087914 127.452671 0.999367 128.452038 129.451402 0.552832   5  
  26  14  4    2   0    0    6  130.500723   0    0  1.234860 131.866525 0.089454 132.066407 0.999352 133.065759 134.065129 0.935931   5  
  27  15  3    4   0    0    5  135.497545   0    0  1.450334 137.063212 0.153519 137.329701 0.999455 138.329156 139.328439 0.669540   5  
  28  15  2    2   1    0    5  140.511029   0    0  1.850013 142.493101 0.216326 142.826209 0.999358 143.825567 144.824937 1.186409   6  
  29  15  2    2   1    0    5  146.507203   0    0  1.566835 148.222596 0.137712 148.472622 0.999369 149.471991 150.471342 0.536185   5  
  30  14  3    4   0    0    5  151.504023   0    0  1.266980 152.886467 0.059158 153.069678 0.999381 154.069059 155.068416 0.935933   5  
  31  14  2    2   1    0    6  156.500840   0    0  1.516823 158.166315 0.159356 158.449595 0.999360 159.448955 160.448338 0.552823   5  
  32  14  4    4   1    0    5  161.514312   0    0  2.233079 163.862911 0.977871 164.962128 0.999361 165.961489 166.960846 1.053796   7  
  33  13  2    2   1    0    6  168.493202   0    0  1.350437 170.008879 0.111576 170.242088 0.999367 171.241455 172.240824 0.752507   5  
  34  13  1    4   0    0    5  173.490023   0    0  1.383451 174.989123 0.118671 175.222239 0.999476 176.221715 177.220976 0.769200   5  
  35  13  4    4   1    0    5  178.503500   0    0  1.533504 180.169111 0.240338 180.518884 0.999362 181.518246 182.517579 1.486103   6  
  36  13  2    4   0    0    5  184.499680   0    0  1.716586 186.331841 0.168255 186.615069 0.999295 187.614364 188.613730 1.386173   6  
  37  13  1    4   0    0    5  190.495941   0    0  1.616783 192.261502 0.233597 192.611178 0.999448 193.610626 194.609894 1.386216   6  
  38  14  3    2   0    0    6  196.492034   0    0  2.416183 199.090390 0.442130 199.656689 0.999379 200.656068 201.655430 1.336888   7  
  39  14  4    3   0    0    5  203.504245   0    0  2.183199 205.802773 0.469978 206.385823 0.999279 207.385102 208.384469 0.620099   6  
  40  15  3    4   0    0    5  209.500414   0    0  1.102108 210.716319 0.155361 210.982812 0.999364 211.982176 212.981532 1.019212   5  
  41  15  1    4   0    0    5  214.497241   0    0  1.300451 215.913009 0.628697 216.662535 0.999363 217.661899 218.661252 1.336324   6  
  42  16  1    4   0    0    5  220.510073   0    0  2.416329 223.041806 1.215554 224.374275 0.999378 225.373653 226.373022 0.637375   7  
  43  16  4    4   1    0   -1  227.505619   0    0  2.466201 230.087313 0.000000 232.085957 0.999532 233.085490 234.084771 0.921173   8  
  44  16  1    4   0    0    5  235.500528   0    0  2.349783 237.982294 0.824091 238.915033 0.999364 239.914397 240.913764 1.087100   7  
  45  18  4    4   1    0    5  242.512718   0    0  1.899988 244.528115 1.559983 246.210380 0.999370 247.209751 248.209104 0.803957   7  
  46  18  1    4   0    0   -1  249.508269   0    0  2.166427 251.790159 0.000000 253.788812 0.999432 254.788244 255.787626 1.220986   8  
  47  18  4    4   1    0    6  257.503190   0    0  2.433050 260.068228 0.889803 261.067583 0.999365 262.066948 263.066391 0.937134   7  
  48  16  1    2   0    0    5  264.515400   0    0  1.899994 266.547433 0.782764 267.446852 0.999370 268.446222 269.445595 0.570128   6  
  49  16  3   -1   0    0    5  270.494905   0    0  0.000000 273.176548 1.479597 274.775525 0.999367 275.774892 276.774267 1.220779   8  
  50  16  1    2   0    0    5  278.489817   0    0  1.883273 280.488537 0.561391 281.171455 0.999362 282.170817 283.170170 0.819830   6  
  51  18  1    3   0    0    5  284.502724   0    0  2.366305 286.984423 0.311148 287.417475 0.999369 288.416844 289.416204 0.586751   6  
  52  18  1    2   0    0    5  290.498845   0    0  1.650183 292.281056 0.290059 292.680793 0.999360 293.680154 294.679526 1.319634   6  
  53  20  2    2   1    0    5  296.495108   0    0  2.449563 299.110030 1.219387 300.442512 0.999359 301.441871 302.441242 0.554063   7  
  54  20  2    2   1    0    5  303.507223   0    0  2.349563 305.972388 0.333669 306.422035 0.999368 307.421402 308.420768 0.586788   6  
  55  18  3    2   0    0    5  309.503408   0    0  1.800020 311.418850 1.665359 313.201050 0.999377 314.200427 315.199778 0.803961   7  
  56  18  3    2   0    0    5  316.498951   0    0  2.466296 319.097319 0.818803 320.030039 0.999362 321.029401 322.028775 0.970500   7  
  57  20  1    2   0    0    5  323.511168   0    0  2.016552 325.643127 1.044911 326.809129 0.999292 327.808421 328.807786 1.203695   7  
  58  20  2    2   1    0    5  330.506697   0    0  1.949865 332.588717 0.571773 333.271692 0.999284 334.270976 335.270351 0.736681   6  
  59  20  2    2   1    0    6  336.502889   0    0  2.116506 338.734804 0.382311 339.234558 0.999287 340.233845 341.233283 0.769933   6  
  60  18  4    4   1    0    5  342.499064   0    0  1.450166 344.064732 0.861196 345.047454 0.999349 346.046804 347.046181 0.953211   6  
]; % This session completes at 06-Apr-2019 16:35:14, 350.01s after session start, 346s on 60 trials, totally 371.463s, correctness is 55.000%.

