%% MetaTwins_RDMsc_training for 'taizhenglin': starting at _nofeedback (       48.0000000000).6-Apr-2019 16:45:05 for '7.375217e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  15  1    3   0    0    5    2.498607   0    0  1.633474   4.247547 0.652163   5.013658  0   0    5.013658 0.985272   4  
   2  15  4    4   1    0    2    6.496131   0    0  1.433535   8.078496 0.200342   8.394844  0   0    8.394844 0.601531   3  
   3  15  4    4   1    0    3    9.494140   0    0  1.783447  11.392926 1.234553  12.742086  0   0   12.742086 1.252374   5  
   4  14  3    4   0    0    3   14.507694   0    0  1.633400  16.273089 1.147291  17.539023  0   0   17.539023 1.468923   5  
   5  14  2    3   0    0    3   19.504440   0    0  1.899891  21.519822 1.691008  23.318681  0   0   23.318681 0.686074   5  
   6  15  3    3   1    0    2   24.501254   0    0  1.716654  26.333428 1.240662  27.682638  0   0   27.682638 1.318941   5  
   7  15  4    4   1    0    3   29.514735   0    0  1.800008  31.463496 1.315769  32.895909  0   0   32.895909 1.119153   5  
   8  14  3    3   1    0    2   34.511558   0    0  2.399509  37.026491 1.220763  38.359104  0   0   38.359104 0.652766   5  
   9  14  1    3   0    0   -1   39.491721   0    0  2.332929  41.940162 0.000000  43.938781  0   0   43.938781 1.053058   6  
  10  14  1    3   0    0    2   45.487887   0    0  1.616913  47.220132 0.468644  47.803077  0   0   47.803077 1.184999   4  
  11  14  4    4   1    0    3   49.502004   0    0  1.067233  50.701182 0.811440  51.633970  0   0   51.633970 1.368252   4  
  12  14  1    2   0    0    3   53.499465   0    0  2.233734  55.881290 0.274207  56.264371  0   0   56.264371 0.735351   4  
  13  14  2    3   0    0    6   57.496926   0    0  2.149788  59.762141 0.357779  60.245165  0   0   60.245165 0.752047   4  
  14  15  2    2   1    0    3   61.494350   0    0  1.650157  63.309877 0.655436  64.076045  0   0   64.076045 0.918717   4  
  15  15  1    3   0    0    4   65.508473   0    0  1.450172  67.074158 0.441286  67.623797  0   0   67.623797 1.385011   4  
  16  15  1    1   1    0    3   69.505921   0    0  1.133834  70.771773 0.414261  71.304868  0   0   71.304868 0.701395   3  
  17  15  1    3   0    0    4   72.504023   0    0  1.916596  74.536061 0.374451  75.019091  0   0   75.019091 0.985259   4  
  18  15  4    4   1    0    2   76.501474   0    0  1.483461  78.100522 0.320901  78.533516  0   0   78.533516 1.468292   4  
  19  15  3    3   1    0    4   80.498936   0    0  1.849995  82.464343 0.710436  83.297150  0   0   83.297150 0.702212   4  
  20  14  1    3   0    0    4   84.513036   0    0  2.449580  87.078080 0.798083  87.994147  0   0   87.994147 1.019211   5  
  21  14  2    2   1    0    4   89.509858   0    0  1.200218  90.825649 1.115704  92.058231  0   0   92.058231 0.952060   4  
  22  14  2    4   0    0    3   93.507316   0    0  2.033125  95.655944 0.186131  95.955758  0   0   95.955758 1.051883   4  
  23  14  3    3   1    0    4   97.488118   0    0  1.433465  99.037198 0.258341  99.403566  0   0   99.403566 0.584664   3  
  24  14  1    2   0    0    3  100.502864   0    0  1.466936 102.085190 0.433578 102.634839  0   0  102.634839 1.368176   4  
  25  14  3    3   1    0    2  104.500312   0    0  1.849948 106.465726 0.490500 107.065356  0   0  107.065356 0.935147   4  
  26  14  3    3   1    0    4  108.497852   0    0  2.216347 110.829620 0.826076 111.762437  0   0  111.762437 1.235561   5  
  27  13  2    2   1    0    1  113.494592   0    0  1.500219 115.126890 1.339423 116.575965  0   0  116.575965 1.418904   5  
  28  13  3    2   0    0    3  118.508064   0    0  1.516673 120.140368 0.594689 120.856571  0   0  120.856571 1.151820   4  
  29  13  4    3   0    0    4  122.505506   0    0  2.066534 124.687533 0.821714 125.620207  0   0  125.620207 1.385733   5  
  30  14  1    3   0    0    2  127.502333   0    0  2.183146 129.817524 0.907300 130.833548  0   0  130.833548 1.169115   5  
  31  14  3    3   1    0    3  132.499145   0    0  1.883340 134.497889 0.888048 135.497327  0   0  135.497327 0.502160   4  
  32  14  3    1   0    0    3  136.513268   0    0  2.166479 138.828276 0.311716 139.261529  0   0  139.261529 0.752051   4  
  33  14  1    3   0    0    4  140.510797   0    0  2.016491 142.659354 0.796663 143.575431  0   0  143.575431 1.435609   5  
  34  15  1    2   0    0    3  145.507530   0    0  1.800050 147.422992 0.934445 148.472311  0   0  148.472311 0.535542   4  
  35  15  2    4   0    0    3  149.504991   0    0  1.916577 151.537026 0.337220 151.986736  0   0  151.986736 1.018580   4  
  36  16  3    2   0    0    5  153.502453   0    0  1.550294 155.184718 0.381493 155.684387  0   0  155.684387 1.318379   4  
  37  16  1    4   0    0    2  157.499904   0    0  1.566806 159.182165 0.827812 160.131556  0   0  160.131556 0.868478   4  
  38  18  2    4   0    0    3  161.497443   0    0  2.166241 163.779319 1.278281 165.178347  0   0  165.178347 0.819184   5  
  39  18  4    4   1    0    2  166.494179   0    0  2.249699 168.876099 0.559487 169.558890  0   0  169.558890 1.435505   5  
  40  18  4    2   0    0    4  171.490992   0    0  2.033355 173.656287 1.400156 175.172041  0   0  175.172041 0.819221   5  
  41  18  3    4   0    0    2  176.504540   0    0  1.600021 178.220058 0.765981 179.102808  0   0  179.102808 0.901973   4  
  42  20  4    4   1    0    3  180.501922   0    0  2.016510 182.633885 0.997027 183.749850  0   0  183.749850 1.252388   5  
  43  20  4    4   1    0    3  185.498798   0    0  1.866556 187.480808 1.905729 189.496190  0   0  189.496190 0.502984   5  
  44  18  4    3   0    0    4  190.512205   0    0  1.816767 192.444320 1.029732 193.593645  0   0  193.593645 1.418889   5  
  45  18  3    4   0    0    3  195.509034   0    0  1.800089 197.424468 0.753534 198.290587  0   0  198.290587 0.718768   4  
  46  20  1    4   0    0    3  199.506494   0    0  1.750697 201.371965 1.311081 202.804370  0   0  202.804370 1.202446   5  
  47  20  4    4   1    0    3  204.503296   0    0  1.400168 206.019066 1.196689 207.334844  0   0  207.334844 0.668890   4  
  48  20  2    4   0    0    2  208.517482   0    0  1.766631 210.399551 0.599690 211.115748  0   0  211.115748 0.901986   4  
  49  20  1    4   0    0    3  212.514842   0    0  1.750047 214.380341 0.394742 214.896775  0   0  214.896775 1.118425   4  
  50  22  2    3   0    0    5  216.495664   0    0  1.250315 217.861470 1.235286 219.210611  0   0  219.210611 0.785201   4  
  51  22  3    4   0    0    3  220.493129   0    0  2.016518 222.625083 0.852080 223.591149  0   0  223.591149 1.402229   5  
  52  25  2    2   1    0    4  225.489936   0    0  1.483626 227.088920 1.197580 228.404748  0   0  228.404748 0.585419   4  
  53  25  3    4   0    0    2  229.504055   0    0  2.133076 231.752608 0.293962 232.169014  0   0  232.169014 0.835304   4  
  54  25  4    4   1    0    3  233.501505   0    0  1.616876 235.233742 0.472515 235.816704  0   0  235.816704 1.185104   4  
  55  25  2    2   1    0    3  237.498959   0    0  0.983882 238.614921 0.868266 239.597623  0   0  239.597623 1.401666   4  
  56  22  2    3   0    0    3  241.496406   0    0  1.583507 243.195326 1.015506 244.327952  0   0  244.327952 0.668793   4  
  57  22  4    4   1    0    3  245.510526   0    0  1.799941 247.425964 0.559698 248.108874  0   0  248.108874 0.902088   4  
