%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at taizhengqi (       48.0000000000).6-Apr-2019 17:10:507.375217e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   10   3   0    5      6      2.498864 1.116427   4.131462 0.660293   4.914425 3.084660   6  
   2  1   10   2   0    5      2      8.496137 1.749862  10.761782 0.436599  11.311501 2.684876   6  
   3  1   10   3   0    7      5     14.493400 0.983146  15.992721 0.381147  16.492490 3.501067   6  
   4  1   10   3   0    6      5     20.490678 1.200486  22.206568 0.402222  22.723002 3.267776   6  
   5  1   10   3   0    3      3     26.487939 1.533023  28.537014 0.897950  29.553225 2.434826   6  
   6  3   10   1   0    4      1     32.501886 1.699863  34.717536 0.658166  35.500510 2.501580   6  
   7  1   10   2   0    5      2     38.515799 1.682738  40.714808 0.430937  41.264544 2.751490   6  
   8  2   10   3   0    5      3     44.513085 1.199980  46.228964 0.676266  47.028608 2.984686   6  
   9  3   10   3   1    6      5     50.510338 0.966573  51.993005 0.573313  52.692672 3.317893   6  
  10  1   10   3   0    5      5     56.507628 1.233329  58.256826 0.460746  58.839895 3.167947   6  
  11  3   10   3   1    6      5     62.504874 1.332917  64.354039 0.617062  65.087071 2.918042   6  
  12  2   10   4   0    4      3     68.502163 1.633312  70.651186 0.811334  71.584090 2.418314   6  
  13  1   10   3   0    5      5     74.499417 1.233060  76.248628 0.972589  77.348127 2.651521   6  
  14  4   10   4   1    5      4     80.496695 1.549918  82.562420 0.601885  83.278773 2.718136   6  
  15  1   10   3   0    6      1     86.493957 1.016501  88.026599 0.865207  89.009489 2.984702   6  
  16  2   10   3   0    6      3     92.507897 1.683145  94.706901 0.664118  95.489881 2.518237   6  
  17  2   10   3   0    4      1     98.505158 1.916131 100.937381 0.988538 102.053539 1.951852   6  
  18  4   10   3   0    5      6    104.502442 1.183391 106.201667 0.784710 107.101262 2.901454   6  
  19  3   10   3   1    5      4    110.499697 1.249784 112.265589 0.522819 112.915269 3.084603   6  
  20  2   10   3   0    5      4    116.496983 1.666482 118.679315 0.945214 119.745507 2.251755   6  
  21  4   10   1   0    2      2    122.494239 2.049349 125.059745 0.973226 126.159239 1.835122   6  
  22  4   10   3   0    2      5    128.491525 2.033069 131.040361 0.640199 131.806686 2.185044   6  
  23  1   10   3   0    5      1    134.488789 1.782884 136.787734 0.935818 137.837263 2.151568   6  
  24  3   10   3   1    2      5    140.502725 1.683147 142.701711 0.703747 143.518067 2.484870   6  
  25  1   10   3   0    3      1    146.499972 1.915879 148.932204 0.973364 150.031702 1.968500   6  
  26  3   10   3   1    4      3    152.513921 1.466881 154.496343 1.054172 155.679144 2.334995   6  
  27  1   10   1   1    5      2    158.511175 1.699621 160.726840 1.055247 161.909631 2.101779   6  
  28  4   10   3   0    2      1    164.508462 2.083142 167.107331 0.960249 168.190123 1.818556   6  
  29  2   10   4   0    2      1    170.505722 2.199235 173.221155 0.793026 174.137393 1.868551   6  
  30  4   10   2   0    2      5    176.503006 1.833299 178.851933 0.883174 179.851479 2.151743   6  
  31  1   10   3   0    5      3    182.500259 1.816154 184.832539 0.716990 185.665486 2.335001   6  
  32  4   10   4   1    3      6    188.497541 2.099761 191.113024 1.074558 192.312473 1.685289   6  
  33  2   10   2   1    5      6    194.494802 1.516132 196.527223 0.496660 197.143615 2.851407   6  
  34  1   10   2   0    5      2    200.492082 1.233310 202.241285 0.580893 202.940973 3.051342   6  
