%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at taizhengqi (       48.0000000000).6-Apr-2019 17:42:197.375217e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   11   2   1    6    2.498859 1.151111   3.814935 0.510813   4.447975 3.551118   6  
   2  1   11   1   1    2    8.496127 1.499897  10.112055 0.738945  10.978326 3.017988   6  
   3  1   11   2   0    6   14.493404 1.417357  16.059372 0.436519  16.609115 3.384475   6  
   4  2   11   2   1    8   20.490664 0.833355  21.490241 0.226800  21.840058 4.150718   6  
   5  4   11   4   1    6   26.487935 1.383260  27.987260 0.309752  28.420414 3.567727   6  
   6  2   11   2   1    5   32.501879 1.051169  33.668007 0.557232  34.351029 3.651086   6  
   7  1   11   3   0    7   38.515789 1.499887  40.148409 0.181380  40.448247 3.567773   6  
   8  1   11   2   0    6   44.513069 1.067762  45.729183 0.644572  46.495506 3.517785   6  
   9  2   11   2   1    6   50.510330 1.199889  51.843055 0.441898  52.392808 3.617760   6  
  10  1   11   1   1    6   56.507621 0.951029  57.607105 0.410268  58.140198 3.867635   6  
  11  3   11   3   1    7   62.504878 1.400028  64.054188 0.429508  64.603922 3.401182   6  
  12  2   11   2   1    2   68.502148 1.368222  70.018129 0.460253  70.601197 3.401174   6  
  13  1   11   4   0    5   74.499402 1.433709  76.082055 0.436484  76.631783 3.367846   6  
  14  3   11   3   1    6   80.496697 1.867117  82.512404 0.377464  83.012214 2.984711   6  
  15  2   11   2   1    6   86.493950 1.466528  88.109900 0.341911  88.576338 3.417755   6  
  16  4   11   4   1    6   92.491231 1.334448  93.973885 0.409364  94.506984 3.484444   6  
  17  3   11   2   0    7   98.488493 1.899726 100.554236 0.148097 100.820769 3.167795   6  
  18  2   11   1   0    7  104.502435 2.017045 106.651391 0.617574 107.384450 2.618225   6  
  19  4   11   4   1    6  110.499691 1.566494 112.182263 0.519312 112.815308 3.184605   6  
  20  2   11   3   0    7  116.513630 2.183926 118.812578 0.335329 119.262383 2.751495   6  
  21  2   11   2   1    7  122.510890 1.183335 123.826964 0.334054 124.276775 3.734336   6  
  22  4   11   2   0    8  128.508226 1.317778 129.990819 0.555154 130.673850 3.334547   6  
  23  3   11   3   1    5  134.505450 1.100009 135.754873 0.357387 136.237976 3.767690   6  
  24  1   11   1   1    8  140.502764 1.200737 141.852103 0.222394 142.201944 3.801002   6  
  25  2   11   2   1    8  146.499977 1.166742 147.832711 0.293005 148.249178 3.751014   6  
  26  2   11   3   0    7  152.497245 2.167198 154.796212 0.320842 155.229332 2.768156   6  
  27  3   11   2   0    6  158.494508 1.366691 160.027159 0.375757 160.526925 3.467733   6  
  28  1   11   1   1    7  164.491740 1.001277 165.624611 0.310649 166.057747 3.934162   6  
  29  3   11   3   1    7  170.489050 1.100000 171.721837 0.394037 172.238276 3.750835   6  
  30  1   11   1   1    6  176.502997 1.034594 177.685790 0.397404 178.202210 3.801007   6  
  31  1   11   2   0    7  182.500258 1.616782 184.266118 0.341040 184.732569 3.267902   6  
  32  3   11   3   1    7  188.514187 1.833879 190.496608 0.219713 190.829795 3.184619   6  
  33  2   11   2   1    7  194.511453 1.416642 196.077415 0.293874 196.493907 3.517770   6  
  34  3   11   1   0    2  200.508733 1.684210 202.324530 0.587774 203.040907 2.968055   6  
  35  1   11   1   1    6  206.505994 1.783022 208.438457 0.410792 208.971530 3.034693   6  
  36  4   11   4   1    5  212.503194 1.118496 213.736041 0.465381 214.319116 3.684367   6  
  37  4   11   4   1    8  218.500523 1.766487 220.383014 0.355290 220.849465 3.151292   6  
  38  2   11   2   1    7  224.497812 1.883912 226.530176 0.251575 226.896727 3.101307   6  
  39  2   11   2   1    6  230.495078 1.733202 232.394242 0.336066 232.844008 3.151209   6  
  40  4   11   4   1    6  236.492353 1.367893 238.008325 0.363027 238.491440 3.501145   6  
  41  3   11   1   0    7  242.489610 1.300017 243.972308 0.597604 244.688611 3.301069   6  
  42  2   11   4   0    5  248.503552 1.501218 250.169396 0.447585 250.735876 3.267918   6  
  43  1   11   1   1    7  254.500816 1.949702 256.599779 0.422921 257.149612 2.851427   6  
  44  4   11   2   0    6  260.498109 1.750958 262.380572 0.491435 262.996954 3.001367   6  
  45  3   11   3   1    8  266.512009 1.283349 267.928055 0.339201 268.394513 3.617721   6  
  46  4   11   2   0    7  272.509294 1.500637 274.158535 0.425922 274.708286 3.301254   6  
  47  3   11   3   1    8  278.506554 1.533136 280.172459 0.679133 280.972101 3.034677   6  
  48  4   11   2   0    1  284.503827 1.667608 286.352985 0.734025 287.202599 2.801469   6  
  49  4   11   2   0    6  290.501080 1.633180 292.283618 0.447525 292.850016 3.151290   6  
  50  2   11   1   0    1  296.498372 1.917329 298.563995 0.784314 299.463687 2.534900   6  
  51  3   11   3   1    6  302.495636 1.733195 304.394801 0.513284 305.027840 2.967938   6  
  52  1   11   4   0    7  308.492916 1.184567 309.842286 0.280459 310.242124 3.750988   6  
  53  3   11   3   1    6  314.490175 1.999720 316.655881 0.311190 317.088988 2.901245   6  
  54  3   11   2   0    6  320.504114 1.201062 321.870159 0.353613 322.336603 3.667736   6  
  55  3   11   3   1    7  326.501366 1.550036 328.200608 0.354063 328.667055 3.334536   6  
  56  4   11   4   1    8  332.498649 1.017762 333.648138 0.312910 334.081268 3.917602   6  
  57  2   11   3   0    8  338.512567 1.366717 340.028585 0.311282 340.461689 3.551103   6  
  58  1   11   2   0    8  344.509853 0.951236 345.626039 0.356398 346.109124 3.900951   6  
  59  4   11   4   1    6  350.507112 1.016715 351.639939 0.275719 352.039747 3.967593   6  
  60  3   11   1   0    5  356.504365 1.567479 358.236956 0.536068 358.886656 3.117950   6  
  61  3   11   3   1    6  362.501650 1.466602 364.100948 0.168360 364.384148 3.617714   6  
  62  1   11   2   0    7  368.498935 1.467643 370.098201 0.212786 370.431384 3.567776   6  
  63  3   11   3   1    7  374.496194 1.400000 376.028845 0.233038 376.378657 3.617673   6  
  64  3   11   2   0    6  380.493479 1.334090 381.959476 0.247948 382.325975 3.667729   6  
  65  3   11   3   1    7  386.490733 1.033503 387.640207 0.278978 388.040018 3.950781   6  
  66  4   11   4   1    7  392.504670 1.317482 393.937349 0.228332 394.287194 3.717692   6  
  67  4   11   4   1    8  398.501928 1.383364 400.017929 0.291662 400.434388 3.567767   6  
  68  4   11   4   1    7  404.499205 1.650744 406.265074 0.234304 406.614815 3.384641   6  
  69  4   11   4   1    6  410.496463 1.233460 411.862531 0.313078 412.295650 3.701051   6  
  70  4   11   4   1    6  416.510419 1.600834 418.226292 0.188722 418.542859 3.467775   6  
  71  3   11   3   1    8  422.507675 1.200006 423.857082 0.390491 424.373513 3.634378   6  
  72  1   11   1   1    8  428.504943 0.750991 429.387701 0.270110 429.771068 4.234100   6  
  73  4   11   4   1    6  434.502197 1.449973 436.068185 0.201018 436.384690 3.617730   6  
  74  3   11   3   1    8  440.499492 1.317708 441.932169 0.277065 442.331979 3.667736   6  
  75  1   11   2   0    6  446.496739 1.316594 447.996074 0.307853 448.429213 3.567685   6  
  76  1   11   3   0    6  452.494023 1.534263 454.159929 0.503608 454.776327 3.217799   6  
  77  2   11   2   1    8  458.491280 0.866787 459.490844 0.275588 459.890672 4.100684   6  
  78  2   11   2   1    8  464.505208 1.066816 465.704678 0.295196 466.121156 3.884319   6  
  79  1   11   1   1    7  470.502499 1.034229 471.685291 0.359726 472.168407 3.834332   6  
  80  1   11   3   0    8  476.499758 1.399923 478.032324 0.440587 478.598799 3.401187   6  
  81  4   11   4   1    8  482.497035 1.517272 484.129638 0.274449 484.529445 3.467823   6  
  82  2   11   2   1    8  488.510965 1.083487 489.743735 0.307285 490.176862 3.834329   6  
  83  1   11   3   0    5  494.508244 1.516856 496.174147 0.375336 496.673915 3.334533   6  
  84  2   11   3   0    5  500.505500 1.616521 502.304600 0.883871 503.320891 2.684837   6  
  85  4   11   4   1    8  506.502771 1.184558 507.802188 0.284058 508.202010 3.800990   6  
  86  2   11   4   0    7  512.500033 1.899879 514.515798 0.132241 514.765673 3.234534   6  
  87  4   11   4   1    6  518.497318 1.634370 520.246529 0.340295 520.712975 3.284567   6  
  88  3   11   3   1    6  524.494573 1.749809 526.360409 0.229420 526.710240 3.284442   6  
  89  4   11   4   1    8  530.491865 1.184696 531.791315 0.238045 532.157764 3.834290   6  
  90  1   11   2   0    8  536.505780 0.966753 537.638605 0.265684 538.021759 3.984237   6  
]; % This session completes at 06-Apr-2019 17:51:41, 544.004s after session start, 540s on 90 trials, totally 562.325s.

