%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at xubei (       48.0000000000).6-Apr-2019 17:22:327.375217e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   11   3   0    3      6      2.498850 1.599469   4.614556 0.587342   5.314244 2.684833   6  
   2  3   11   3   1    4      4      8.496122 1.516146  10.528536 0.664241  11.311513 2.684837   6  
   3  1   11   2   0    4      7     14.493410 1.049821  16.059362 0.648678  16.825672 3.167946   6  
   4  4   11   2   0    2      5     20.507337 1.966127  22.989547 0.033503  23.139481 2.868073   6  
   5  1   11   4   0    3      1     26.504608 1.916104  28.936839 0.394629  29.453285 2.551542   6  
   6  1   11   2   0    2      4     32.501892 1.999289  35.017412 0.485563  35.617161 2.384930   6  
   7  3   11   3   1    2      6     38.499167 1.982737  40.998029 0.708294  41.830996 2.168375   6  
   8  3   11   3   1    4      5     44.496454 1.516268  46.528863 0.689006  47.345158 2.651486   6  
   9  4   11   2   0    4      5     50.493721 1.316346  52.326228 0.725027  53.175832 2.818086   6  
  10  1   11   2   0    3      2     56.491001 1.832774  58.839935 0.645662  59.606243 2.384946   6  
  11  1   11   3   0    2      6     62.504936 2.082695  65.103759 0.440402  65.670163 2.334956   6  
  12  3   11   3   1    3      5     68.502215 1.766126  70.784517 0.539294  71.450876 2.551504   6  
  13  2   11   2   1    4      5     74.499493 0.983272  75.998809 1.260429  77.381503 2.618148   6  
  14  3   11   3   1    4      7     80.496768 1.399635  82.412561 0.487642  83.028947 2.967980   6  
  15  3   11   3   1    2      5     86.494048 1.782824  88.793004 0.500524  89.409387 2.584825   6  
  16  3   11   2   0    3      3     92.491314 1.966077  94.973517 0.776067  95.873124 2.118354   6  
  17  4   11   3   0    1      5     98.505246 2.332630 101.353968 0.484488 101.953687 2.051722   6  
  18  1   11   2   0    3      5    104.502526 1.716199 106.734854 0.728527 107.584455 2.418231   6  
  19  4   11   2   0    6      7    110.499805 0.966367 111.982462 1.237234 113.348504 2.651450   6  
  20  1   11   3   0    4      5    116.497078 1.382947 118.396227 0.652156 119.162525 2.834707   6  
  21  2   11   2   1    5      5    122.494356 1.033171 124.043645 1.022020 125.193130 2.801383   6  
  22  1   11   3   0    3      7    128.491626 1.682863 130.690641 0.355302 131.173748 2.818036   6  
  23  4   11   4   1    5      5    134.488916 1.133094 136.138160 0.639208 136.904474 3.084579   6  
  24  4   11   3   0    5      6    140.502850 1.299659 142.318692 0.622412 143.068350 2.934634   6  
  25  2   11   2   1    5      7    146.500120 1.066548 148.082730 0.518716 148.715791 3.284462   6  
  26  2   11   2   1    3      5    152.497394 1.116257 154.129992 0.300380 154.546463 3.451062   6  
  27  1   11   1   1    4      7    158.494677 1.216500 160.227226 0.269169 160.610395 3.384400   6  
  28  2   11   2   1    5      8    164.491955 0.783271 165.791355 1.222222 167.140752 2.851322   6  
  29  1   11   3   0    4      6    170.489221 1.516392 172.521637 1.011148 173.654452 2.334884   6  
  30  3   11   3   1    3      5    176.503159 1.199759 178.219048 0.374301 178.718821 3.284449   6  
  31  4   11   4   1    3      7    182.500439 1.832811 184.849374 0.348315 185.315834 2.684709   6  
  32  4   11   2   0    3      5    188.497719 1.349738 190.363538 0.372634 190.863308 3.134513   6  
  33  1   11   2   0    3      6    194.494991 1.666235 196.677341 0.416027 197.210434 2.784650   6  
  34  3   11   4   0    3      7    200.492278 1.766157 202.774564 0.341631 203.241029 2.751329   6  
  35  3   11   3   1    3      5    206.489540 1.632923 208.638572 0.338324 209.105042 2.884589   6  
  36  2   11   1   0    5      2    212.486812 1.366319 214.369307 0.575622 215.068982 2.917929   6  
  37  4   11   4   1    6      8    218.500763 0.966360 219.983417 0.715569 220.816368 3.184477   6  
