%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at xubei (       48.0000000000).6-Apr-2019 17:42:267.375217e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   10   3   1    5    2.498850 1.316820   3.948198 1.522069   5.597443 2.401639   6  
   2  3   10   2   0    3    8.496135 1.833071  10.445243 1.213862  11.777975 2.218383   6  
   3  1   10   3   0    5   14.493432 1.116607  15.726185 0.747308  16.592461 3.401181   6  
   4  3   10   3   1    5   20.507347 1.949649  22.589709 0.968497  23.672584 2.334974   6  
   5  4   10   4   1    5   26.504619 1.599843  28.237177 0.698276  29.053467 2.951363   6  
   6  3   10   3   1    4   32.501891 1.416519  34.051189 1.149195  35.317289 2.684813   6  
   7  2   10   2   1    2   38.499177 2.182941  40.798141 1.000795  41.914288 2.085088   6  
   8  4   10   3   0    4   44.496452 1.983028  46.595491 1.136932  47.844934 2.151712   6  
   9  3   10   3   1    5   50.493725 1.066798  51.693183 0.900757  52.709383 3.284541   6  
  10  4   10   1   0    5   56.491002 1.133424  57.740429 0.834519  58.690011 3.301187   6  
  11  1   10   1   1    5   62.504930 1.283319  63.904302 0.601506  64.620639 3.384478   6  
  12  3   10   3   1    5   68.502218 1.266662  69.884919 1.049079  71.051072 2.951324   6  
  13  1   10   1   1    5   74.499497 0.916788  75.532200 0.972300  76.631866 3.367806   6  
  14  2   10   3   0    2   80.496775 2.066127  82.679121 0.663694  83.462089 2.534860   6  
  15  3   10   3   1    5   86.494044 1.116634  87.726827 0.384824  88.226599 3.767619   6  
  16  1   10   3   0    5   92.491320 1.633128  94.240521 0.904257  95.273399 2.718094   6  
  17  2   10   2   1    3   98.505253 1.449904 100.087870 1.695307 101.903715 2.101703   6  
  18  4   10   3   0    5  104.502526 1.083291 105.701982 0.771061 106.601577 3.401104   6  
  19  4   10   3   0    5  110.499815 1.333267 111.982479 0.316621 112.415608 3.584356   6  
  20  4   10   1   0    5  116.497092 1.800111 118.446201 0.950682 119.512391 2.484846   6  
  21  1   10   2   0    5  122.494359 1.882984 124.493457 0.587817 125.209805 2.784705   6  
  22  4   10   4   1    5  128.491635 1.200098 129.807712 0.755247 130.690631 3.301156   6  
  23  3   10   3   1    5  134.488917 1.583217 136.204810 0.616269 136.937809 3.051254   6  
