%% MetaTwins_RDMsc_training for 'xubei': starting at _nofeedback (       48.0000000000).6-Apr-2019 16:51:01 for '7.375217e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1   7  2    1   0    0    2    2.498988   0    0  1.200088   3.814959 1.045622   4.981203  0   0    4.981203 1.018017   4  
   2   7  4    3   0    0    5    6.497170   0    0  1.016598   7.630004 0.884676   8.629552  0   0    8.629552 1.367838   4  
   3   8  1    3   0    0    4   10.495365   0    0  1.300017  11.911386 1.286824  13.327416  0   0   13.327416 0.668136   4  
   4   8  3    3   1    0    5   14.493546   0    0  1.599636  16.226106 1.218296  17.558823  0   0   17.558823 1.434899   5  
   5   8  1    1   1    0    5   19.491276   0    0  1.533159  21.140511 1.159263  22.423281  0   0   22.423281 0.568143   4  
   6   7  4    3   0    0    6   23.489487   0    0  1.149853  24.755557 1.095887  25.971660  0   0   25.971660 1.017932   4  
   7   7  2    3   0    0    5   27.487655   0    0  1.782935  29.386768 0.883847  30.386327  0   0   30.386327 0.601435   4  
   8   8  1    3   0    0    4   31.502485   0    0  1.782931  33.401624 0.967037  34.484462  0   0   34.484462 0.518114   4  
   9   8  2    3   0    0    4   35.500667   0    0  1.466569  37.099863 0.797141  38.016203  0   0   38.016203 0.984552   4  
  10   9  3    3   1    0    5   39.498859   0    0  1.716410  41.331293 1.182978  42.630772  0   0   42.630772 1.368147   5  
  11   9  2    1   0    0    4   44.513251   0    0  1.433632  46.079146 0.747201  46.945488  0   0   46.945488 1.067987   4  
  12   9  2    1   0    0    2   48.511430   0    0  1.999534  50.627132 0.703015  51.443433  0   0   51.443433 0.568232   4  
  13  10  2    4   0    0    5   52.509605   0    0  1.616528  54.242170 1.215587  55.574892  0   0   55.574892 1.434960   5  
  14  10  1    1   1    0    5   57.507343   0    0  0.983432  58.623575 0.592459  59.323193  0   0   59.323193 0.684376   3  
  15  10  2    3   0    0    3   60.505988   0    0  1.666476  62.288513 0.737737  63.154776  0   0   63.154776 0.851438   4  
  16  10  4    3   0    0    2   64.504159   0    0  1.449968  66.086788 1.264666  67.469471  0   0   67.469471 0.534928   4  
  17  11  1    1   1    0    5   68.502352   0    0  1.433405  70.101628 0.725836  70.951237  0   0   70.951237 1.051342   4  
  18  11  2    2   1    0    1   72.500538   0    0  2.349544  74.982748 0.882638  75.982298  0   0   75.982298 1.018471   5  
  19  10  4    3   0    0    5   77.498269   0    0  1.333284  78.947610 1.090327  80.163719  0   0   80.163719 0.834783   4  
  20  10  3    3   1    0    4   81.496452   0    0  1.000247  82.612609 0.896828  83.628811  0   0   83.628811 1.367868   4  
  21  10  4    4   1    0    5   85.494635   0    0  1.799735  87.410437 0.998681  88.526586  0   0   88.526586 1.468277   5  
  22   9  1    2   0    0    5   90.509027   0    0  1.100121  91.775121 0.971877  92.874622  0   0   92.874622 1.134638   4  
  23   9  4    4   1    0    6   94.507204   0    0  1.116697  95.739987 0.814727  96.672893  0   0   96.672893 1.334555   4  
  24   9  2    3   0    0    4   98.505387   0    0  1.083617  99.704844 0.842265 100.671075  0   0  100.671075 1.334550   4  
  25   9  2    4   0    0    6  102.503581   0    0  1.349999 103.969575 0.698883 104.785878  0   0  104.785878 1.217925   4  
  26  10  1    4   0    0    5  106.501761   0    0  1.300030 107.917789 0.914781 108.950655  0   0  108.950655 1.051313   4  
  27  10  1    4   0    0    5  110.499951   0    0  1.366683 111.982620 0.921161 113.015469  0   0  113.015469 0.984658   4  
  28  11  3    3   1    0    5  114.498150   0    0  1.833029 116.463907 0.868015 117.446789  0   0  117.446789 0.551513   4  
  29  11  3    4   0    0    6  118.496313   0    0  1.882906 120.511995 0.681663 121.311702  0   0  121.311702 0.684766   4  
  30  11  1    2   0    0    3  122.494499   0    0  1.699873 124.327006 1.225960 125.676391  0   0  125.676391 1.318247   5  
