%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at liukai (       48.0000000000).7-Apr-2019 17:16:017.375227e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   8    2   0    8      7      2.498985 1.616707   4.631356 0.344294   5.097817 2.901395   6  
   2  2   8    2   1    1      7      8.496265 1.949414  10.961813 1.487510  12.561082 1.435386   6  
   3  4   8    1   0    7      7     14.493528 1.999260  17.009051 1.584682  18.708290 1.285418   6  
   4  2   8    2   1    8      7     20.490806 1.649376  22.656497 0.672694  23.439478 2.551484   6  
   5  3   8    3   1    7      8     26.488080 1.749548  28.753733 1.786720  30.652856 1.335356   6  
   6  2   8    2   1    1      7     32.502020 1.915867  34.934245 1.133069  36.183686 1.818442   6  
   7  4   8    4   1    1      5     38.499286 2.499136  41.514585 0.181926  41.814442 2.184920   6  
   8  2   8    1   0    7      6     44.496556 2.316004  47.328617 0.644592  48.094926 1.901682   6  
   9  2   8    2   1    6      7     50.510476 2.399206  53.425841 0.971757  54.508681 1.502038   6  
  10  4   8    4   1    6      7     56.507764 2.349200  59.373126 0.949910  60.439327 1.568662   6  
  11  2   8    2   1    5      7     62.505045 2.065858  65.087202 1.822034  67.019654 0.985625   6  
  12  3   8    3   1    5      7     68.502320 2.382534  71.400989 0.764611  72.283937 1.718611   6  
  13  1   8    4   0   -1      8     74.499583 2.382501  77.398264 0.000000  79.397305 0.602518   6  
  14  2   8    1   0    1      7     80.496856 1.882882  82.895765 0.649415  83.662078 2.335013   6  
  15  3   8    3   1    4      7     86.510797 1.499455  88.526541 0.425646  89.059638 2.951387   6  
  16  4   8    3   0    5      7     92.508059 2.116044  95.140201 0.774402  96.023134 1.985161   6  
  17  3   8    3   1    7      6     98.505338 2.115807 101.137472 0.500470 101.753861 2.251719   6  
  18  2   8    1   0    5      5    104.502616 2.382492 107.401299 0.324669 107.834433 2.168419   6  
  19  1   8    3   0    7      6    110.499885 2.182654 113.198663 0.655318 113.964985 2.035133   6  
  20  1   8   -1   0    1      7    116.497155 0.000000 119.062669 0.927848 120.095521 1.901843   6  
  21  3   8    3   1    7      7    122.494427 1.916030 124.926665 0.956771 125.992852 2.001760   6  
  22  4   8   -1   0    7      3    128.491700 0.000000 131.057223 0.900579 132.073415 1.918462   6  
  23  1   8    1   1    7      7    134.488985 1.849525 136.854571 0.759941 137.720841 2.268273   6  
  24  3   8    3   1    5      8    140.502912 2.099244 143.118381 1.481698 144.717665 1.285351   6  
  25  1   8    3   0    1      7    146.500181 2.465772 149.482160 1.167118 150.764916 1.235357   6  
  26  1   8    2   0    2      8    152.497465 2.465764 155.479428 0.554581 156.145791 1.851729   6  
  27  4   8   -1   0    4      3    158.511403 0.000000 161.043583 1.958274 163.109308 0.902315   6  
  28  1   8    3   0    6      7    164.508656 2.299285 167.324051 0.907718 168.340252 1.668642   6  
  29  2   8    3   0    1      7    170.505926 0.000000 173.521227 0.318826 173.954370 2.051797   6  
  30  3   8    3   1    7      7    176.503210 2.249165 179.268613 1.080714 180.468067 1.535376   6  
  31  1   8   -1   0    1      2    182.500486 0.000000 185.049337 0.356101 185.515774 2.484930   6  
  32  2   8    3   0    7      7    188.497760 2.282671 191.296477 0.400967 191.812909 2.185080   6  
  33  4   8    3   0    2      8    194.511676 2.265970 197.293757 0.410666 197.810176 2.201741   6  
  34  4   8    2   0    1      7    200.508955 0.583397 201.608453 1.186222 202.907882 3.101305   6  
