%% MetaTwins_RDMsc_training for 'liukai': starting at _nofeedback (       48.0000000000).7-Apr-2019 16:38:42 for '7.375227e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  14  1    2   0    0    8    2.498849   0    0  1.833080   4.481298 0.061946   4.664528  0   0    4.664528 1.334547   4  
   2  14  2    1   0    0    8    6.497036   0    0  2.166330   8.829142 0.006852   8.945931  0   0    8.945931 1.051328   4  
   3  15  3    3   1    0    8   10.495213   0    0  1.533259  12.144467 0.002703  12.261097  0   0   12.261097 0.734358   3  
   4  15  2    4   0    0    8   13.493851   0    0  1.966104  15.576249 0.000734  15.692865  0   0   15.692865 1.301216   4  
   5  15  2    2   1    0    8   17.508697   0    0  2.332831  19.957526 0.045963  20.124176  0   0   20.124176 0.884753   4  
   6  15  4    3   0    0    8   21.506869   0    0  1.749656  23.372695 0.000650  23.489318  0   0   23.489318 0.517785   3  
   7  15  4   -1   0    0    2   24.505509   0    0  0.000000  27.021047 0.303468  27.437516  0   0   27.437516 0.568234   4  
   8  15  1    2   0    0    1   28.503694   0    0  1.649792  30.269565 0.126988  30.502786  0   0   30.502786 0.501139   3  
   9  16  2   -1   0    0    2   31.502333   0    0  0.000000  34.017870 0.000214  34.134467  0   0   34.134467 0.868097   4  
  10  16  3    3   1    0    8   35.500528   0    0  1.299982  36.933196 0.018841  37.066463  0   0   37.066463 0.934291   3  
  11  16  3    2   0    0    8   38.499149   0    0  1.999661  40.614855 0.004150  40.731473  0   0   40.731473 1.267914   4  
  12  16  4   -1   0    0    4   42.497340   0    0  0.000000  45.012869 0.411499  45.529284  0   0   45.529284 1.468282   5  
  13  16  2    2   1    0    8   47.511716   0    0  2.216097  49.860676 0.022348  49.993928  0   0   49.993928 1.018029   4  
  14  16  4    3   0    0    8   51.509908   0    0  2.032780  53.675584 0.117019  53.908822  0   0   53.908822 1.101302   4  
  15  16  2    4   0    0    8   55.508084   0    0  2.466086  58.106901 0.235001  58.456755  0   0   58.456755 0.551566   4  
  16  18  4    3   0    0    8   59.506262   0    0  1.966289  61.621966 0.004992  61.738587  0   0   61.738587 1.267909   4  
  17  18  3    3   1    0    8   63.504443   0    0  1.949584  65.620156 0.345426  66.069956  0   0   66.069956 0.934724   4  
  18  18  1    1   1    0    8   67.502627   0    0  1.733057  69.418434 0.064264  69.601678  0   0   69.601678 1.401178   4  
  19  16  1    2   0    0    8   71.500806   0    0  2.299574  73.966210 0.021989  74.099638  0   0   74.099638 0.901396   4  
  20  16  1    1   1    0    8   75.499003   0    0  1.932929  77.614703 0.227615  77.947880  0   0   77.947880 1.051338   4  
  21  16  4   -1   0    0    1   79.513848   0    0  0.000000  82.029365 0.753034  82.895630  0   0   82.895630 1.118432   5  
  22  16  4   -1   0    0    2   84.511557   0    0  0.000000  87.027070 0.005321  87.143697  0   0   87.143697 0.868090   4  
  23  16  2    3   0    0    8   88.509748   0    0  2.149492  90.775375 0.049810  90.941962  0   0   90.941962 1.068020   4  
  24  16  4   -1   0    0    1   92.507922   0    0  0.000000  95.023463 0.022333  95.156727  0   0   95.156727 0.851422   4  
  25  16  4    2   0    0    8   96.506111   0    0  2.182853  98.871670 0.051856  99.038300  0   0   99.038300 0.968032   4  
  26  18  1   -1   0    0    1  100.504289   0    0  0.000000 103.019815 0.176880 103.303027  0   0  103.303027 0.701500   4  
  27  18  1   -1   0    0    3  104.502474   0    0  0.000000 107.018009 0.052740 107.184590  0   0  107.184590 0.818111   4  
  28  18  3    3   1    0    8  108.500668   0    0  1.399846 110.033300 0.081253 110.233205  0   0  110.233205 0.767510   3  
  29  18  3    3   1    0    8  111.499305   0    0  1.266600 112.915336 0.067825 113.098572  0   0  113.098572 0.900790   3  
  30  16  2    3   0    0    1  114.497933   0    0  2.332854 116.946824 0.878088 117.946357  0   0  117.946357 1.051635   5  
  31  16  2    3   0    0    8  119.495655   0    0  1.982866 121.611366 0.006403 121.727982  0   0  121.727982 1.267752   4  
  32  18  3    2   0    0    8  123.493853   0    0  2.282840 125.925949 0.005079 126.042682  0   0  126.042682 0.951245   4  
  33  18  2    1   0    0    8  127.492024   0    0  2.082730 129.724295 0.002346 129.840951  0   0  129.840951 1.151186   4  
  34  20  3    3   1    0    8  131.490199   0    0  2.083378 133.705789 0.028869 133.839131  0   0  133.839131 1.151194   4  
  35  20  1    1   1    0    8  135.488388   0    0  1.183152 136.854441 0.000636 136.971048  0   0  136.971048 1.017465   3  
  36  18  4    2   0    0    8  138.503679   0    0  1.733124 140.402816 0.015873 140.536107  0   0  140.536107 1.467709   4  
  37  18  4    2   0    0    8  142.501872   0    0  1.999697 144.684205 0.000790 144.800822  0   0  144.800822 1.201192   4  
  38  20  2    2   1    0    8  146.500046   0    0  2.066289 148.715706 0.328209 149.148849  0   0  149.148849 0.851352   4  
  39  20  1    1   1    0    8  150.498226   0    0  1.516503 152.180802 0.245945 152.547296  0   0  152.547296 1.451081   4  
  40  18  1    2   0    0    8  154.496400   0    0  1.916446 156.562054 0.062235 156.745381  0   0  156.745381 1.251199   4  
  41  18  3    3   1    0    8  158.494597   0    0  2.416794 161.043367 0.149983 161.309981  0   0  161.309981 0.684782   4  
  42  18  2    3   0    0    3  162.492767   0    0  2.182817 164.841715 0.983327 165.941200  0   0  165.941200 1.051781   5  
  43  18  2    2   1    0    8  167.490497   0    0  1.716418 169.339634 0.024321 169.472939  0   0  169.472939 0.517768   3  
  44  18  1   -1   0    0    3  170.505792   0    0  0.000000 173.021332 0.789790 173.920914  0   0  173.920914 1.085112   5  
  45  18  1    2   0    0    8  175.503527   0    0  1.749648 177.402668 0.014772 177.535935  0   0  177.535935 1.467837   4  
  46  18  4    2   0    0    8  179.501716   0    0  2.016828 181.684047 0.007707 181.800657  0   0  181.800657 1.201280   4  
  47  20  4    3   0    0    8  183.499890   0    0  2.282710 185.898806 0.010374 186.015415  0   0  186.015415 0.984708   4  
  48  20  3    3   1    0    8  187.498069   0    0  1.649813 189.280595 0.003704 189.397210  0   0  189.397210 0.601094   3  
  49  20  3    3   1    0    8  190.496720   0    0  1.216674 191.829432 0.000920 191.946039  0   0  191.946039 1.050905   3  
  50  18  4    2   0    0    8  193.495353   0    0  1.566516 195.211099 0.017967 195.344513  0   0  195.344513 0.651058   3  
  51  18  3   -1   0    0    3  196.493979   0    0  0.000000 199.009504 0.032540 199.159459  0   0  199.159459 0.834758   4  
  52  18  3    3   1    0    8  200.508813   0    0  1.799661 202.474601 0.090965 202.674498  0   0  202.674498 1.334552   4  
  53  18  1    1   1    0    8  204.507007   0    0  1.516363 206.206232 0.075629 206.389488  0   0  206.389488 0.617748   3  
  54  16  2    2   1    0    8  207.505634   0    0  1.499957 209.138229 0.077762 209.321485  0   0  209.321485 0.684388   3  
  55  16  3   -1   0    0    3  210.504286   0    0  0.000000 213.019814 0.154025 213.286341  0   0  213.286341 0.718170   4  
  56  16  1    1   1    0    8  214.502459   0    0  1.799742 216.418231 0.098862 216.634831  0   0  216.634831 1.367862   4  
