%% MetaTwins_RDMsc_training for 'wangxin': starting at _feedback (       48.0000000000).7-Apr-2019 15:35:47 for '7.375226e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  50  1    1   1    0    8    2.498862   0    0  0.766933   3.431767 0.368072   3.914904 0.999522   4.914425   5.913983 1.085102   5  
   2  50  1    1   1    0    8    7.496583   0    0  0.817897   8.462839 0.537254   9.112521 0.999565  10.112086  11.111597 0.885226   5  
   3  45  3    3   1    0    8   12.494305   0    0  1.166742  13.793716 0.351770  14.260176 0.999544  15.259719  16.259253 0.735279   5  
   4  45  4    4   1    0    8   17.508696   0    0  1.001282  18.641500 0.204730  18.974698 0.999548  19.974246  20.973791 1.035123   5  
   5  40  3    3   1    0    8   22.506405   0    0  1.233263  23.889135 0.114771  24.122350 0.999543  25.121892  26.121460 0.885188   5  
   6  40  3    3   1    0    8   27.504144   0    0  1.151250  28.786885 0.127064  29.036786 0.999548  30.036334  31.035873 0.968508   5  
   7  36  4    4   1    0    8   32.501869   0    0  1.033253  33.684696 0.111506  33.917886 0.999561  34.917447  35.917001 1.085090   5  
   8  36  2    2   1    0    8   37.499621   0    0  1.001059  38.649074 0.139930  38.915629 0.999539  39.915167  40.914714 1.085127   5  
   9  32  3    3   1    0    8   42.497321   0    0  1.233387  43.863397 0.131191  44.113241 0.999551  45.112792  46.112338 0.885207   5  
  10  32  1    1   1    0    8   47.495052   0    0  1.101236  48.744479 0.117524  48.977704 0.999554  49.977257  50.976793 1.018485   5  
  11  28  2    2   1    0    8   52.509429   0    0  0.850214  53.525619 0.112266  53.758866 0.999555  54.758420  55.757945 1.251710   5  
  12  28  2    2   1    0    8   57.507163   0    0  0.867629  58.540024 0.116285  58.773290 0.999495  59.772785  60.772338 1.235038   5  
  13  25  4    4   1    0    8   62.504874   0    0  1.283170  63.954225 0.051659  64.120816 0.999535  65.120351  66.119896 0.885198   5  
  14  25  1    1   1    0    8   67.502611   0    0  1.867643  69.501702 0.100619  69.718268 0.999546  70.717814  71.717352 1.285477   6  
  15  22  2    2   1    0    8   73.499875   0    0  0.983477  74.632706 0.063759  74.815945 0.999553  75.815498  76.815033 1.185066   5  
  16  22  4    2   0    0    8   78.497599   0    0  1.151094  79.796998 0.040607  79.963603 0.999547  80.963150  81.962683 1.035144   5  
  17  22  1    4   0    0    8   83.495312   0    0  1.366700  84.977959 0.123398  85.227881 0.999522  86.227404  87.226955 0.768590   5  
  18  25  2    2   1    0    8   88.509711   0    0  1.567814  90.242248 0.256906  90.625411 0.999558  91.624968  92.624498 1.385448   6  
  19  25  2    2   1    0    8   94.506973   0    0  1.166803  95.839703 0.239970  96.206198 0.999553  97.205751  98.205292 0.801907   5  
  20  22  1    1   1    0    8   99.504715   0    0  2.183921 101.836979 0.194203 102.153505 0.999541 103.153046 104.152589 0.852353   6  
  21  22  2    2   1    0    8  105.501960   0    0  1.366691 107.051273 0.153328 107.317808 0.999537 108.317344 109.316906 0.685297   5  
  22  19  4    2   0    0    8  110.499696   0    0  2.183086 112.815260 0.035411 112.965253 0.999546 113.964799 114.964337 1.035589   6  
  23  19  3    3   1    0    8  116.496968   0    0  1.500086 118.146232 0.167200 118.429438 0.999522 119.428960 120.428521 0.568676   5  
