%% MetaTwins_RDMsc_training for 'wangxin': starting at _nofeedback (       48.0000000000).7-Apr-2019 16:19:50 for '7.375227e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  13  1    3   0    0    7    2.498876   0    0  1.433140   4.064846 0.145511   4.331371  0   0    4.331371 0.667720   3  
   2  13  2    2   1    0    7    5.497501   0    0  2.266215   7.879762 0.252653   8.246270  0   0    8.246270 0.751494   4  
   3  13  4    4   1    0    6    9.495683   0    0  2.232930  11.844628 0.581707  12.544291  0   0   12.544291 1.451624   5  
   4  12  1    3   0    0    6   14.493423   0    0  1.167540  15.776170 0.204330  16.092690  0   0   16.092690 0.900983   3  
   5  12  2    3   0    0    6   17.508716   0    0  1.850683  19.491147 0.175442  19.790997  0   0   19.790997 1.217938   4  
   6  13  2    2   1    0    6   21.506889   0    0  2.117136  23.789181 0.199096  24.105691  0   0   24.105691 0.901426   4  
   7  13  2    3   0    0    6   25.505079   0    0  1.650912  27.287608 0.483563  27.887328  0   0   27.887328 1.117994   4  
   8  13  3    3   1    0    7   29.503247   0    0  1.117592  30.752686 0.183225  31.052544  0   0   31.052544 0.950937   3  
   9  13  3    3   1    0    7   32.501881   0    0  1.100891  33.718007 0.233039  34.067844  0   0   34.067844 0.934273   3  
  10  12  2    2   1    0    3   35.500524   0    0  2.100702  37.732848 1.075270  38.932352  0   0   38.932352 1.068399   5  
  11  12  1    1   1    0    8   40.498247   0    0  2.316203  42.980428 0.924769  44.029970  0   0   44.029970 0.968502   5  
  12  11  4    4   1    0    4   45.512636   0    0  2.000997  47.628332 1.019186  48.761147  0   0   48.761147 1.251736   5  
  13  11  3    3   1    0    7   50.510351   0    0  1.533284  52.159594 0.068090  52.342852  0   0   52.342852 0.667748   3  
  14  10  3    2   0    0    5   53.508985   0    0  2.449531  56.074483 1.389602  57.590455  0   0   57.590455 1.418786   6  
  15  10  4    4   1    0    7   59.506250   0    0  1.366529  60.988920 0.147997  61.255479  0   0   61.255479 0.751010   3  
  16  10  3    4   0    0    7   62.504889   0    0  2.099745  64.737203 0.223610  65.087060  0   0   65.087060 0.918018   4  
  17  10  1    3   0    0    4   66.503069   0    0  1.983019  68.618781 1.576235  70.318002  0   0   70.318002 0.685315   5  
  18  11  1    1   1    0    1   71.500794   0    0  1.750874  73.399927 0.335121  73.849733  0   0   73.849733 1.151316   4  
  19  11  2    4   0    0    6   75.515633   0    0  2.067666  77.714643 0.729319  78.564262  0   0   78.564262 1.451596   5  
  20  11  2    1   0    0    2   80.513359   0    0  2.449441  83.112194 0.912301  84.145038  0   0   84.145038 0.868573   5  
  21  12  3    4   0    0    1   85.494427   0    0  1.233442  86.877141 1.042759  88.043271  0   0   88.043271 0.951341   4  
  22  12  4    4   1    0    6   89.509263   0    0  1.366548  91.025209 1.051037  92.191401  0   0   92.191401 0.818097   4  
  23  12  3    3   1    0    7   93.490774   0    0  1.267675  94.890163 0.298631  95.306645  0   0   95.306645 0.684340   3  
  24  11  3    3   1    0    8   96.489423   0    0  0.968538  97.588929 0.291682  98.005457  0   0   98.005457 0.984197   3  
  25  11  3    3   1    0    7   99.488054   0    0  1.883845 101.487119 0.578099 102.186824  0   0  102.186824 0.801470   4  
  26  10  4    4   1    0    6  103.502907   0    0  1.450797 105.085483 0.984947 106.185020  0   0  106.185020 0.817992   4  
  27  10  1   -1   0    0    1  107.501079   0    0  0.000000 110.016607 0.918262 111.049454  0   0  111.049454 0.951824   5  
  28  10  4   -1   0    0    4  112.498803   0    0  0.000000 115.014343 0.073916 115.214233  0   0  115.214233 0.784757   4  
  29  10  4    2   0    0    3  116.496981   0    0  1.749620 118.396123 1.603548 120.112001  0   0  120.112001 0.885208   5  
  30  10  2    1   0    0    1  121.494714   0    0  1.150079 122.777470 0.090113 122.994021  0   0  122.994021 1.000875   3  
  31  11  3    3   1    0    7  124.493345   0    0  1.866504 126.492453 0.197368 126.808953  0   0  126.808953 1.184632   4  
  32  11  1    1   1    0    1  128.491517   0    0  1.200481 129.807411 0.099360 130.024153  0   0  130.024153 0.967559   3  
