%% MetaTwins_RDMsc_training for 'panyucong': starting at _feedback (       49.0000000000).3-Apr-2019 11:12:22 for '7.375285e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  50  2    2   1    0    8    2.499083   0    0  0.484368   3.132142 0.542769   3.781835 0.999554   4.781389   5.780928 1.218388   5  
   2  50  2    2   1    0    8    7.496821   0    0  0.667001   8.313143 0.308884   8.729612 0.999530   9.729142  10.728696 1.268347   5  
   3  45  2    2   1    0    8   12.494567   0    0  0.651481  13.310877 0.279474  13.710678 0.999559  14.710237  15.709779 1.285015   5  
   4  45  4    4   1    0    8   17.492294   0    0  1.150036  18.824895 0.401103  19.341455 0.999575  20.341030  21.340587 0.651909   5  
   5  40  4    4   1    0    8   22.506704   0    0  0.851444  23.489497 0.202593  23.806108 0.999551  24.805659  25.805214 1.201717   5  
   6  40  3    3   1    0    8   27.504435   0    0  0.800176  28.454004 0.208997  28.770523 0.999565  29.770089  30.769627 1.234995   5  
   7  36  2    3   0    0    1   32.502175   0    0  1.151130  33.851565 1.832508  35.800687 0.999545  36.800232  37.799765 1.202623   7  
   8  36  1    1   1    0    8   39.499007   0    0  0.700117  40.331985 0.776003  41.214928 0.999506  42.214434  43.214058 0.785096   5  
   9  36  1    1   1    0    8   44.496752   0    0  0.684593  45.296389 0.329964  45.746195 0.999542  46.745737  47.745267 1.251716   5  
  10  32  4    4   1    0    8   49.494489   0    0  0.650301  50.294147 0.175421  50.577324 0.999574  51.576898  52.576414 1.418225   5  
  11  32  2    2   1    0    8   54.492229   0    0  0.784783  55.441769 0.259771  55.808300 0.999544  56.807844  57.807383 1.185080   5  
  12  28  4    4   1    0    8   59.489953   0    0  0.650300  60.306294 0.171016  60.589466 0.999545  61.589011  62.588561 1.401526   5  
  13  28  2    2   1    0    8   64.487703   0    0  0.801315  65.470591 0.337602  65.920387 0.999550  66.919937  67.919475 1.068455   5  
  14  25  4    4   1    0    8   69.502096   0    0  0.850162  70.518318 0.104425  70.734869 0.999573  71.734441  72.733980 1.268238   5  
  15  25  3    3   1    0    8   74.499847   0    0  0.517658  75.199529 0.181387  75.499383 0.999549  76.498933  77.498512 0.501457   4  
  16  22  3    4   0    0   -1   78.498025   0    0  0.850236  79.497607 0.000000  81.496700 0.999519  82.496219  83.495763 0.502353   6  
  17  22  4    4   1    0    8   84.495307   0    0  0.783392  85.444902 0.212393  85.778079 0.999529  86.777608  87.777164 1.218366   5  
  18  22  4    4   1    0    8   89.493060   0    0  0.901077  90.525899 0.415679  91.059018 0.999555  92.058573  93.058094 0.935165   5  
  19  19  1    1   1    0    8   94.490789   0    0  0.966689  95.606956 0.558481  96.273319 0.999538  97.272857  98.272423 0.718431   5  
  20  19  1    1   1    0    8   99.505196   0    0  0.817615 100.471428 0.260238 100.837926 0.999544 101.837470 102.837022 1.168413   5  
  21  17  2    4   0    0    8  104.502925   0    0  0.766942 105.435731 0.156119 105.702376 0.999553 106.701929 107.701474 1.301679   5  
  22  17  3    4   0    0    8  109.517336   0    0  0.734495 110.416921 0.303554 110.833404 0.999540 111.832944 112.832495 1.185082   5  
  23  19  1    1   1    0    8  114.515063   0    0  0.683713 115.348042 0.236783 115.697861 0.999539 116.697400 117.696951 1.318332   5  
  24  19  4    4   1    0    8  119.512804   0    0  0.917688 120.562291 0.238876 120.912177 0.999550 121.911728 122.911269 1.101782   5  
  25  17  4    4   1    0    8  124.510535   0    0  0.733541 125.376840 0.421693 125.909905 0.999555 126.909460 127.909008 1.101765   5  
  26  17  2    2   1    0    6  129.508290   0    0  1.117473 130.807705 0.949713 131.873880 0.999558 132.873438 133.872966 1.135545   6  
  27  15  4    4   1    0    8  135.505554   0    0  0.833542 136.454988 0.266937 136.838292 0.999554 137.837846 138.837387 1.168400   5  
  28  15  4    1   0    0    6  140.503299   0    0  1.134379 141.752741 0.999443 142.868910 0.999548 143.868458 144.867991 1.135538   6  
  29  15  4    4   1    0    8  146.500587   0    0  0.750070 147.366869 0.423478 147.899958 0.999538 148.899496 149.899049 1.101757   5  
  30  15  3    4   0    0    8  151.498333   0    0  1.567352 153.197563 0.497859 153.813949 0.999600 154.813550 155.813032 1.185523   6  
  31  15  1    3   0    0    8  157.512268   0    0  1.133319 158.761544 0.757321 159.627995 0.999532 160.627527 161.627081 1.385415   6  
  32  16  2    3   0    0   -1  163.509577   0    0  1.134562 164.775666 0.000000 166.774755 0.999532 167.774287 168.773842 1.235949   7  
  33  16  2    4   0    0    8  170.506383   0    0  0.983453 171.605896 0.505824 172.222276 0.999568 173.221844 174.221384 0.785238   5  
  34  16  1    1   1    0    8  175.504137   0    0  0.701204 176.370367 0.366979 176.853534 0.999548 177.853082 178.852609 1.151776   5  
