%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at panyufan (       49.0000000000).3-Apr-2019 12:41:187.375285e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   8    3   0    7    2.498868 1.383320   4.031514 0.216080   4.364687 3.634402   6  
   2  2   8    2   1    7    8.496141 0.850219   9.478887 0.207406   9.812219 4.184133   6  
   3  2   8    2   1    7   14.493427 1.516671  16.126013 0.173196  16.425882 3.567710   6  
   4  4   8    3   0    6   20.490702 1.649828  22.306534 0.810427  23.239454 2.751409   6  
   5  2   8    2   1    7   26.487981 1.816720  28.487074 0.118653  28.720303 3.267802   6  
   6  2   8    2   1    7   32.501923 1.833262  34.467606 0.180554  34.767562 3.234452   6  
   7  4   8    4   1    7   38.499196 1.449887  40.098483 0.273704  40.498282 3.500991   6  
   8  1   8    4   0    6   44.513138 2.099594  46.745451 0.388504  47.261893 2.751461   6  
   9  4   8    4   1    7   50.510411 1.200144  51.876458 0.138482  52.143005 3.867635   6  
  10  3   8    2   0    6   56.507686 1.499976  58.206918 0.222739  58.556758 3.451153   6  
  11  1   8    1   1    6   62.504972 1.749758  64.404108 0.177234  64.703990 3.301201   6  
  12  4   8    2   0    7   68.502244 0.966903  69.635061 0.192601  69.951594 4.050877   6  
  13  3   8    1   0    7   74.499524 1.000120  75.682246 0.130403  75.932213 4.067532   6  
  14  2   8    2   1    7   80.496810 1.033544  81.679430 0.147992  81.946144 4.050880   6  
  15  3   8    2   0    8   86.510734 1.216885  87.893442 0.175802  88.193299 3.817668   6  
  16  3   8    2   0    8   92.508007 1.366756  94.023918 0.151785  94.290543 3.717694   6  
  17  2   8    2   1    8   98.505294 1.066834  99.688085 0.174703  99.987956 4.017568   6  
  18  4   8    4   1    8  104.502573 2.033081 106.718099 0.171574 107.001451 3.001368   6  
  19  4   8    2   0    7  110.499850 1.699645 112.382344 0.617027 113.115338 2.884739   6  
  20  1   8    1   1    7  116.497126 1.716562 118.362955 0.241737 118.729450 3.267875   6  
  21  2   8    2   1    6  122.494407 0.900177 123.560588 0.296062 123.977063 4.017513   6  
  22  4   8    2   0    7  128.491687 0.950188 129.607848 0.243313 129.974346 4.017481   6  
  23  1   8    2   0    6  134.488963 1.799863 136.421280 0.575920 137.121101 2.867997   6  
  24  3   8    3   1    6  140.502902 1.883050 142.601949 0.676335 143.401589 2.601421   6  
  25  3   8    2   0    8  146.500184 1.116657 147.799593 0.305880 148.232719 3.767545   6  
  26  4   8    2   0    7  152.514103 1.416713 154.096740 0.623833 154.846389 3.167954   6  
  27  4   8    2   0    6  158.511381 1.400019 160.077354 0.308451 160.510481 3.501132   6  
  28  3   8    2   0    6  164.508670 1.633174 166.274529 0.339460 166.740989 3.267904   6  
  29  2   8    3   0    7  170.505940 1.616506 172.321789 0.282699 172.721619 3.284562   6  
  30  3   8    2   0    6  176.503224 1.866369 178.585496 0.763975 179.468542 2.534902   6  
  31  1   8    2   0    5  182.500506 1.716618 184.382988 0.512757 185.016033 2.984698   6  
  32  1   8    2   0    6  188.497773 1.050226 189.680502 0.315245 190.113720 3.884290   6  
  33  2   8    3   0    6  194.495052 1.749852 196.427528 0.145015 196.694064 3.301230   6  
  34  2   8    2   1    7  200.508988 1.549881 202.191481 0.135422 202.441463 3.567757   6  
  35  2   8    2   1    6  206.506274 1.266731 207.938918 0.321998 208.388749 3.617759   6  
  36  3   8    2   0    7  212.503561 0.883407 213.519738 0.148249 213.786304 4.217475   6  
  37  1   8    2   0    7  218.500832 2.066335 220.733113 0.223489 221.082990 2.918061   6  
  38  3   8    4   0    6  224.498106 1.350071 226.030735 0.142781 226.297290 3.701019   6  
  39  4   8    4   1    6  230.495392 1.366667 232.011317 0.124929 232.244589 3.750972   6  
  40  1   8    3   0    6  236.492658 1.983154 238.658354 0.279459 239.058167 2.934643   6  
  41  2   8    3   0    6  242.489939 1.949615 244.638977 0.372223 245.138738 2.851343   6  
  42  1   8    1   1    6  248.487215 0.900222 249.503258 0.160565 249.786637 4.200688   6  
  43  3   8    1   0    7  254.501159 1.133597 255.817236 0.097220 256.033799 3.967448   6  
  44  3   8    3   1    6  260.515093 2.499351 263.180542 0.247887 263.547058 2.468265   6  
  45  2   8    1   0    5  266.512367 1.083303 267.711832 0.276193 268.111648 3.900948   6  
  46  4   8    3   0    6  272.509642 1.716499 274.392139 0.224957 274.741967 3.267918   6  
  47  1   8    1   1    6  278.506942 1.599831 280.222815 0.188361 280.539344 3.467809   6  
  48  4   8    4   1    7  284.504202 1.533268 286.169996 0.146688 286.436669 3.567768   6  
  49  3   8    1   0    7  290.501493 1.233500 291.900853 0.093484 292.117419 3.884296   6  
  50  3   8    3   1    6  296.498763 1.399894 298.064581 0.348998 298.531171 3.467822   6  
  51  4   8    3   0    6  302.496039 2.049726 304.678394 0.341628 305.144834 2.851433   6  
  52  1   8    1   1    6  308.509977 1.050201 309.692782 0.174125 309.992635 4.017573   6  
  53  1   8    2   0    6  314.507259 1.766583 316.456329 0.210273 316.789552 3.217929   6  
