%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at diaoheng (       49.0000000000).3-Apr-2019 12:31:297.375285e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   15   2   1    7    2.498471 0.750554   3.397782 0.280994   3.797572 4.201152   6  
   2  1   15   3   0    1    8.494589 1.383433  10.076926 1.017276  11.209534 2.785381   6  
   3  3   15   2   0    3   14.507442 1.316796  16.056452 0.664736  16.839294 3.168466   6  
   4  2   15   2   1    6   20.503623 1.183556  21.852860 0.725173  22.702221 3.301811   6  
   5  1   15   1   1    5   26.499802 1.416751  28.065480 0.764841  28.948244 3.051886   6  
   6  2   15   4   0    5   32.495987 1.433342  34.094977 0.996704  35.210931 2.785389   6  
   7  2   15   2   1    4   38.508832 1.516681  40.191110 0.908304  41.223781 2.785379   6  
   8  1   15   1   1    5   44.505019 1.483396  46.120506 0.903659  47.136758 2.868591   6  
   9  2   15   2   1    4   50.501210 1.333468  52.050304 1.341504  53.515966 2.485563   6  
  10  4   15   3   0    3   56.497467 1.816360  58.479417 1.081547  59.678711 2.319102   6  
  11  3   15   4   0    1   62.510241 1.749875  64.475481 1.414506  66.008078 2.002477   6  
  12  4   15   2   0    4   68.506500 1.699814  70.355178 1.387667  71.854364 2.152389   6  
  13  4   15   3   0    1   74.502613 2.266205  76.900885 0.514810  77.534021 2.468915   6  
  14  1   15   3   0    3   80.515444 1.816500  82.514150 1.299538  83.929942 2.085837   6  
  15  3   15   3   1    5   86.511640 1.599958  88.293852 1.097452  89.509726 2.502242   6  
  16  4   15   4   1    3   92.507823 1.166907  93.940260 1.397773  95.456024 2.552125   6  
  17  3   15   2   0    5   98.504012 1.866501 100.569368 1.445653 102.135041 1.869296   6  
  18  2   15   3   0    1  104.516858 2.366187 107.015277 0.459734 107.598227 2.418949   6  
  19  4   15   2   0    2  110.496470 1.783093 112.445161 0.918571 113.477823 2.518664   6  
  20  1   15   2   0    1  116.492646 1.783101 118.774562 0.575811 119.474016 2.518669   6  
  21  1   15   4   0    3  122.488759 1.949741 124.820517 0.865264 125.803321 2.185578   6  
  22  2   15   3   0    3  128.501606 2.116290 130.883433 0.959715 131.966063 2.035705   6  
  23  2   15   4   0    5  134.497797 1.166898 136.030159 1.114422 137.262696 2.735276   6  
  24  4   15   3   0    3  140.493975 2.032958 142.875888 0.857176 143.858502 2.135675   6  
  25  3   15   3   1    6  146.490170 1.400039 148.089155 0.583663 148.788703 3.201698   6  
  26  4   15   4   1    3  152.503078 1.699843 154.518433 0.645834 155.284568 2.718758   6  
  27  2   15   2   1    6  158.499198 1.450044 160.164754 0.449730 160.731184 3.268357   6  
  28  1   15   1   1    1  164.495375 2.249549 166.943830 0.477184 167.543511 2.452232   6  
  29  1   15   3   0    2  170.491565 2.316165 173.006598 1.003598 174.122594 1.869284   6  
  30  1   15   2   0    2  176.504394 2.416123 179.069402 0.706292 179.902244 2.102555   6  
  31  1   15   1   1    5  182.500587 1.883089 184.632581 0.933063 185.681912 2.319014   6  
  32  3   15   3   1    5  188.496786 1.250182 190.045806 0.930055 191.095123 2.901990   6  
  33  1   15   4   0    2  194.509624 1.184290 195.925391 0.900604 196.941413 3.068529   6  
  34  2   15   2   1    5  200.505808 1.100273 201.821649 0.852244 202.787699 3.218440   6  
  35  4   15   3   0    1  206.502011 1.200281 207.834485 0.848501 208.800607 3.201715   6  
