%% MetaTwins_RDMsc_training for 'diaoheng': starting at _feedback (       49.0000000000).3-Apr-2019 11:40:03 for '7.375285e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  18  3    3   1    0    6    2.498592   0    0  0.850424   3.464647 0.406124   3.980989 0.999348   4.980337   5.979713 1.019193   5  
   2  18  2    2   1    0    7    7.495410   0    0  1.383519   9.061091 0.324154   9.494152 0.999354  10.493506  11.492832 0.502901   5  
   3  16  3    3   1    0    7   12.492305   0    0  1.066943  13.674809 0.699194  14.491032 0.999292  15.490324  16.489687 0.502870   5  
   4  16  3    3   1    0    6   17.505704   0    0  0.783864  18.405136 0.306284  18.821550 0.999346  19.820897  20.820342 1.185702   5  
   5  14  1    2   0    0    2   22.502527   0    0  1.533553  24.184803 1.375892  25.683853 0.999428  26.683281  27.682567 1.320298   7  
   6  14  4    3   0    0    6   29.498158   0    0  0.900339  30.514099 0.339951  30.963816 0.999357  31.963173  32.962545 1.035878   5  
   7  15  4    3   0    0    6   34.494910   0    0  1.250391  35.860765 0.677329  36.660184 0.999377  37.659561  38.658994 1.336250   6  
   8  15  4    3   0    0    5   40.507751   0    0  0.900507  41.523614 0.479028  42.123384 0.999360  43.122744  44.122194 0.885888   5  
   9  16  2    3   0    0    1   45.504564   0    0  2.383038  48.036319 1.046610  49.202219 0.999442  50.201661  51.200944 0.803957   7  
  10  16  4    2   0    0    3   52.500134   0    0  1.849888  54.515522 1.606958  56.231085 0.999432  57.230517  58.229799 0.770651   7  
  11  18  2    2   1    0    6   59.495775   0    0  2.499539  62.127210 0.448725  62.693628 0.999387  63.693015  64.692361 1.303713   7  
  12  18  1    3   0    0    1   66.507873   0    0  2.149950  68.773113 1.075814  69.972346 0.999359  70.971705  71.971086 1.037130   7  
  13  18  1    1   1    0    2   73.503435   0    0  1.716782  75.385589 0.532191  76.035135 0.999385  77.034520  78.033885 0.969883   6  
  14  18  3    3   1    0    6   79.499612   0    0  1.000831  80.648892 0.453789  81.215187 0.999379  82.214565  83.213917 0.786034   5  
  15  16  3    2   0    0    5   84.496433   0    0  1.733214  86.378426 0.532072  87.028162 0.999376  88.027538  89.026895 0.969875   6  
  16  16  1    2   0    0    1   90.509340   0    0  1.566785  92.191542 1.520110  93.823849 0.999365  94.823214  95.822575 1.187045   7  
  17  18  3   -1   0    0    2   97.504837   0    0  0.000000 100.036518 0.000453 100.153152 0.999376 101.152528 102.151876 0.853280   6  
  18  18  2    2   1    0    5  103.501021   0    0  1.033813 104.733580 1.533167 106.382517 0.999365 107.381882 108.381242 0.620102   6  
  19  18  1    2   0    0    3  109.497211   0    0  2.367240 111.978961 1.305809 113.394733 0.999352 114.394085 115.393469 0.604063   7  
  20  18  1    1   1    0    3  116.509410   0    0  1.483523 118.108402 1.243356 119.474195 0.999368 120.473563 121.472927 0.536821   6  
  21  18  4    1   0    0    5  122.505606   0    0  1.949878 124.587619 0.693691 125.403764 0.999369 126.403134 127.402487 0.603449   6  
  22  18  1    2   0    0    5  128.501788   0    0  1.916459 130.533834 0.767344 131.416597 0.999383 132.415979 133.415336 0.586771   6  
  23  20  1    2   0    0    5  134.497975   0    0  1.933124 136.563343 0.410566 137.096336 0.999345 138.095681 139.095057 0.903237   6  
  24  20  2    2   1    0    6  140.494170   0    0  1.250212 141.876580 0.799165 142.792708 0.999369 143.792077 144.791435 1.203059   6  
  25  20  4   -1   0    0    2  146.506994   0    0  0.000000 149.022089 0.078406 149.221953 0.999354 150.221307 151.220663 0.786663   6  
  26  20  2    2   1    0    7  152.503175   0    0  0.767250 153.419289 0.666888 154.202119 0.999352 155.201470 156.200911 0.802604   5  
  27  18  1    2   0    0    5  157.500009   0    0  0.867155 158.482599 0.679936 159.282203 0.999371 160.281574 161.280936 0.719411   5  
  28  18  4    2   0    0    3  162.496910   0    0  1.666755 164.295688 1.429884 165.844713 0.999354 166.844067 167.843443 1.153728   7  
  29  20  1    2   0    0    1  169.509049   0    0  1.500049 171.174581 0.717176 172.007458 0.999350 173.006808 174.006172 1.003197   6  
  30  20  2    2   1    0    5  175.505239   0    0  1.933416 177.587251 1.937426 179.635936 0.999363 180.635299 181.634666 1.370892   8  
  31  20  2    2   1    0    2  183.500147   0    0  0.801049 184.432878 0.791751 185.348967 0.999367 186.348334 187.347694 0.652780   5  
  32  18  1    2   0    0    1  188.496960   0    0  1.966509 190.578968 1.593673 192.294556 0.999368 193.293924 194.293275 0.704028   7  
  33  18  4   -1   0    0   -1  195.509161   0    0  0.000000 198.024256 0.000000 200.022891 0.999511 201.022402 202.021765 0.987745   8  
  34  18  2    2   1    0    6  203.504078   0    0  1.366998 204.986492 0.803472 205.902638 0.999294 206.901932 207.901295 1.103133   6  
  35  18  2    2   1    0    1  209.500277   0    0  0.767307 210.416472 0.614660 211.149221 0.999442 212.148663 213.147954 0.852644   5  
  36  16  2    2   1    0    5  214.497103   0    0  0.700646 215.329899 0.797879 216.245988 0.999359 217.245347 218.244718 0.752700   5  
  37  16  2    2   1    0    6  219.510641   0    0  0.717174 220.343451 0.444577 220.909687 0.999428 221.909115 222.908420 1.102484   5  
  38  14  4    2   0    0   -1  224.507389   0    0  1.483529 226.106376 0.000000 228.105028 0.999446 229.104474 230.103838 0.903893   7  
  39  14  4    2   0    0    1  231.502948   0    0  1.483548 233.118381 0.890458 234.117956 0.999364 235.117320 236.116685 0.886589   6  
  40  14  4    3   0    0    2  237.499130   0    0  1.650186 239.264673 0.435582 239.814327 0.999334 240.813660 241.813061 1.186402   6  
  41  15  3    3   1    0    2  243.495309   0    0  1.350189 244.960935 0.488034 245.560684 0.999353 246.560037 247.559479 1.436170   6  
  42  15  1    1   1    0    5  249.508235   0    0  1.333440 250.957243 1.082517 252.156475 0.999445 253.155921 254.155206 0.853282   6  
  43  14  1    3   0    0    2  255.504410   0    0  1.749923 257.369709 0.522384 258.002759 0.999437 259.002196 260.001483 1.003205   6  
  44  14  3    3   1    0    2  261.500598   0    0  1.400033 263.033000 0.600716 263.749102 0.999369 264.748472 265.747843 1.253016   6  
  45  14  3    3   1    0    6  267.496796   0    0  0.833887 268.446186 0.596574 269.162331 0.999436 270.161767 271.161050 0.836004   5  
  46  13  1    2   0    0    1  272.510260   0    0  2.432965 275.058586 1.055419 276.224546 0.999321 277.223867 278.223238 0.787299   7  
  47  13  3    3   1    0    6  279.505756   0    0  1.150343 280.788273 1.310938 282.220695 0.999356 283.220051 284.219416 0.786670   6  
  48  13  4    3   0    0    2  285.501945   0    0  1.366962 286.984421 0.644208 287.750579 0.999292 288.749872 289.749237 1.253034   6  
  49  13  3    3   1    0    6  291.498132   0    0  0.983633 292.614093 1.122999 293.846627 0.999433 294.846060 295.845353 1.153105   6  
  50  13  4    3   0    0   -1  297.510960   0    0  1.616663 299.259960 0.000000 301.258502 0.999524 302.258025 303.257317 0.753979   7  
  51  13  3    2   0    0    1  304.506513   0    0  2.116432 306.755019 0.912879 307.787770 0.999362 308.787132 309.786494 1.220356   7  
  52  13  2    3   0    0    2  311.502091   0    0  1.901068 313.534001 0.591824 314.250323 0.999445 315.249768 316.249048 0.753358   6  
  53  14  1    3   0    0   -1  317.498257   0    0  1.684095 319.347100 0.000000 321.345757 0.999418 322.345175 323.344546 0.654041   7  
  54  14  4    3   0    0    2  324.510546   0    0  0.850438 325.542946 0.500820 326.159415 0.999362 327.158778 328.158151 0.852636   5  
  55  14  4    4   1    0    2  329.507289   0    0  2.149817 331.772520 0.566003 332.455404 0.999457 333.454862 334.454206 0.553401   6  
  56  14  3    4   0    0    2  335.503464   0    0  1.083886 336.702706 0.926671 337.752042 0.999363 338.751405 339.750845 1.252946   6  
  57  14  3    2   0    0    1  341.499667   0    0  1.916560 343.548519 0.499341 344.164641 0.999345 345.163987 346.163430 0.836559   6  
  58  15  3    3   1    0    1  347.512502   0    0  1.300219 348.944932 1.251497 350.310774 0.999385 351.310159 352.309507 0.703320   6  
  59  15  2    3   0    0    1  353.508688   0    0  1.700031 355.340875 1.175586 356.640037 0.999369 357.639405 358.638766 1.370258   7  
  60  15  2    2   1    0    6  360.504244   0    0  0.800496 361.453711 0.524636 362.086651 0.999287 363.085938 364.085300 0.919267   5  
]; % This session completes at 13-Apr-2019 11:46:21, 367.009s after session start, 363s on 60 trials, totally 377.177s, correctness is 43.333%.

