%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at liangchao (       49.0000000000).3-Apr-2019 17:24:237.375287e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   9    2   0    6    2.498851 1.883202   4.514611 1.196358   5.830679 2.168410   6  
   2  2   9    4   0    8    8.496136 2.099724  10.711794 0.506601  11.344841 2.651518   6  
   3  4   9    1   0    4   14.493410 1.833116  16.459158 0.991678  17.575342 2.418307   6  
   4  3   9    3   1    4   20.507351 2.099666  22.756333 1.265295  24.139030 1.868549   6  
   5  2   9    2   1    8   26.504631 1.366549  27.987286 0.083040  28.187195 3.817655   6  
   6  3   9    1   0    5   32.501896 1.350018  34.001226 0.846828  34.967455 3.034681   6  
   7  4   9    4   1    7   38.499182 1.949772  40.564909 0.585704  41.264598 2.734820   6  
   8  3   9    1   0    2   44.496463 2.033015  46.662145 0.904010  47.695008 2.301670   6  
   9  2   9    2   1    7   50.493744 1.566569  52.176313 0.783815  53.075908 2.918063   6  
  10  3   9    3   1    3   56.507669 1.666536  58.306862 1.636729  60.056068 1.951842   6  
  11  4   9    2   0    6   62.504952 1.983094  64.637186 1.325911  66.086660 1.918526   6  
  12  4   9    3   0    2   68.502242 2.282941  70.967695 1.562452  72.650344 1.352108   6  
  13  4   9    1   0    5   74.499501 1.983116  76.631881 1.156830  77.914637 2.085104   6  
  14  2   9    2   1    8   80.496784 1.666399  82.295989 0.138980  82.562518 3.434505   6  
  15  2   9   -1   0   -1   86.494057 0.000000  89.009596 0.000000  91.008644 0.985655   6  
  16  1   9    2   0    5   92.491347 1.783505  94.407067 0.754603  95.290085 2.701481   6  
  17  1   9    2   0    5   98.505286 2.099650 100.737597 0.396942 101.254027 2.751473   6  
  18  4   9    3   0    5  104.502559 1.999576 106.634821 0.378406 107.134688 2.868086   6  
  19  1   9    2   0    1  110.499838 1.916431 112.548816 0.219543 112.898744 3.101300   6  
  20  1   9    1   1    8  116.497122 1.816313 118.479562 0.939366 119.545727 2.451614   6  
  21  2   9    2   1    7  122.494397 1.649872 124.293460 0.596918 125.009926 2.984668   6  
  22  1   9    3   0    6  128.491669 1.999928 130.657363 1.320081 132.106706 1.885173   6  
  23  2   9    2   1    8  134.505607 2.250298 136.887790 0.808527 137.820764 2.185043   6  
  24  4   9    1   0    7  140.502888 1.833155 142.501980 1.204667 143.834712 2.168388   6  
  25  3   9    1   0    8  146.500164 1.799768 148.432628 0.970984 149.532120 2.468263   6  
  26  1   9    4   0    2  152.497436 2.216220 154.829719 0.873773 155.829258 2.168389   6  
  27  4   9    2   0    5  158.494719 2.382793 160.993590 0.666031 161.776568 2.218356   6  
  28  4   9    2   0   -1  164.491993 2.116500 166.774298 0.000000 168.773336 1.218883   6  
  29  3   9    2   0    6  170.505926 1.949777 172.571664 0.703617 173.387957 2.618176   6  
  30  2   9    1   0    6  176.503218 1.766557 178.418889 0.730191 179.268629 2.734789   6  
  31  3   9    3   1    5  182.500488 2.249619 184.899415 1.371071 186.398721 1.601966   6  
  32  1   9    1   1    7  188.497776 1.766546 190.430221 0.542357 191.096597 2.901369   6  
  33  2   9    1   0    4  194.495054 2.116324 196.743986 1.588406 198.459919 1.535327   6  
  34  1   9    3   0    7  200.492330 1.883084 202.524732 0.375978 203.024520 2.968005   6  
  35  1   9    1   1    7  206.506263 2.016337 208.638481 0.877619 209.638183 2.368271   6  
  36  4   9    4   1    7  212.503545 1.799853 214.419336 0.298887 214.835815 3.167923   6  
  37  4   9    4   1    8  218.500816 2.382846 220.999684 0.236680 221.349519 2.651502   6  
  38  3   9   -1   0    3  224.498101 0.000000 227.013652 0.013532 227.146898 2.851388   6  
  39  4   9    4   1    8  230.495369 1.833888 232.444495 0.302900 232.877634 3.117928   6  
  40  1   9    1   1    5  236.492646 1.849789 238.475011 0.582538 239.174771 2.818084   6  
  41  2   9    2   1    1  242.489928 1.949816 244.605650 1.199097 245.921701 2.068411   6  
  42  3   9    4   0    8  248.503876 2.066308 250.686212 0.578590 251.385897 2.618160   6  
  43  2   9    1   0    1  254.501153 2.232932 256.900055 1.137554 258.149498 1.851835   6  
  44  4   9    4   1    2  260.498431 2.349603 262.963984 1.756479 264.846459 1.152158   6  
  45  4   9    1   0    1  266.495708 2.499443 269.161171 0.832293 270.110736 1.885167   6  
  46  3   9    4   0    6  272.492987 1.949711 274.558709 0.921532 275.608237 2.384938   6  
  47  4   9   -1   0    4  278.490262 0.000000 281.005823 0.078703 281.205689 2.784756   6  
  48  1   9    2   0    4  284.504207 2.099679 286.719860 1.195119 288.035937 1.968443   6  
  49  3   9    4   0    7  290.501476 2.399636 293.016999 0.448425 293.583407 2.418242   6  
  50  2   9    3   0    7  296.498749 1.933077 298.547831 0.261743 298.930989 3.067943   6  
  51  1   9    2   0    7  302.496036 2.199589 304.811647 0.750767 305.677917 2.318289   6  
  52  4   9   -1   0    3  308.493313 0.000000 311.008838 0.170782 311.308692 2.684785   6  
  53  2   9    1   0    7  314.490593 1.616528 316.272992 0.918635 317.305986 2.684787   6  
  54  2   9    2   1    7  320.504527 1.283404 321.953864 0.425204 322.503618 3.501084   6  
  55  1   9    4   0    4  326.501805 2.316442 328.934034 1.269053 330.316729 1.685237   6  
  56  1   9    1   1    7  332.499079 2.016312 334.648039 1.212854 335.980837 2.018417   6  
  57  4   9    4   1    8  338.496361 1.833101 340.445483 0.232158 340.795319 3.201208   6  
  58  2   9    1   0    4  344.493642 2.182950 346.825921 0.390009 347.342339 2.651478   6  
  59  2   9   -1   0    2  350.490922 0.000000 353.006452 0.015668 353.139711 2.851383   6  
  60  3   9    2   0    4  356.504855 1.782996 358.404000 1.163266 359.686737 2.318297   6  
  61  3   9    3   1    7  362.502131 1.533320 364.168041 0.631194 364.917700 3.084593   6  
  62  1   9    2   0    4  368.499415 2.083161 370.748364 1.355627 372.231057 1.768518   6  
  63  1   9    1   1    6  374.496692 1.883101 376.512448 0.978941 377.611938 2.384917   6  
  64  3   9    2   0    3  380.493959 1.883103 382.493061 0.000842 382.609666 3.384478   6  
  65  3   9    3   1    1  386.491244 2.334038 388.973444 1.043960 390.139582 1.851821   6  
  66  1   9    3   0    6  392.505181 2.066438 394.687406 0.895629 395.703729 2.301604   6  
  67  1   9    2   0    7  398.502465 1.983049 400.634822 0.885230 401.634379 2.368230   6  
  68  4   9    4   1    2  404.499742 2.399313 407.015268 0.935495 408.064790 1.935109   6  
  69  3   9    1   0    4  410.497015 2.216345 412.862600 1.039164 414.028741 1.968429   6  
  70  2   9    2   1    5  416.494286 2.033015 418.643311 1.426514 420.192620 1.801835   6  
  71  4   9    2   0    7  422.491580 2.066308 424.707179 0.506490 425.340275 2.651449   6  
  72  1   9    3   0    3  428.488841 2.099730 430.721168 0.960178 431.804011 2.185005   6  
  73  2   9    2   1    4  434.502789 1.833066 436.468522 1.060966 437.651356 2.351583   6  
  74  1   9    2   0    1  440.500071 2.482845 443.115543 1.532786 444.764784 1.235432   6  
  75  3   9    1   0   -1  446.497349 2.282895 448.929569 0.000000 450.928607 1.068892   6  
  76  1   9   -1   0    2  452.494619 0.000000 455.010151 0.050028 455.176727 2.818048   6  
  77  2   9    4   0    2  458.491896 2.166335 460.774194 1.382282 462.273513 1.718534   6  
  78  2   9    1   0    5  464.489179 1.383329 466.005163 0.715131 466.838107 3.151231   6  
  79  1   9   -1   0    2  470.503117 0.000000 473.018666 0.156494 473.301847 2.701416   6  
  80  2   9    2   1    5  476.500391 1.466451 478.083011 0.456145 478.666075 3.334470   6  
  81  3   9    3   1    2  482.497676 2.282911 484.896571 1.066859 486.079376 1.918456   6  
  82  2   9    2   1    6  488.494946 1.749887 490.360779 0.917931 491.393627 2.601468   6  
  83  2   9    2   1    5  494.492224 1.899704 496.574612 0.790752 497.490861 2.501514   6  
  84  3   9    1   0    6  500.489507 1.966324 502.605081 0.869330 503.588095 2.401555   6  
  85  4   9    1   0    4  506.503443 1.933070 508.585698 1.373697 510.085127 1.918458   6  
  86  3   9    4   0    7  512.500726 2.399524 515.016245 1.225818 516.365634 1.635222   6  
  87  3   9    2   0    5  518.497992 1.733202 520.363827 1.022896 521.513294 2.484847   6  
  88  1   9    2   0    1  524.495271 2.366200 526.994136 1.420086 528.543439 1.451975   6  
  89  3   9    1   0    6  530.492553 1.982958 532.608261 0.873765 533.607805 2.384899   6  
  90  3   9    2   0    6  536.489834 2.232926 538.855416 1.167217 540.138177 1.851799   6  
]; % This session completes at 13-Apr-2019 17:33:49, 544.004s after session start, 540s on 90 trials, totally 566.055s.

