%% MetaTwins_RDMsc_training for 'liangchao': starting at _feedback (       49.0000000000).3-Apr-2019 15:51:25 for '7.375287e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  12  4    4   1    0    1    2.498861   0    0  2.216126   4.831127 0.597756   5.547483 0.999538   6.547021   7.546559 1.452502   7  
   2  12  2    1   0    0    6    9.495680   0    0  2.116286  11.744670 1.304403  13.177352 0.999540  14.176892  15.176439 0.819405   7  
   3  12  2    4   0    0    8   16.492503   0    0  1.749751  18.358320 0.503968  18.974721 0.999538  19.974259  20.973807 1.018827   6  
   4  13  3    1   0    0    5   22.489779   0    0  2.083031  24.688661 1.391155  26.204759 0.999549  27.204308  28.203853 0.786019   7  
   5  13  2    3   0    0   -1   29.503270   0    0  2.232941  31.852208 0.000000  33.851250 0.999589  34.850838  35.850383 1.153112   8  
   6  13  3    1   0    0    2   37.499644   0    0  2.399530  40.015170 1.076850  41.214628 0.999535  42.214163  43.213708 0.786155   7  
   7  14  1    1   1    0    2   44.513133   0    0  1.966308  46.595388 0.683873  47.395142 0.999550  48.394693  49.394238 0.619110   6  
   8  14  3   -1   0    0    2   50.510395   0    0  0.000000  53.025940 0.184561  53.325789 0.999549  54.325339  55.324876 0.685749   6  
   9  14  3    1   0    0    2   56.507673   0    0  2.083125  58.706683 1.249731  60.072731 0.999537  61.072268  62.071822 0.936082   7  
  10  14  1    1   1    0    4   63.504497   0    0  2.066363  65.686851 1.073664  66.886301 0.999537  67.885837  68.885385 1.119344   7  
  11  14  1    1   1    0    6   70.501327   0    0  2.499703  73.116806 1.297213  74.532821 0.999562  75.532383  76.531915 1.469602   8  
  12  13  3    1   0    0    6   78.497693   0    0  2.366166  80.979902 1.284366  82.379272 0.999546  83.378818  84.378358 0.619480   7  
  13  13  4   -1   0    0    8   85.494521   0    0  0.000000  88.159985 1.240696  89.526031 0.999539  90.525570  91.525119 1.469493   8  
  14  13  1    1   1    0    8   93.507545   0    0  1.866375  95.489990 1.158253  96.772738 0.999532  97.772270  98.771829 1.235955   7  
  15  13  1    1   1    0    4  100.504379   0    0  2.432800 103.053231 1.499932 104.669163 0.999530 105.668693 106.668241 1.336358   8  
  16  12  3    2   0    0    8  108.500744   0    0  2.349344 110.966307 0.937525 112.015820 0.999539 113.015359 114.014901 0.986077   7  
  17  12  4   -1   0    0    3  115.497577   0    0  0.000000 118.013126 0.501121 118.629495 0.999520 119.629015 120.628575 1.369233   7  
  18  12  3    1   0    0    4  122.494394   0    0  2.499449 125.109882 1.105714 126.342652 0.999546 127.342199 128.341746 0.652880   7  
  19  13  2   -1   0    0    4  129.507876   0    0  0.000000 132.023419 0.000341 132.140009 0.999547 133.139557 134.139101 0.869009   6  
  20  13  4    4   1    0    6  135.505154   0    0  1.133406 136.754605 0.830058 137.704164 0.999530 138.703694 139.703242 1.302109   6  
  21  13  1    1   1    0    7  141.502439   0    0  1.799987 143.418240 0.800875 144.334492 0.999536 145.334028 146.333575 0.669010   6  
  22  12  2    4   0    0    1  147.499723   0    0  1.901126 149.515465 1.280854 150.914831 0.999539 151.914370 152.913916 1.085924   7  
  23  12  2    1   0    0    5  154.496543   0    0  2.199663 156.812168 1.073019 158.011606 0.999536 159.011143 160.010698 0.985905   7  
