%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at liangyue (       49.0000000000).3-Apr-2019 16:54:277.375287e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   9    3   1    7      5      2.498862 2.132982   5.147697 0.942410   6.197208 1.801888   6  
   2  2   9    2   1    7      8      8.496151 2.116345  11.128331 0.706860  11.944629 2.051705   6  
   3  1   9    1   1    8      3     14.493465 1.800006  16.809089 0.016997  16.942361 3.051330   6  
   4  1   9    1   1    7      2     20.490732 2.349567  23.356122 1.009113  24.488947 1.501876   6  
   5  3   9    3   1    8      8     26.504694 2.033231  29.053550 1.025137  30.186366 1.818559   6  
   6  1   9    2   0    7      2     32.501963 2.199648  35.217426 0.112684  35.450653 2.551547   6  
   7  4   9    4   1    8      6     38.499271 2.283074  41.298005 0.094962  41.514575 2.484917   6  
   8  3   9    2   0    8      6     44.513189 2.282879  47.311945 0.165512  47.595153 2.418275   6  
   9  3   9    4   0    7      2     50.510497 2.283282  53.309235 0.000808  53.425842 2.584875   6  
  10  4   9    4   1    7      5     56.507782 2.049599  59.073297 0.517792  59.706341 2.301665   6  
  11  1   9    1   1    7      3     62.505072 2.466357  65.487060 0.079391  65.686969 2.318325   6  
  12  4   9    4   1    8      7     68.502338 1.966408  70.984566 0.695029  71.800868 2.201665   6  
  13  2   9    2   1    8      8     74.499641 1.833379  76.848580 0.422203  77.381670 2.618201   6  
  14  1   9    4   0    7      3     80.496911 2.316236  83.328977 0.350737  83.795437 2.201589   6  
  15  3   9    1   0    8      1     86.494217 2.333049  89.342923 0.303858  89.759410 2.234983   6  
  16  3   9    4   0    7      7     92.508141 2.232959  95.256923 0.673591  96.039899 1.968472   6  
  17  2   9    1   0    8      6     98.505438 2.383097 101.404136 0.152088 101.670680 2.334982   6  
  18  4   9    3   0    8      2    104.502713 2.499507 107.518031 0.001230 107.634654 2.368301   6  
  19  1   9    4   0    8      5    110.500021 2.266392 113.282089 0.426086 113.815182 2.185052   6  
  20  4   9    4   1    7      5    116.497294 2.316244 119.329352 0.262332 119.712507 2.285024   6  
  21  3   9   -1   0    7      2    122.494595 2.499958 125.010125 0.455990 125.576522 2.418285   6  
  22  1   9    1   1    8      6    128.491855 1.866501 130.874127 0.455077 131.440546 2.551533   6  
  23  4   9    2   0    7      7    134.505828 2.066523 137.087980 0.946325 138.154175 1.851881   6  
  24  2   9   -1   0    8      2    140.503110 2.499475 143.018643 0.370378 143.501754 2.501481   6  
  25  2   9    4   0    8      3    146.500395 2.216699 149.232488 0.295685 149.648975 2.351620   6  
  26  4   9    4   1    8      8    152.514335 2.049765 155.079845 0.429592 155.629591 2.384967   6  
  27  2   9    4   0    8      8    158.511631 2.366711 161.393664 0.466915 161.976714 2.035130   6  
  28  2   9    1   0    8      2    164.508891 2.333000 167.357628 0.319392 167.790772 2.218359   6  
  29  3   9    4   0    8      5    170.506192 1.983276 173.005074 0.396495 173.521493 2.484928   6  
  30  4   9    1   0    8      6    176.503463 1.783208 178.802444 0.384919 179.302219 2.701490   6  
  31  1   9    2   0    8      7    182.500767 1.716774 184.733098 0.421224 185.266189 2.734809   6  
  32  4   9    1   0    8      7    188.498043 1.966331 190.980265 0.357485 191.463385 2.534880   6  
  33  3   9    3   1    7      3    194.495347 2.466455 197.477323 0.394117 197.993755 2.001813   6  
  34  2   9    2   1    8      8    200.492615 1.966313 202.974832 0.796301 203.891100 2.101680   6  
  35  2   9    1   0    8      4    206.489917 2.116652 209.122058 0.976819 210.221559 1.768619   6  
  36  3   9    2   0    8      7    212.487179 1.933089 214.936098 0.502669 215.552488 2.434769   6  
  37  1   9    1   1    8      8    218.501145 1.783420 220.800111 0.416834 221.333200 2.668164   6  
  38  2   9   -1   0    8      1    224.515083 2.499463 227.030625 0.629867 227.780291 2.235019   6  
  39  4   9    1   0    8      5    230.512374 1.933355 232.961272 0.757451 233.844199 2.168394   6  
  40  2   9    2   1    8      8    236.509639 1.699927 238.725336 0.546711 239.391692 2.618178   6  
  41  3   9   -1   0    8      1    242.506961 2.499777 245.022477 0.593591 245.738833 2.268343   6  
  42  2   9    1   0    8      7    248.504221 1.982995 251.003118 0.377987 251.502889 2.501566   6  
  43  1   9    3   0    7      2    254.501516 2.283372 257.300267 0.313889 257.733390 2.268362   6  
  44  1   9    1   1    8      8    260.498797 1.749869 262.764452 0.665192 263.547430 2.451538   6  
  45  4   9    2   0    8     -1    266.496092 1.916841 268.928329 0.592187 269.644677 2.351652   6  
  46  1   9    1   1    8      7    272.493358 2.166237 275.175505 0.312871 275.608646 2.384813   6  
  47  2   9    4   0    8      8    278.507332 2.116833 281.139463 0.376470 281.639246 2.368301   6  
  48  3   9    2   0    8      7    284.504598 2.066386 287.086788 0.318808 287.519913 2.484908   6  
  49  1   9   -1   0    7      2    290.501902 2.499869 293.017425 0.565244 293.700451 2.301668   6  
  50  4   9    3   0    7      6    296.499169 2.349540 299.364564 0.595083 300.080898 1.918500   6  
  51  4   9    1   0    8      7    302.496464 1.766896 304.778778 1.723796 306.627930 1.368765   6  
  52  3   9    3   1    8      6    308.510392 1.683259 310.709419 0.712247 311.542379 2.468264   6  
  53  1   9    2   0    6      3    314.507707 2.366684 317.389736 0.473001 317.989461 2.018472   6  
  54  2   9    2   1    7      7    320.504972 1.933176 322.953892 0.769308 323.836816 2.168359   6  
  55  4   9    3   0    7      5    326.502270 2.283225 329.301001 1.356118 330.783672 1.218825   6  
  56  3   9   -1   0    7      2    332.499544 0.000000 335.015087 1.223662 336.364482 1.635191   6  
  57  4   9    3   0    5      5    338.496847 2.432958 341.445504 0.608354 342.178513 1.818530   6  
  58  2   9    2   1    7      7    344.510777 1.766555 346.793089 0.794931 347.709342 2.301667   6  
  59  3   9    1   0    7      4    350.508085 1.916696 352.940308 1.128201 354.189750 1.818549   6  
  60  1   9    4   0    5     -1    356.505343 2.382877 359.404050 0.353547 359.870506 2.135080   6  
  61  4   9   -1   0    5      1    362.502653 0.000000 365.018180 0.989118 366.134343 1.868534   6  
  62  1   9    2   0    7      7    368.499919 1.982983 370.998812 0.659542 371.781786 2.218362   6  
  63  3   9   -1   0    5      3    374.497228 0.000000 377.012752 0.813589 377.945665 2.051788   6  
  64  1   9    2   0    5      8    380.494491 2.116355 383.126651 1.522224 384.759249 1.235473   6  
  65  3   9    3   1    5      6    386.491795 2.499745 389.507102 0.723676 390.356712 1.635310   6  
  66  3   9    2   0    7      8    392.489073 1.849763 394.854673 1.422853 396.387322 1.601902   6  
  67  1   9   -1   0    5      2    398.503026 0.000000 401.018548 0.833410 401.968119 2.035121   6  
  68  1   9    2   0    4      2    404.500300 2.499518 407.515619 1.511405 409.148217 0.852137   6  
  69  4   9   -1   0    4      1    410.514253 0.000000 413.029783 1.030243 414.179268 1.835215   6  
  70  3   9    1   0    5      5    416.511532 2.116274 419.143691 0.730572 419.993300 2.018459   6  
  71  4   9    3   0    5      7    422.508840 2.350024 425.374202 1.158868 426.656952 1.352091   6  
  72  2   9    3   0    5      5    428.506095 2.416147 431.438125 1.264097 432.820823 1.185513   6  
  73  2   9    2   1    5      7    434.503401 2.033453 437.052258 0.894073 438.068461 1.935161   6  
  74  1   9    4   0    7      7    440.500681 1.666442 442.683042 0.537142 443.332744 2.668165   6  
  75  1   9   -1   0    4      1    446.497985 0.000000 449.013510 1.037426 450.162987 1.835210   6  
  76  1   9    1   1    7      8    452.495236 1.349982 454.361087 0.571467 455.044101 2.951314   6  
  77  4   9   -1   0    4      4    458.492547 0.000000 461.008078 0.910018 462.040939 1.951837   6  
  78  3   9    2   0    4      1    464.489811 2.382899 467.388524 0.965817 468.471366 1.518536   6  
  79  2   9    2   1    4      1    470.503783 2.066620 473.085952 0.979364 474.185450 1.818558   6  
  80  2   9    2   1    5      8    476.501048 2.282989 479.299805 0.411263 479.832892 2.168392   6  
  81  4   9    4   1    7      7    482.498326 2.033074 485.047205 0.448718 485.613622 2.384944   6  
  82  1   9    1   1    4      4    488.512300 2.416531 491.444314 1.937164 493.493376 0.519150   6  
  83  2   9    4   0    4      2    494.509569 2.449512 497.474902 0.816615 498.407828 1.601978   6  
  84  3   9    1   0    4      1    500.506873 2.483222 503.505514 0.838107 504.455082 1.552008   6  
  85  3   9    3   1    4      2    506.504123 2.499493 509.519454 0.643883 510.285775 1.718685   6  
