%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at liangyue (       49.0000000000).3-Apr-2019 17:24:277.375287e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   4    2   0    6    2.498875 2.200629   4.814484 0.798869   5.730719 2.268382   6  
   2  1   4    2   0    6    8.496151 2.317234  10.928383 0.780934  11.827991 2.168380   6  
   3  3   4    3   1    4   14.493445 1.917995  16.542520 1.067077  17.725322 2.268348   6  
   4  2   4    2   1    7   20.507375 1.267590  21.890099 1.016894  23.022924 2.984670   6  
   5  3   4    2   0    7   26.504671 1.717881  28.353833 0.549514  29.020202 2.984708   6  
   6  3   4    3   1    7   32.501944 1.500757  34.134570 0.655593  34.917547 3.084621   6  
   7  3   4    2   0    7   38.499246 1.935476  40.564970 0.735093  41.414603 2.584874   6  
   8  1   4    4   0    7   44.496533 2.400509  47.028719 0.769842  47.911655 2.085086   6  
   9  1   4    4   0    7   50.493828 2.267602  52.909395 0.298779  53.325871 2.668176   6  
  10  1   4    3   0    7   56.491096 1.634156  58.240315 0.534069  58.890033 3.101274   6  
  11  4   4    2   0    7   62.505065 2.068478  64.687371 0.741682  65.553670 2.451612   6  
  12  1   4    3   0    7   68.502323 2.300491  70.917908 0.572739  71.617594 2.384947   6  
  13  2   4    4   0    7   74.499629 2.017955  76.648648 0.600426  77.364997 2.634854   6  
  14  3   4    2   0    7   80.496904 2.183925  82.795870 0.299512  83.212345 2.784772   6  
  15  3   4    3   1    7   86.494198 1.634608  88.260069 0.347288  88.726517 3.267913   6  
  16  1   4   -1   0    2   92.491475 0.000000  95.007011 0.001124  95.123638 2.868043   6  
  17  2   4    2   1    6   98.505437 1.351398  99.988083 0.134984 100.237987 3.767671   6  
  18  3   4    3   1    5  104.502700 1.367611 105.985376 0.827920 106.934957 3.067958   6  
  19  2   4    2   1    7  110.500011 1.784579 112.399144 0.431889 112.948890 3.051341   6  
  20  2   4    3   0    7  116.497277 2.150765 118.762909 0.796222 119.679173 2.318306   6  
  21  2   4    2   1    7  122.494564 2.450526 125.076743 0.483001 125.676466 2.318313   6  
  22  1   4    2   0    7  128.491853 2.284939 130.907434 0.494951 131.523814 2.468280   6  
  23  3   4    4   0    7  134.505782 2.300558 136.938041 0.631137 137.687701 2.318292   6  
  24  1   4    2   0    7  140.503100 2.067984 142.685449 0.482559 143.285164 2.718152   6  
  25  4   4    2   0    7  146.500361 2.267267 148.882630 0.413641 149.415734 2.584826   6  
  26  4   4    3   0    7  152.497661 2.067894 154.696663 0.329865 155.146464 2.851422   6  
  27  3   4    2   0    7  158.494940 2.000626 160.610661 0.363574 161.093784 2.901342   6  
  28  3   4    2   0    7  164.492243 1.484666 166.108170 0.070445 166.291426 3.701033   6  
  29  4   4    3   0    7  170.506176 2.017361 172.638544 0.048212 172.805143 3.201212   6  
  30  1   4    2   0    7  176.503472 1.384761 178.002787 0.212003 178.335966 3.667725   6  
  31  3   4    2   0    7  182.500745 1.317626 183.933440 0.023936 184.083374 3.917553   6  
  32  2   4    3   0    7  188.498040 1.851980 190.480473 0.217973 190.813666 3.184600   6  
  33  4   4    4   1    7  194.495326 2.001000 196.644349 0.543409 197.310720 2.684778   6  
  34  1   4    2   0    7  200.492618 2.051388 202.658304 0.355846 203.141417 2.851421   6  
  35  3   4    3   1    3  206.506537 2.400558 209.038745 1.202093 210.354815 1.651927   6  
  36  4   4    2   0    7  212.503836 1.318472 213.936535 0.574344 214.636219 3.367858   6  
  37  2   4    3   0    7  218.501111 2.317341 220.950031 0.415708 221.483121 2.518174   6  
  38  3   4    3   1    7  224.498417 1.851178 226.480853 0.384136 226.980634 3.018013   6  
  39  1   4    1   1    7  230.495697 1.751160 232.378184 0.842047 233.344423 2.651444   6  
  40  3   4    4   0    7  236.492994 2.251109 238.875236 0.440607 239.441648 2.551577   6  
  41  3   4    4   0    7  242.490252 2.450533 245.089109 0.921649 246.121963 1.868485   6  
  42  4   4    2   0    7  248.504205 1.900760 250.519937 0.637651 251.269628 2.734779   6  
  43  1   4    3   0    3  254.501510 2.300976 256.917022 0.979271 258.016581 1.985150   6  
  44  2   4    4   0    3  260.498778 2.217327 262.897713 1.667294 264.680235 1.318730   6  
  45  4   4    3   0    2  266.496073 2.484339 269.128220 0.631642 269.877887 2.118419   6  
  46  2   4    2   1    7  272.493347 1.850784 274.459153 0.496830 275.075530 2.918000   6  
  47  2   4    4   0    6  278.490654 1.918147 280.539719 0.557643 281.222738 2.768140   6  
  48  2   4    2   1    7  284.504579 2.167138 286.820214 0.785030 287.719811 2.284944   6  
  49  3   4    2   0    7  290.501888 2.384282 293.000759 0.512486 293.633806 2.368306   6  
  50  4   4    2   0    7  296.499160 2.167281 298.781469 0.804894 299.697726 2.301607   6  
  51  4   4    4   1    7  302.496451 2.417721 305.045301 0.532180 305.694998 2.301678   6  
  52  3   4    4   0    7  308.493731 2.250527 310.875994 0.606009 311.608997 2.384899   6  
  53  1   4    4   0    7  314.491016 2.017395 316.656698 0.408319 317.189812 2.801371   6  
  54  4   4    4   1    7  320.504984 2.051167 322.687318 0.083130 322.887227 3.117979   6  
  55  3   4    3   1    7  326.502253 1.784199 328.434708 0.395129 328.951157 3.051247   6  
  56  1   4    4   0    7  332.499553 2.185268 334.798504 0.233551 335.148341 2.851426   6  
  57  2   4   -1   0    2  338.496823 0.000000 341.012367 0.071645 341.212279 2.784709   6  
  58  2   4    2   1    6  344.494114 1.801535 346.426580 0.669690 347.209549 2.784800   6  
  59  3   4    3   1    5  350.491400 1.750700 352.357223 0.856267 353.323456 2.668094   6  
  60  3   4    4   0    7  356.505358 1.251085 357.871406 0.075448 358.071309 3.934272   6  
  61  1   4    2   0    2  362.502621 2.250678 364.884891 0.791575 365.801146 2.201632   6  
  62  4   4    3   0    3  368.499915 1.734687 370.365740 1.252585 371.731802 2.268353   6  
  63  2   4    2   1    4  374.497206 2.334701 376.979422 0.742108 377.845696 2.151660   6  
  64  4   4    4   1    7  380.494490 1.735675 382.343641 1.008659 383.476475 2.518249   6  
  65  4   4    1   0    6  386.491769 2.150637 388.774070 1.091460 389.990195 2.001729   6  
  66  4   4   -1   0    4  392.489064 0.000000 395.004588 0.011559 395.137877 2.851423   6  
  67  4   4    2   0    6  398.502993 1.817510 400.435470 0.861315 401.418362 2.584793   6  
  68  1   4    1   1    7  404.500300 1.651966 406.282824 0.563773 406.965853 3.034677   6  
  69  4   4    4   1    4  410.497573 2.350394 412.979793 1.361121 414.462455 1.535274   6  
  70  2   4    2   1    7  416.494867 1.251621 417.860922 0.527884 418.510633 3.484471   6  
  71  1   4    1   1    7  422.492134 2.217326 424.824437 0.499239 425.440821 2.551481   6  
  72  2   4    4   0    7  428.489445 1.868186 430.488527 0.526460 431.138241 2.851421   6  
  73  1   4    1   1    7  434.503379 1.717450 436.335893 0.684391 437.135535 2.867982   6  
  74  1   4    2   0    1  440.500663 2.301285 442.982837 1.127461 444.232322 1.768575   6  
  75  4   4    1   0    6  446.497951 2.433829 449.080124 1.758874 450.962616 1.035475   6  
  76  1   4    3   0    7  452.495244 2.051155 454.660937 0.812975 455.593835 2.401640   6  
  77  4   4    2   0    7  458.492521 2.267288 460.874783 0.643117 461.641112 2.351555   6  
  78  1   4    2   0    7  464.489810 2.267989 466.872074 0.707711 467.705034 2.285021   6  
  79  4   4    2   0    7  470.503752 1.867598 472.486211 0.499410 473.102592 2.901308   6  
  80  2   4    2   1    7  476.501048 2.035120 478.650082 0.591478 479.366413 2.634867   6  
  81  2   4    2   1    7  482.498325 1.850630 484.464115 0.307088 484.897251 3.101215   6  
  82  4   4    4   1    7  488.495616 2.251579 490.861220 0.234421 491.211059 2.784791   6  
  83  3   4    2   0    7  494.492893 2.317243 496.925142 0.442891 497.491564 2.501483   6  
  84  4   4   -1   0    1  500.490197 0.000000 503.005725 0.050070 503.172311 2.818117   6  
  85  1   4    1   1    7  506.504119 1.001194 507.620297 0.602691 508.336644 3.667626   6  
  86  2   4    2   1    7  512.501423 2.184594 514.800390 0.515221 515.433434 2.568218   6  
  87  2   4   -1   0    4  518.498697 0.000000 521.014247 0.095710 521.230806 2.768035   6  
  88  2   4    2   1    7  524.495979 2.067451 526.678348 0.441001 527.244753 2.751372   6  
  89  4   4    4   1    7  530.493280 1.818156 532.425744 0.487803 533.025468 2.968057   6  
  90  3   4    1   0    7  536.490564 1.550904 538.173149 0.413789 538.706243 3.284443   6  
]; % This session completes at 13-Apr-2019 17:33:50, 544.004s after session start, 540s on 90 trials, totally 563.098s.

