%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at wangxiaoyu (       49.0000000000).3-Apr-2019 17:14:227.375287e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   15   3   0   -1    2.498389 1.099630   3.764147 0.000000   3.780924 4.217777   6  
   2  2   15   2   1    7    8.494596 0.350240   8.977623 0.000668   9.094199 4.900660   6  
   3  2   15   2   1    7   14.490767 1.149810  15.756646 0.132570  16.006476 3.984538   6  
   4  4   15   4   1    5   20.503627 1.166425  21.786132 0.331200  22.235848 3.768046   6  
   5  2   15   2   1    4   26.499808 1.432852  28.048817 0.590467  28.748385 3.251598   6  
   6  3   15   3   1    6   32.495994 1.149973  33.778420 0.483632  34.378135 3.618005   6  
   7  4   15   4   1    6   38.492187 1.033169  39.658107 0.421430  40.191096 3.801225   6  
   8  4   15   3   0    4   44.505020 1.516180  46.170631 0.762289  47.053412 2.951937   6  
   9  3   15   3   1    7   50.501209 0.783054  51.433957 0.411520  51.966955 4.034576   6  
  10  1   15   1   1    7   56.514040 1.083103  57.746588 0.525427  58.379525 3.634839   6  
  11  4   15   3   0    4   62.510244 1.566064  64.209127 0.281983  64.608893 3.401671   6  
  12  3   15   3   1    7   68.506407 0.800040  69.472300 0.269539  69.855566 4.151174   6  
  13  3   15   3   1    4   74.502600 1.083173  75.785162 0.593509  76.484694 3.518253   6  
  14  4   15   4   1    6   80.498790 1.532809  82.164390 0.530240  82.813987 3.185129   6  
  15  3   15   3   1    6   86.494986 0.817258  87.444377 0.147594  87.710884 4.284421   6  
  16  1   15   1   1    7   92.507822 0.983206  93.640350 0.168833  93.923600 4.084558   6  
  17  3   15   3   1    6   98.504015 0.899632  99.536615 0.067265  99.719909 4.284430   6  
  18  2   15   4   0    6  104.500198 1.049770 105.682637 0.070639 105.866005 4.134528   6  
  19  1   15   2   0   -1  110.496391 0.400146 111.162641 0.000000 111.778726 4.217976   6  
  20  2   15   4   0    6  116.492570 2.265895 118.874279 0.108432 119.090920 2.901926   6  
  21  1   15   1   1    6  122.505418 0.783492 123.471472 0.088868 123.671343 4.334317   6  
  22  3   15   3   1    6  128.501600 0.949892 129.600729 0.160320 129.867396 4.134427   6  
  23  2   15   2   1    2  134.497789 0.949778 135.563776 0.104975 135.780307 4.217669   6  
  24  1   15   1   1    7  140.493968 0.866565 141.509967 0.202390 141.826464 4.167673   6  
  25  1   15   1   1    7  146.490160 0.749941 147.356261 0.081017 147.556142 4.434146   6  
  26  4   15   4   1    7  152.502988 1.133061 153.802189 0.232180 154.151950 3.851389   6  
  27  3   15   3   1    5  158.515850 1.116455 159.781732 0.626076 160.514580 3.501585   6  
  28  1   15   1   1    5  164.512028 1.149697 165.777759 0.262776 166.160983 3.851387   6  
  29  2   15   3   0    5  170.508222 0.833222 171.507597 0.248552 171.874017 4.134531   6  
  30  2   15   3   0    3  176.504405 0.749884 177.370526 0.158213 177.637024 4.367709   6  
  31  3   15   3   1    3  182.500596 0.983138 183.599880 0.097236 183.816436 4.184489   6  
  32  3   15   3   1    6  188.496785 1.466157 190.078960 0.215263 190.412231 3.584871   6  
  33  4   15   4   1    5  194.509609 0.899897 195.558967 0.384196 196.058641 3.951309   6  
  34  1   15   1   1    5  200.505800 0.783278 201.438564 0.353296 201.904927 4.101197   6  
  35  4   15   4   1    7  206.501996 0.766700 207.417992 0.168899 207.701241 4.301086   6  
  36  2   15   2   1    5  212.498176 1.199743 213.863991 0.531660 214.513577 3.484927   6  
  37  2   15   3   0    5  218.494368 1.199667 219.843513 0.174852 220.126658 3.868024   6  
  38  3   15   3   1    6  224.490548 1.199683 225.806285 0.390103 226.306064 3.684764   6  
  39  4   15   4   1    5  230.503393 0.849740 231.502767 0.317749 231.935823 4.067827   6  
  40  4   15   4   1    5  236.499587 1.016434 237.682178 0.213634 238.015287 3.984530   6  
  41  2   15   3   0    3  242.495772 1.099725 243.744990 0.232530 244.094758 3.901203   6  
  42  2   15   2   1    6  248.491956 1.183048 249.857768 0.244658 250.224181 3.767936   6  
  43  4   15   4   1    4  254.488151 1.033156 255.687394 0.772900 256.570159 3.418116   6  
  44  4   15   4   1    6  260.517632 1.299643 261.983283 0.779200 262.882795 3.135184   6  
  45  3   15   3   1    6  266.513817 0.949836 267.579826 0.289187 267.979561 4.034598   6  
  46  2   15   4   0    5  272.510010 0.766597 273.426115 0.438600 273.975763 4.034582   6  
  47  1   15   1   1    5  278.506192 0.716649 279.355442 0.176018 279.638820 4.367707   6  
  48  1   15   1   1    1  284.502395 0.716600 285.335196 0.000809 285.451784 4.550933   6  
  49  1   15   1   1    5  290.498579 0.766643 291.381339 0.166373 291.664509 4.334387   6  
  50  1   15   1   1    5  296.511427 1.449311 298.077093 0.230618 298.426880 3.584867   6  
  51  2   15   2   1    5  302.507597 1.532802 304.189873 0.150739 304.456368 3.551566   6  
  52  3   15   3   1    5  308.503796 0.833100 309.503197 0.185554 309.802964 4.201158   6  
  53  4   15   4   1    5  314.499986 0.783241 315.432591 0.473551 316.015684 3.984620   6  
  54  4   15   4   1    5  320.496159 0.716626 321.345667 0.132977 321.595479 4.401024   6  
  55  4   15   4   1    6  326.492357 0.816599 327.458422 0.269740 327.841499 4.151179   6  
  56  4   15   4   1    5  332.505194 0.733265 333.404635 0.035692 333.554529 4.450956   6  
  57  1   15   1   1    5  338.501381 0.766669 339.384148 0.097621 339.600677 4.400962   6  
  58  1   15   2   0    5  344.497567 1.083049 345.730022 0.067715 345.913338 4.084448   6  
