%% MetaTwinsTri_behave_Conf for '_notguess': starting at hehai (       49.0000000000).6-Apr-2019 17:40:177.375317e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   7    4   0    6    2.498840 1.466698   4.098112 0.336281   4.547912 3.451141   6  
   2  1   7    2   0    7    8.496108 1.283359   9.928732 0.348856  10.395255 3.601054   6  
   3  1   7    1   1    7   14.493396 1.716466  16.359227 0.330940  16.809020 3.184534   6  
   4  2   7    2   1    7   20.490671 1.499723  22.156599 0.387183  22.673027 3.317798   6  
   5  4   7    4   1    7   26.487956 1.699795  28.320399 0.357982  28.803575 3.184490   6  
   6  3   7    2   0    7   32.501908 1.649681  34.301011 0.401962  34.817511 3.184466   6  
   7  4   7    4   1    6   38.515838 1.566881  40.248387 0.410569  40.781474 3.234584   6  
   8  1   7   -1   0    1   44.513124 0.000000  47.028669 0.009340  47.161913 2.851430   6  
   9  2   7    3   0    6   50.510403 2.415950  53.092565 0.360770  53.575673 2.434947   6  
  10  4   7    2   0    1   56.507683 1.883010  58.573405 0.759925  59.456343 2.551575   6  
  11  2   7    2   1    5   62.504962 2.266241  64.903870 0.423820  65.453627 2.551556   6  
  12  2   7    4   0    1   68.502243 2.182927  70.801196 1.010077  71.934022 2.068436   6  
  13  2   7    4   0    5   74.499514 1.400044  76.032087 0.186998  76.332019 3.667739   6  
  14  2   7    2   1    6   80.496799 2.216038  82.862406 0.393739  83.378827 2.618204   6  
  15  4   7   -1   0    4   86.494079 0.000000  89.009622 0.035732  89.159531 2.834777   6  
  16  1   7    3   0    6   92.508022 2.316249  94.956906 0.653900  95.739893 2.268352   6  
  17  4   7    1   0    1   98.505307 2.049711 100.770948 1.210678 102.103678 1.901841   6  
  18  3   7   -1   0    2  104.502591 0.000000 107.018140 0.080626 107.218017 2.784742   6  
  19  1   7    4   0    5  110.499881 2.266126 112.915331 0.535264 113.565142 2.434877   6  
  20  4   7    1   0    1  116.497143 1.933037 118.596193 0.945873 119.662371 2.334915   6  
  21  2   7    4   0    5  122.494419 1.683000 124.326933 0.181061 124.626788 3.367736   6  
  22  1   7   -1   0    1  128.491713 0.000000 131.007263 0.262271 131.390384 2.601398   6  
  23  3   7    3   1    7  134.505642 1.783112 136.421439 0.469679 137.004510 3.001364   6  
  24  3   7    4   0    7  140.502930 2.382787 143.035117 0.868489 144.018002 1.985147   6  
  25  3   7    2   0    1  146.500206 2.249551 148.899121 0.810857 149.832021 2.168410   6  
  26  1   7    3   0    6  152.514146 2.299523 154.963032 0.718372 155.795984 2.218383   6  
  27  1   7    1   1    1  158.511417 2.132962 160.793711 0.138201 161.060263 2.951395   6  
  28  4   7    4   1    5  164.508698 1.816424 166.457821 0.376255 166.957584 3.051346   6  
  29  3   7    3   1    7  170.505984 2.332860 172.971529 0.749435 173.837802 2.168411   6  
  30  2   7   -1   0    4  176.503268 0.000000 179.018810 0.000332 179.135404 2.868081   6  
  31  1   7    1   1    1  182.500537 2.266237 184.915945 0.472371 185.515835 2.484955   6  
  32  1   7    4   0    6  188.497828 2.016316 190.630034 0.397153 191.146624 2.851428   6  
  33  4   7    4   1    5  194.495098 2.482782 197.143907 0.421354 197.693658 2.301667   6  
  34  2   7    2   1    6  200.492394 1.816449 202.441422 0.587305 203.141187 2.851381   6  
  35  4   7    4   1    6  206.489667 1.966197 208.588719 0.928715 209.638254 2.351575   6  
  36  2   7   -1   0    1  212.503611 0.000000 215.019140 0.125792 215.269021 2.734726   6  
  37  3   7    3   1    7  218.500885 1.883012 220.516551 0.376281 221.016404 2.984592   6  
  38  2   7   -1   0    1  224.498164 0.000000 227.013699 0.012965 227.146957 2.851283   6  
  39  4   7    3   0    1  230.512118 2.382688 233.094187 1.064757 234.277059 1.735272   6  
