%% MetaTwins_RDMsc_training for 'hehai': starting at _nofeedback (       49.0000000000).6-Apr-2019 17:04:26 for '7.375317e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1   9  2    2   1    0    8    2.499277   0    0  1.333429   3.948449 0.575447   4.648300  0   0    4.648300 1.351193   4  
   2   9  2    4   0    0    6    6.497468   0    0  2.432807   9.062813 0.594440   9.779310  0   0    9.779310 1.218372   5  
   3   9  2    4   0    0    6   11.495189   0    0  2.466126  14.093865 0.374221  14.593790  0   0   14.593790 1.401598   5  
   4  10  2    2   1    0    8   16.492930   0    0  1.483791  18.142184 0.417777  18.675278  0   0   18.675278 1.317813   4  
   5  10  1    4   0    0    5   20.491111   0    0  1.899742  22.540183 0.506931  23.173229  0   0   23.173229 0.818047   4  
   6  10  4    4   1    0    5   24.489302   0    0  2.399455  27.054788 0.558921  27.737830  0   0   27.737830 1.251616   5  
   7  10  2    4   0    0    5   29.503699   0    0  2.316174  31.952461 0.320585  32.385718  0   0   32.385718 0.618106   4  
   8  10  3   -1   0    0    1   33.501878   0    0  0.000000  36.017420 0.000414  36.134016  0   0   36.134016 0.867970   4  
   9  10  1    4   0    0    5   37.500061   0    0  2.249547  39.882321 0.352919  40.348770  0   0   40.348770 0.651387   4  
  10  11  2   -1   0    0    1   41.498250   0    0  0.000000  44.013787 0.026129  44.163710  0   0   44.163710 0.834620   4  
  11  11  3    4   0    0    5   45.513096   0    0  1.883074  47.545521 0.267744  47.928679  0   0   47.928679 1.084653   4  
  12  11  4   -1   0    0    4   49.511294   0    0  0.000000  52.026829 0.000460  52.143436  0   0   52.143436 0.868087   4  
  13  11  2    2   1    0    5   53.509473   0    0  1.333129  55.008795 0.315364  55.441942  0   0   55.441942 0.567761   3  
  14  11  1    1   1    0    5   56.508120   0    0  1.849625  58.507085 0.440030  59.073625  0   0   59.073625 0.934713   4  
  15  10  4    4   1    0    6   60.506295   0    0  1.183349  61.822369 0.169352  62.105577  0   0   62.105577 0.900957   3  
  16  10  4    4   1    0    6   63.504943   0    0  1.516405  65.170861 0.151694  65.437407  0   0   65.437407 0.567762   3  
  17   9  2    1   0    0    8   66.503585   0    0  2.432616  69.102401 0.295823  69.518876  0   0   69.518876 1.484941   5  
  18   9  4    4   1    0    6   71.501315   0    0  1.516412  73.150568 0.180317  73.450435  0   0   73.450435 0.551115   3  
