%% MetaTwins_RDMsc_training for 'hetao': starting at _feedback (       49.0000000000).6-Apr-2019 15:58:50 for '7.375317e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  18  3    4   0    0    7    2.498879   0    0  1.633761   4.248087 0.812644   5.180992 0.999541   6.180533   7.180083 0.819006   6  
   2  18  2    2   1    0    7    8.496158   0    0  1.767230  10.411950 0.706320  11.244905 0.999556  12.244461  13.244003 0.752374   6  
   3  18  4    3   0    0    5   14.493425   0    0  1.749890  16.359265 1.033761  17.508740 0.999541  18.508280  19.507837 1.485830   7  
   4  18  1    1   1    0    8   21.506921   0    0  1.216701  22.906304 0.580420  23.605973 0.999559  24.605532  25.605085 1.402052   6  
   5  18  4    4   1    0    6   27.504223   0    0  1.917289  29.536630 0.432108  30.086396 0.999537  31.085933  32.085467 0.918984   6  
   6  16  4    4   1    0    7   33.501495   0    0  1.450003  35.067478 1.002455  36.183624 0.999563  37.183187  38.182722 0.818985   6  
   7  16  2    2   1    0    7   39.498797   0    0  1.484265  41.131370 0.415482  41.664482 0.999549  42.664031  43.663583 1.335437   6  
   8  14  3    4   0    0    3   45.496071   0    0  1.566523  47.178641 1.215016  48.511379 0.999541  49.510920  50.510474 1.485804   7  
   9  14  1    1   1    0    7   52.492917   0    0  2.366506  55.041756 0.343172  55.508208 0.999549  56.507757  57.507337 1.485809   7  
  10  14  3    3   1    0    7   59.506415   0    0  2.067323  61.688756 0.289856  62.105226 0.999542  63.104768  64.104322 0.902305   6  
  11  13  3    4   0    0    3   65.503692   0    0  1.399754  67.019623 1.201135  68.335735 0.999550  69.335285  70.334847 0.669026   6  
  12  13  4    4   1    0    7   71.500979   0    0  1.933896  73.550051 0.602955  74.266396 0.999548  75.265943  76.265489 0.735711   6  
  13  13  4    4   1    0    7   77.498260   0    0  1.549831  79.164182 0.721959  80.013786 0.999540  81.013326  82.012899 0.985543   6  
  14  12  4    4   1    0    7   83.495550   0    0  1.616462  85.228105 0.526392  85.877808 0.999553  86.877361  87.876899 1.118876   6  
  15  12  3    3   1    0    8   89.492827   0    0  1.483152  91.092098 0.568943  91.775143 0.999543  92.774686  93.774237 1.218774   6  
  16  11  2    3   0    0    2   95.490125   0    0  2.000515  97.605842 0.757026  98.488772 0.999542  99.488314 100.487864 0.502487   6  
  17  11  4    4   1    0    7  101.504061   0    0  2.116093 103.769716 0.523807 104.419407 0.999544 105.418951 106.418480 0.585756   6  
  18  11  3    4   0    0    7  107.501349   0    0  1.867272 109.500453 0.435408 110.050206 0.999545 111.049752 112.049285 0.952306   6  
  19  11  2    2   1    0    6  113.498614   0    0  1.882956 115.531063 0.599647 116.247397 0.999549 117.246946 118.246498 0.752302   6  
