%% MetaTwins_RDMsc_training for 'hetao': starting at _nofeedback (       49.0000000000).6-Apr-2019 16:10:38 for '7.375317e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  20  4    4   1    0    8    2.498852   0    0  1.399903   4.014844 0.555454   4.697872  0   0    4.697872 1.301203   4  
   2  20  1    2   0    0    1    6.497075   0    0  1.683891   8.296254 0.839663   9.262495  0   0    9.262495 0.734805   4  
   3  20  1    1   1    0    8   10.495263   0    0  1.535607  12.144509 0.607893  12.877513  0   0   12.877513 1.117884   4  
   4  20  1    1   1    0    8   14.493454   0    0  1.034681  15.642927 0.369835  16.126033  0   0   16.126033 0.867605   3  
   5  18  2    2   1    0    8   17.508750   0    0  1.500757  19.124686 0.399344  19.641122  0   0   19.641122 1.367851   4  
   6  18  1    1   1    0    8   21.506945   0    0  1.100810  22.723057 0.294666  23.139541  0   0   23.139541 0.867632   3  
   7  16  2    2   1    0    8   24.505579   0    0  1.950507  26.587969 0.288208  27.004443  0   0   27.004443 1.001374   4  
   8  16  3    3   1    0    8   28.503777   0    0  1.317775  29.936450 0.286184  30.336280  0   0   30.336280 0.667708   3  
   9  14  2    2   1    0    8   31.502415   0    0  1.001008  32.635234 0.301136  33.051722  0   0   33.051722 0.950917   3  
  10  14  4    4   1    0    8   34.501060   0    0  1.517930  36.133660 0.292704  36.550091  0   0   36.550091 1.451177   4  
  11  13  1    1   1    0    8   38.499255   0    0  0.917563  39.532120 0.359326  39.998533  0   0   39.998533 1.000949   3  
  12  13  2    2   1    0    7   41.497904   0    0  1.068122  42.697351 0.308364  43.130489  0   0   43.130489 0.867580   3  
  13  12  3    3   1    0    7   44.496540   0    0  2.034194  46.645577 0.393005  47.162000  0   0   47.162000 0.834761   4  
  14  12  4    4   1    0    8   48.494736   0    0  1.301157  49.927411 0.255813  50.310580  0   0   50.310580 0.684372   3  
  15  11  2    2   1    0    8   51.493379   0    0  0.934414  52.559483 0.452837  53.125959  0   0   53.125959 0.867641   3  
  16  11  4    4   1    0    8   54.492015   0    0  1.167864  55.774770 0.221867  56.124611  0   0   56.124611 0.867602   3  
  17  10  4    1   0    0    2   57.490652   0    0  2.250470  59.889579 0.285112  60.289393  0   0   60.289393 0.701438   4  
  18  10  4    4   1    0    8   61.505509   0    0  1.417567  63.038073 0.238327  63.387988  0   0   63.387988 0.617759   3  
  19  10  4    4   1    0    2   64.504149   0    0  1.550952  66.186725 0.761159  67.069646  0   0   67.069646 0.934726   4  
  20   9  4    2   0    0    1   68.502336   0    0  2.050512  70.668027 1.084250  71.867488  0   0   71.867488 1.135070   5  
  21   9  3    2   0    0    7   73.500071   0    0  1.899926  75.549102 0.545067  76.215513  0   0   76.215513 0.784816   4  
  22  10  1    1   1    0    7   77.498273   0    0  1.783077  79.414079 0.563047  80.097096  0   0   80.097096 0.901367   4  
  23  10  1    2   0    0    2   81.496454   0    0  2.349398  83.962001 0.559782  84.645032  0   0   84.645032 1.351648   5  
  24  10  3    1   0    0    2   86.494202   0    0  2.500435  89.159661 0.207139  89.492838  0   0   89.492838 0.501595   4  
  25  11  1    1   1    0    7   90.492391   0    0  2.234438  92.857961 0.435486  93.407713  0   0   93.407713 0.584860   4  
  26  11  3    2   0    0    2   94.490588   0    0  2.067080  96.722907 0.886033  97.722456  0   0   97.722456 1.268339   5  
  27  11  3    3   1    0    7   99.504969   0    0  2.199496 101.820608 0.613495 102.553596  0   0  102.553596 1.451627   5  
  28  11  2    2   1    0    7  104.502725   0    0  2.017252 106.651735 0.263321 107.034870  0   0  107.034870 0.968105   4  
  29  10  1    1   1    0    7  108.500910   0    0  2.167565 110.799878 0.402609 111.316300  0   0  111.316300 0.684834   4  
  30  10  2    2   1    0    7  112.499094   0    0  2.233793 114.898018 0.218236 115.231196  0   0  115.231196 0.768131   4  
  31   9  3    1   0    0    2  116.497293   0    0  2.250613 118.896198 0.582825 119.595890  0   0  119.595890 1.401607   5  
  32   9  4   -1   0    0    1  121.495012   0    0  0.000000 124.010560 0.247904 124.377054  0   0  124.377054 0.618200   4  
  33   9  2    2   1    0    2  125.493208   0    0  1.717175 127.359041 0.372517 127.858820  0   0  127.858820 1.134626   4  
  34   9  4    2   0    0    7  129.491401   0    0  2.399469 132.090215 0.301399 132.506702  0   0  132.506702 1.484840   5  
  35   9  2    2   1    0    7  134.489146   0    0  2.500641 137.137883 1.054942 138.320743  0   0  138.320743 0.668615   5  
