%% MetaTwins_RDMsc_training for 'zhangrunke': starting at _nofeedback (       50.0000000000).0-Apr-2019 12:18:52 for '7.375355e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  20  2    2   1    0    7    2.498924   0    0  1.400419   4.148190 0.828971   5.097752  0   0    5.097752 0.901413   4  
   2  20  4    3   0    0    5    6.497116   0    0  1.749765   8.512899 1.577063  10.195465  0   0   10.195465 0.801885   5  
   3  20  3    3   1    0    6   11.494859   0    0  2.300598  14.043706 1.242451  15.409763  0   0   15.409763 0.585322   5  
   4  20  1    1   1    0    5   16.509258   0    0  1.166583  17.858666 0.422076  18.408389  0   0   18.408389 0.601087   3  
   5  18  3    2   0    0    5   19.507902   0    0  1.683225  21.457023 0.119168  21.690252  0   0   21.690252 1.317901   4  
   6  18  1    2   0    0    1   23.506097   0    0  2.299602  26.138236 1.582328  27.837460  0   0   27.837460 1.168850   6  
   7  20  1    3   0    0    5   29.503381   0    0  1.217758  31.086005 1.286374  32.485364  0   0   32.485364 0.518240   4  
   8  20  2    2   1    0    7   33.501561   0    0  0.999955  34.884278 0.562137  35.567290  0   0   35.567290 1.434514   4  
   9  20  3    3   1    0    6   37.499761   0    0  1.051112  38.982428 0.548129  39.648796  0   0   39.648796 1.351196   4  
  10  18  2    2   1    0    5   41.497941   0    0  0.800236  42.597456 0.669026  43.380424  0   0   43.380424 0.617768   3  
  11  18  4    3   0    0    7   44.513246   0    0  1.050154  45.912646 0.275773  46.312431  0   0   46.312431 0.701056   3  
  12  18  2    2   1    0    7   47.511887   0    0  0.950158  48.777999 0.338672  49.227789  0   0   49.227789 0.784362   3  
  13  18  4    2   0    0    7   50.510540   0    0  0.983361  51.893252 0.978185  52.992779  0   0   52.992779 1.018012   4  
  14  18  3    2   0    0    7   54.508718   0    0  1.100148  55.874767 0.780542  56.774375  0   0   56.774375 1.234574   4  
  15  20  2    2   1    0    7   58.506920   0    0  1.384070  60.206147 0.416004  60.739255  0   0   60.739255 1.267921   4  
  16  20  3    3   1    0    5   62.505113   0    0  1.616381  64.420942 1.681760  66.220101  0   0   66.220101 0.785255   5  
  17  18  1    1   1    0    5   67.502861   0    0  1.749601  69.568593 0.881281  70.568127  0   0   70.568127 1.434959   5  
  18  18  1    2   0    0    1   72.500585   0    0  1.766387  74.549666 1.289129  75.965682  0   0   75.965682 1.034981   5  
  19  18  1    4   0    0    1   77.498341   0    0  1.534031  79.697331 0.667840  80.496968  0   0   80.496968 0.501585   4  
  20  20  1    3   0    0    5   81.496516   0    0  1.317485  83.095801 1.514391  84.728392  0   0   84.728392 1.268345   5  
  21  20  3    3   1    0    5   86.494248   0    0  2.316183  89.276343 0.609288  90.009333  0   0   90.009333 0.985047   5  
  22  20  3    3   1    0    6   91.492001   0    0  1.484034  93.357830 0.332827  93.807623  0   0   93.807623 1.184557   4  
  23  18  4    4   1    0    7   95.490187   0    0  2.066462  97.905791 0.376838  98.405536  0   0   98.405536 0.584878   4  
  24  18  1    3   0    0   -1   99.505023   0    0  1.483244 101.304195 0.000000 103.303255  0   0  103.303255 0.702017   5  
  25  18  3    3   1    0    6  104.502754   0    0  1.649718 106.401843 0.569329 107.084933  0   0  107.084933 0.918035   4  
  26  16  3    2   0    0    1  108.500958   0    0  1.449942 110.350158 0.986997 111.466289  0   0  111.466289 0.534901   4  
  27  16  4    4   1    0    7  112.499157   0    0  1.349817 114.215074 0.835998 115.164627  0   0  115.164627 0.834746   4  
  28  16  2    2   1    0    7  116.497350   0    0  0.917643 117.663489 1.030540 118.812962  0   0  118.812962 1.184611   4  
  29  14  1    3   0    0    6  120.495529   0    0  1.699694 122.694550 0.320810 123.144335  0   0  123.144335 0.851431   4  
  30  14  1    3   0    0    1  124.493719   0    0  1.433316 126.426117 1.237422 127.792230  0   0  127.792230 1.201728   5  
  31  15  4    2   0    0    7  129.508112   0    0  1.016876 130.957469 0.285040 131.357302  0   0  131.357302 0.651049   3  
  32  15  2    2   1    0    6  132.506770   0    0  0.950126 133.839504 1.189836 135.155577  0   0  135.155577 0.851432   4  
  33  15  4    3   0    0    3  136.504956   0    0  2.482579 139.520265 1.708968 141.352754  0   0  141.352754 0.652437   6  
  34  15  2    2   1    0    6  142.502255   0    0  0.967677 143.751683 1.054533 144.917818  0   0  144.917818 1.084648   4  
  35  15  4    4   1    0    1  146.500427   0    0  1.649719 149.015962 1.541005 150.681878  0   0  150.681878 1.318808   6  
  36  14  3    2   0    0    6  152.497732   0    0  1.201107 154.063691 1.238900 155.429727  0   0  155.429727 0.568242   4  
  37  14  2    2   1    0    7  156.512572   0    0  0.716904 157.478800 0.145020 157.745341  0   0  157.745341 1.267478   3  
  38  14  3    3   1    0    7  159.511201   0    0  1.216662 160.960542 0.664347 161.743545  0   0  161.743545 1.267922   4  
  39  13  2    2   1    0    7  163.509399   0    0  0.900243 164.675578 0.099391 164.892104  0   0  164.892104 1.117525   3  
  40  13  4    4   1    0    7  166.508041   0    0  1.200074 167.990712 0.461878 168.573781  0   0  168.573781 1.434527   4  
  41  12  2    1   0    0    6  170.506237   0    0  1.316622 172.072208 0.350121 172.538659  0   0  172.538659 1.467808   4  
  42  12  4    3   0    0    7  174.504435   0    0  1.300826 176.120375 0.000384 176.236985  0   0  176.236985 0.767673   3  
  43  13  1    2   0    0    7  177.486427   0    0  1.349705 179.069029 0.000472 179.185647  0   0  179.185647 0.800947   3  
  44  13  1    3   0    0    1  180.501723   0    0  1.567489 182.484152 0.631494 183.233823  0   0  183.233823 0.768080   4  
  45  14  4    4   1    0    7  184.499920   0    0  1.983820 186.748897 0.687320 187.565196  0   0  187.565196 1.434923   5  
  46  14  2    2   1    0    6  189.497643   0    0  1.516650 191.280199 0.371066 191.779942  0   0  191.779942 1.217790   4  
  47  13  2    2   1    0    7  193.495846   0    0  0.950167 194.661982 0.788032 195.561570  0   0  195.561570 1.434327   4  
  48  13  1    3   0    0    7  197.494026   0    0  1.399963 199.176625 0.000549 199.293220  0   0  199.293220 0.700944   3  
  49  13  3    3   1    0    7  200.492670   0    0  0.883511 201.625503 0.044145 201.792096  0   0  201.792096 1.200809   3  
  50  13  4    3   0    0    5  203.491315   0    0  2.450859 206.356668 1.378762 207.856027  0   0  207.856027 1.135512   6  
