%% MetaTwinsTri_behave_Conf for '_guess': starting at zhaoershi (       50.0000000000).0-Apr-2019 16:54:497.375357e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   5    3   1    7      6      2.498879 1.199913   4.214759 1.165941   5.497517 2.501585   6  
   2  4   5    4   1    7      5      8.496148 1.682903  10.695155 0.174202  10.995025 3.001353   6  
   3  1   5    3   0    6      5     14.493432 0.866649  15.876145 0.000870  15.992755 4.000884   6  
   4  3   5    3   1    4      5     20.490728 1.749487  22.756361 1.295671  24.172396 1.818523   6  
   5  2   5    2   1    5      6     26.504668 1.749498  28.770303 0.205838  29.103491 2.901349   6  
   6  2   5    2   1    6      7     32.501949 1.033151  34.051240 0.828287  35.000802 3.001307   6  
   7  2   5    2   1    5      5     38.499218 1.966113  40.981432 1.618214  42.713981 1.285391   6  
   8  2   5    3   0    5      4     44.496499 1.949391  46.962040 0.807698  47.894956 2.101686   6  
   9  1   5    4   0    6      3     50.493779 2.115867  53.125929 0.410805  53.659010 2.334908   6  
  10  4   5    4   1    7      7     56.491057 1.216397  58.223609 0.258439  58.606773 3.384434   6  
  11  2   5    2   1    7      6     62.488333 1.249708  64.254204 0.474851  64.853924 3.134532   6  
  12  4   5    4   1    7      8     68.502279 0.899882  69.918308 0.569469  70.617994 3.384388   6  
  13  3   5    4   0    3      2     74.499564 2.182612  77.198338 1.422765  78.747626 1.252037   6  
  14  3   5    3   1    3      5     80.496832 1.349692  82.362672 0.375158  82.862429 3.134484   6  
  15  3   5    3   1    3      2     86.494117 2.249096  89.259540 0.443001  89.825944 2.168247   6  
  16  2   5    3   0    6      3     92.508054 1.532876  94.557131 0.591521  95.273476 2.734805   6  
  17  1   5    2   0    6      3     98.505337 1.766280 100.787645 0.460044 101.370708 2.634861   6  
  18  4   5    4   1    8      8    104.502624 0.716635 105.735402 1.164309 107.018149 2.984699   6  
  19  4   5    4   1    2      7    110.516568 1.249764 112.282441 0.523272 112.932141 3.084651   6  
  20  3   5    2   0    2      3    116.513840 2.265909 119.295913 0.731362 120.145540 1.868535   6  
  21  2   5    2   1    7      8    122.511119 0.699850 123.727238 0.997254 124.843401 3.167951   6  
  22  1   5   -1   0    2      3    128.508403 2.499230 131.023961 1.622784 132.773137 1.235497   6  
  23  1   5    3   0    2      6    134.505678 0.666690 135.688490 0.917481 136.721344 3.284566   6  
  24  4   5    4   1    5      8    140.502969 0.766551 141.785726 1.390644 143.301683 2.701511   6  
  25  1   5    1   1    7      8    146.500244 0.866559 147.882941 0.612890 148.615950 3.384521   6  
  26  3   5    4   0    5      6    152.497531 1.033132 154.046830 1.459888 155.629443 2.368314   6  
  27  3   5    1   0    6      6    158.511468 1.399777 160.427267 0.000760 160.543870 3.467825   6  
  28  2   5    2   1    6      6    164.508752 1.799464 166.824364 1.051546 167.990514 2.018451   6  
  29  3   5    2   0    6      5    170.506025 1.749462 172.771659 0.108107 173.004886 3.001367   6  
  30  1   5    1   1    5      7    176.503301 1.183067 178.202543 0.701360 179.018833 2.984696   6  
  31  1   5    1   1    5      8    182.500585 1.466312 184.483018 0.542297 185.149386 2.851422   6  
  32  1   5    2   0    7      5    188.497860 0.899930 189.913887 1.303734 191.346576 2.651530   6  
  33  3   5    3   1    5      7    194.495158 0.866481 195.877848 0.695220 196.694139 3.301240   6  
  34  4   5    4   1    5      7    200.509080 1.299620 202.324935 0.615083 203.057937 2.951383   6  
  35  2   5    2   1    6      5    206.506369 1.333030 208.355534 0.785556 209.255126 2.751475   6  
  36  1   5    1   1    7      8    212.503641 0.716498 213.736426 1.167759 215.019177 2.984706   6  
  37  3   5    3   1    3      6    218.500925 0.966485 219.983583 1.187699 221.299669 2.701486   6  
  38  4   5    4   1    4      7    224.498207 1.033150 226.047500 0.749278 226.913784 3.084649   6  
  39  2   5    2   1    5      8    230.495488 0.649922 231.661621 0.951766 232.727806 3.267907   6  
  40  1   5    1   1    6      6    236.492766 1.599566 238.608479 0.541061 239.274843 2.718133   6  
  41  2   5    2   1    6      8    242.506713 0.949922 243.972710 0.901255 244.988923 3.017982   6  
  42  2   5    2   1    5      3    248.503982 1.916131 250.936222 1.026080 252.085695 1.918472   6  
  43  4   5    3   0    5      2    254.501268 1.932771 256.950158 0.575287 257.649851 2.351595   6  
  44  1   5    1   1    4      8    260.498558 0.749893 261.764654 1.019270 262.897456 3.101252   6  
  45  3   5    3   1    6      5    266.495827 1.116362 268.128423 0.595582 268.844761 3.151227   6  
  46  4   5    4   1    5      4    272.493117 1.966132 274.975310 0.406105 275.508409 2.484853   6  
  47  2   5    3   0    5      7    278.490390 0.700032 279.706512 1.182710 281.005920 2.984603   6  
  48  3   5    2   0    4      4    284.487667 1.699361 286.703330 1.242638 288.069378 1.918418   6  
  49  3   5    2   0    3      2    290.501618 2.066024 293.083775 1.480524 294.683053 1.318670   6  
  50  4   5    4   1    7      8    296.498885 0.683307 297.698345 0.641886 298.464672 3.534318   6  
  51  1   5    1   1    5      6    302.496181 1.133105 304.145430 1.054020 305.328243 2.668003   6  
  52  1   5    3   0    3      3    308.493457 2.315830 311.325496 0.753785 312.191781 1.801744   6  
  53  4   5    4   1    3      4    314.490740 2.082538 317.089558 0.606426 317.822556 2.168241   6  
  54  4   5    3   0    3      2    320.504674 2.049243 323.070187 0.097631 323.286750 2.718145   6  
  55  2   5    4   0    7      6    326.501953 0.683176 327.701403 0.638821 328.467725 3.534467   6  
  56  4   5    4   1    5      7    332.515887 1.033098 334.065187 0.828044 335.014758 3.001367   6  
  57  2   5    2   1   -1      7    338.513165 0.933254 339.962505 0.000000 341.961553 2.051851   6  
  58  4   5    4   1    6      8    344.510458 0.883248 345.909811 0.733864 346.759456 3.251231   6  
  59  3   5    3   1    6      6    350.507737 0.916559 351.940423 0.566323 352.623434 3.384522   6  
  60  1   5    2   0    6      2    356.505009 1.599613 358.620727 1.826663 360.569836 1.435399   6  
]; % This session completes at 20-Apr-2019 17:01:13, 366.245s after session start, 360s on 60 trials, totally 383.214s.

