%% MetaTwinsTri_behave_Conf for '_guess': starting at zhaoershi (       50.0000000000).0-Apr-2019 17:21:337.375357e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   10   2   1    5      6      2.498885 1.466435   4.481308 0.474907   5.081045 2.918030   6  
   2  1   10   3   0    6      5      8.496157 1.732883  10.745137 0.636582  11.494800 2.501498   6  
   3  2   10   3   0    4      5     14.510095 1.449639  16.475879 0.345503  16.942341 3.067989   6  
   4  2   10   4   0    3      2     20.507375 2.116009  23.139520 0.598927  23.855857 2.151750   6  
   5  4   10   3   0    3      4     26.504650 2.282590  29.303392 0.336614  29.753188 2.251699   6  
   6  3   10   2   0    4      5     32.501939 1.732886  34.750911 0.804118  35.667166 2.335012   6  
   7  3   10   3   1    4      5     38.499225 1.766119  40.781509 0.330694  41.231325 2.768078   6  
   8  4   10   1   0    5      5     44.496508 1.866126  46.878763 0.180171  47.178622 2.817973   6  
   9  1   10   4   0    3      3     50.510446 2.049354  53.075958 0.807611  54.008850 2.001818   6  
  10  2   10   2   1    6      5     56.507730 1.333105  58.356891 1.335947  59.806232 2.201713   6  
  11  3   10   3   1    5      5     62.504995 1.716226  64.737315 0.492133  65.353720 2.651520   6  
  12  3   10   3   1    3      5     68.502285 2.015989  71.034466 0.462483  71.617532 2.384975   6  
  13  4   10   4   1    5      5     74.499560 1.632913  76.648590 0.411296  77.181671 2.818032   6  
  14  4   10   2   0    2      2     80.496842 2.282651  83.295564 0.416741  83.828671 2.168233   6  
  15  4   10  -1   0    2      2     86.510784 2.499135  89.026352 0.853562  90.009200 2.001813   6  
  16  1   10   3   0    5      5     92.508060 1.816119  94.840342 1.241905  96.206398 1.801896   6  
  17  4   10   2   0    3      5     98.505341 2.049255 101.070853 0.285081 101.470673 2.534903   6  
  18  1   10   3   0    5      5    104.502630 1.616245 106.634988 1.086378 107.851118 2.151690   6  
  19  2   10   2   1    3      5    110.499885 2.149277 113.165360 0.288759 113.581837 2.418182   6  
  20  3   10   3   1    3      2    116.513837 2.249365 119.279255 0.525254 119.928969 2.085111   6  
  21  2   10   2   1    6      5    122.511118 1.249829 124.276988 1.217190 125.609726 2.401637   6  
  22  3   10   3   1    3      5    128.508401 1.766048 130.790695 0.838796 131.756935 2.251704   6  
  23  1   10   2   0    2      2    134.505683 2.382554 137.404363 0.492269 138.020757 1.985155   6  
  24  4   10   2   0    2      1    140.502959 2.365896 143.384987 0.244300 143.751490 2.251623   6  
  25  3   10   1   0    3      2    146.500249 2.049260 149.065741 0.962943 150.148597 1.851717   6  
  26  3   10   3   1    6      2    152.514188 1.582831 154.613239 0.692906 155.429530 2.584888   6  
  27  4   10   3   0    4      5    158.511468 1.899479 160.927025 0.001153 161.043664 2.968034   6  
  28  4   10   2   0    6      5    164.508745 1.599557 166.624453 0.402698 167.140892 2.868087   6  
  29  1   10   3   0    2      2    170.506026 2.365842 173.388057 0.141917 173.637948 2.368269   6  
  30  2   10   2   1    3      5    176.503306 1.366313 178.385778 0.661058 179.168776 2.834649   6  
  31  1   10   3   0    3      3    182.517249 2.432638 185.465912 0.267935 185.849078 2.168405   6  
  32  4   10   3   0    5      3    188.514521 1.716231 190.746845 1.184922 192.046265 1.968485   6  
  33  3   10   1   0    4      3    194.495141 2.232678 197.243910 0.616981 197.976903 2.018473   6  
  34  1   10   3   0    3      2    200.492425 2.082734 203.091239 0.271208 203.491069 2.501591   6  
  35  4   10   1   0    4      5    206.489721 2.249245 209.255113 0.481861 209.854845 2.135017   6  
  36  4   10   3   0    3      2    212.486996 2.099342 215.102470 0.270198 215.485633 2.501448   6  
  37  2   10   2   1    5      5    218.500922 1.882629 220.899842 0.621780 221.649505 2.351644   6  
  38  2   10   2   1    3      5    224.498205 1.999247 227.013747 0.000743 227.130347 2.868108   6  
  39  1   10   2   0    4      5    230.495489 1.982651 232.994353 0.361469 233.477481 2.518246   6  
  40  1   10   1   1    2      1    236.492781 2.282562 239.291496 0.295835 239.707983 2.284999   6  
  41  4   10   2   0    3      1    242.490051 2.232628 245.238808 0.289659 245.655287 2.334893   6  
  42  3   10   2   0    3      5    248.504016 2.099232 251.119462 0.402529 251.652559 2.351667   6  
  43  2   10   2   1    4      3    254.501266 2.049391 257.066770 0.043387 257.233368 2.768136   6  
  44  2   10   3   0   -1      4    260.498550 2.049419 263.064045 0.000000 265.079804 0.918984   6  
  45  4   10   1   0    4      2    266.495832 2.232567 269.244589 0.249156 269.611097 2.384980   6  
  46  3   10   2   0    4      5    272.493106 1.882791 274.892035 0.941471 275.958210 2.035081   6  
  47  1   10   1   1    4      5    278.490396 1.216484 280.222942 0.994591 281.339095 2.651400   6  
  48  3   10   3   1    3      5    284.504320 1.749530 286.769959 0.532160 287.419683 2.584874   6  
  49  2   10   2   1    5      5    290.501605 1.649466 292.667293 0.380382 293.167071 2.834767   6  
  50  1   10   1   1    5      3    296.498885 2.115898 299.131038 0.014230 299.264303 2.734819   6  
  51  1   10   2   0    1      3    302.496173 2.499074 305.511485 0.835746 306.461040 1.535369   6  
  52  4   10   3   0    2      1    308.493460 2.015946 311.025642 1.325120 312.475002 1.518598   6  
  53  3   10   3   1    4      3    314.490731 2.065979 317.072899 0.516827 317.705957 2.284844   6  
  54  3   10   1   0    3      5    320.504676 1.732737 322.753651 0.233847 323.103493 2.901401   6  
  55  2   10   2   1    5      5    326.501959 1.449623 328.467741 0.705143 329.300693 2.701490   6  
  56  2   10   2   1    4      5    332.499226 1.749396 334.764861 1.244312 336.130928 1.868542   6  
  57  1   10   3   0    1      1    338.496515 2.415925 341.428535 0.000776 341.545133 2.451557   6  
  58  2   10   3   0    5      5    344.493796 1.982598 346.992653 0.808441 347.925582 2.068330   6  
  59  1   10   3   0    4      5    350.507734 2.165962 353.189843 0.581881 353.889540 2.118427   6  
  60  3   10   2   0    3      2    356.505013 2.365890 359.387038 0.658743 360.170030 1.835227   6  
]; % This session completes at 20-Apr-2019 17:27:53, 364.02s after session start, 360s on 60 trials, totally 380.45s.

