%% MetaTwins_RDMsc_training for 'zhaoershi': starting at _nofeedback (       50.0000000000).0-Apr-2019 16:40:30 for '7.375357e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  10  1    2   0    0    3    2.499099   0    0  1.799791   4.431548 1.262287   5.814249  0   0    5.814249 1.185074   5  
   2  10  3    3   1    0    2    7.496821   0    0  1.799673   9.412620 1.489586  11.028566  0   0   11.028566 0.968492   5  
   3  10  1    1   1    0    6   12.494565   0    0  1.016700  13.644047 0.226575  13.993872  0   0   13.993872 1.000909   3  
   4   9  2    2   1    0    7   15.493193   0    0  1.283397  16.892561 0.283334  17.292386  0   0   17.292386 0.701032   3  
   5   9  2    2   1    0    6   18.491839   0    0  1.033323  19.641322 0.131385  19.891217  0   0   19.891217 1.100828   3  
   6   8  4    3   0    0    5   21.490480   0    0  1.399894  23.006469 0.972117  24.105964  0   0   24.105964 0.884708   4  
   7   8  3    1   0    0    1   25.505324   0    0  1.882901  27.504416 0.786188  28.404014  0   0   28.404014 0.601505   4  
   8   9  1    2   0    0    5   29.503508   0    0  1.782917  31.435885 0.701537  32.252272  0   0   32.252272 0.751428   4  
   9   9  2    2   1    0    3   33.501697   0    0  1.932981  35.550766 0.415860  36.083856  0   0   36.083856 0.918023   4  
  10   9  1    3   0    0    1   37.499888   0    0  2.166317  39.782056 0.896472  40.798397  0   0   40.798397 1.201662   5  
  11   9  3    4   0    0    2   42.497620   0    0  2.016327  44.646649 1.431641  46.195941  0   0   46.195941 0.801842   5  
  12  10  3    2   0    0    3   47.495355   0    0  1.849721  49.477789 1.353128  50.943789  0   0   50.943789 1.051732   5  
  13  10  1    1   1    0    5   52.493098   0    0  1.499899  54.142195 1.065142  55.325146  0   0   55.325146 0.668096   4  
  14  10  4    3   0    0    2   56.491277   0    0  2.216074  58.840208 0.868373  59.823102  0   0   59.823102 1.168325   5  
  15  10  1    1   1    0    2   61.489011   0    0  2.316248  63.971223 1.106785  65.203985  0   0   65.203985 0.785162   5  
  16  10  1    3   0    0    2   66.503411   0    0  1.699655  68.319139 1.476119  69.918523  0   0   69.918523 1.085011   5  
  17  10  3    2   0    0    5   71.501144   0    0  2.432799  74.066643 0.730163  74.916245  0   0   74.916245 1.085021   5  
  18  11  4    3   0    0    2   76.498868   0    0  1.683143  78.298062 1.729474  80.147208  0   0   80.147208 0.851771   5  
