%% MetaTwinsTri_behave_Conf for '_guess': starting at zhaoerxun (       50.0000000000).0-Apr-2019 17:28:137.375357e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   5    3   0    4      2      2.498871 1.982612   4.997750 0.937880   6.063929 1.935174   6  
   2  4   5    4   1    6      5      8.496169 0.800330   9.812245 0.705947  10.645200 3.351200   6  
   3  1   5    2   0    5      3     14.493455 1.932908  16.942337 1.342078  18.408340 1.585323   6  
   4  1   5    1   1   -1      4     20.490744 1.949696  22.956297 0.000000  24.972038 1.018924   6  
   5  2   5    2   1    5      5     26.504678 1.566322  28.587078 1.262594  29.969781 2.035093   6  
   6  3   5    3   1    3      7     32.501972 0.766970  33.784728 1.013681  34.917547 3.084627   6  
   7  4   5    4   1    6      8     38.499247 0.733143  39.748692 1.091548  40.964803 3.034632   6  
   8  1   5    4   0    6      7     44.496542 0.699969  45.712676 0.344253  46.179117 3.817659   6  
   9  1   5    4   0    5      4     50.493820 1.266325  52.276346 0.569748  52.959380 3.034677   6  
  10  4   5    4   1    5      8     56.491124 1.533190  58.540199 0.835343  59.489763 2.501573   6  
  11  2   5    2   1    6      6     62.505059 0.983175  64.004371 0.539674  64.670741 3.334479   6  
  12  2   5    2   1    4      6     68.502351 1.700195  70.718009 0.423100  71.267766 2.734808   6  
  13  1   5    2   0    3      3     74.499630 1.932768  76.948539 0.463445  77.531583 2.468194   6  
  14  3   5    4   0    2      2     80.496960 2.416264  83.428928 0.318009  83.862062 2.135090   6  
  15  3   5    3   1    3      3     86.494200 1.882758  88.893109 0.270114  89.276271 2.718073   6  
  16  3   5    3   1    2      3     92.491494 2.266357  95.273572 0.242055  95.640074 2.351649   6  
  17  3   5    3   1    2      3     98.488767 2.049317 101.054294 0.359700 101.537411 2.451486   6  
  18  4   5    4   1    5      6    104.502729 1.349979 106.368547 0.668758 107.151518 2.851372   6  
  19  1   5    4   0    2      3    110.500001 2.265955 113.282081 0.216390 113.615266 2.384832   6  
  20  2   5    2   1    5      6    116.497300 1.200229 118.213194 0.370265 118.696302 3.301230   6  
  21  2   5    2   1    5      7    122.494566 1.099565 124.110528 0.845086 125.076749 2.917920   6  
  22  2   5    2   1    5      6    128.491881 1.449944 130.457652 0.000417 130.574263 3.417820   6  
  23  3   5    2   0    5      6    134.489148 1.183224 136.188372 0.651494 136.954703 3.034521   6  
  24  4   5    4   1    3      5    140.486417 1.633618 142.635463 1.304071 144.068110 1.918545   6  
  25  4   5    4   1    6      6    146.500379 0.783234 147.799793 0.557237 148.482820 3.517609   6  
  26  4   5    4   1    5      7    152.514321 1.066429 154.096955 0.402195 154.613371 3.401189   6  
  27  1   5    2   0    5      6    158.511628 1.033432 160.060928 0.696809 160.877230 3.134622   6  
  28  2   5    2   1    4      5    164.508901 1.582879 166.607953 1.128001 167.857390 2.151742   6  
  29  1   5    1   1    5      7    170.506191 1.050128 172.072150 0.516036 172.705193 3.301229   6  
  30  3   5    2   0    5      6    176.503467 1.499451 178.519219 0.267792 178.902385 3.101306   6  
  31  1   5    1   1    5      7    182.500766 1.150182 184.166678 1.187970 185.482744 2.518252   6  
  32  3   5    3   1    5      6    188.514694 1.399499 190.430498 1.611521 192.163057 1.851874   6  
  33  1   5    1   1    5      4    194.512004 1.966392 196.994207 0.400365 197.510636 2.501602   6  
  34  2   5    2   1    6      6    200.509267 0.966534 201.991932 0.574152 202.691624 3.317869   6  
  35  3   5    3   1    6      6    206.506575 1.483425 208.505669 0.676189 209.305302 2.701509   6  
  36  4   5    1   0    5      7    212.503840 1.283043 214.303028 0.851847 215.269289 2.734767   6  
  37  3   5    3   1    5      5    218.501134 1.616807 220.633505 0.769372 221.516455 2.484900   6  
  38  4   5    4   1    4      6    224.498422 1.599541 226.614131 0.955788 227.696972 2.301671   6  
  39  4   5    4   1    3      4    230.512381 2.000196 233.027915 0.771772 233.927497 2.085087   6  
  40  4   5    4   1    2      3    236.509647 2.265878 239.291726 0.343821 239.758185 2.251699   6  
  41  4   5    3   0    5      6    242.506944 1.933385 244.955834 0.993503 246.072004 1.935182   6  
  42  4   5    4   1    6      8    248.504216 0.866783 249.886933 0.686907 250.703229 3.301228   6  
  43  2   5    3   0    6      3    254.501510 1.082953 256.100778 0.759019 256.983709 3.018020   6  
  44  2   5    2   1    5      7    260.498806 1.250020 262.264676 0.176875 262.564533 3.434507   6  
  45  2   5    2   1    5      7    266.512735 1.099769 268.128675 1.060177 269.311472 2.701504   6  
  46  3   5    3   1    6      5    272.510028 1.566689 274.592475 0.218155 274.925604 3.084653   6  
  47  2   5    2   1    4      7    278.507309 1.066493 280.089925 1.003508 281.222748 2.784787   6  
  48  1   5    1   1    6      7    284.504646 0.916791 285.937290 0.899289 286.953539 3.051289   6  
  49  2   5    2   1    2      6    290.501882 2.282804 293.300614 0.339967 293.767066 2.235038   6  
  50  1   5    2   0    2      3    296.499181 2.183749 299.197956 0.233274 299.547797 2.451605   6  
  51  3   5    3   1    5      4    302.496459 1.666393 304.678806 0.482625 305.278525 2.718151   6  
  52  1   5    2   0    1      3    308.510403 2.033052 311.059259 0.519244 311.692308 2.318334   6  
  53  4   5    2   0    5      3    314.507686 1.849550 316.873283 0.715123 317.706233 2.301676   6  
  54  2   5    4   0    2      3    320.504978 2.099846 323.120469 0.364469 323.603582 2.401629   6  
  55  1   5   -1   0    1      2    326.502265 2.498989 329.017787 0.403611 329.550881 2.451611   6  
  56  3   5    2   0    6      7    332.499553 0.950471 333.965559 1.234170 335.314946 2.684828   6  
  57  3   5    3   1    5      7    338.496839 0.783129 339.796244 0.903461 340.829114 3.167943   6  
  58  4   5    4   1    2      3    344.494119 2.432432 347.442780 0.193115 347.759307 2.235043   6  
  59  2   5    2   1    5      8    350.508082 0.750362 351.774175 0.893046 352.790382 3.217907   6  
  60  3   5    2   0    5      7    356.505350 1.382845 358.404499 0.614461 359.137496 2.868080   6  
]; % This session completes at 20-Apr-2019 17:34:31, 364.003s after session start, 360s on 60 trials, totally 378.108s.

