%% MetaTwinsTri_behave_Conf for '_notguess': starting at zhaoerxun (       50.0000000000).0-Apr-2019 17:21:407.375357e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   10   2   1    6    2.498876 1.449903   4.064842 0.231436   4.414702 3.584399   6  
   2  1   10   3   0    5    8.496165 1.717450  10.328677 0.834851  11.278252 2.718141   6  
   3  2   10   3   0    5   14.493455 1.449930  16.059406 0.491343  16.675798 3.317847   6  
   4  2   10   4   0    2   20.490748 2.117071  22.823027 0.466434  23.406088 2.584875   6  
   5  4   10   3   0    4   26.504684 2.266278  28.886938 0.743018  29.753201 2.251657   6  
   6  3   10   2   0    5   32.501969 1.717221  34.334470 0.988406  35.450649 2.551560   6  
   7  3   10   3   1    5   38.499257 1.749837  40.365069 0.794640  41.281328 2.718086   6  
   8  4   10   1   0    5   44.496550 1.850973  46.462322 0.491776  47.078714 2.918029   6  
   9  1   10   4   0    3   50.493831 2.049667  52.676164 1.132422  53.925605 2.068362   6  
  10  2   10   2   1    5   56.491124 1.334120  57.940464 0.563341  58.623486 3.367870   6  
  11  3   10   3   1    5   62.488384 1.716482  64.320719 0.380492  64.820663 3.167849   6  
  12  3   10   3   1    5   68.502355 2.000407  70.618068 0.328880  71.067865 2.934701   6  
  13  4   10   4   1    5   74.499616 1.616502  76.248794 1.069475  77.431655 2.568060   6  
  14  4   10   2   0    2   80.496920 2.267025  82.879171 0.803591  83.795430 2.201695   6  
  15  4   10  -1   0    2   86.494200 0.000000  89.009726 0.055028  89.176325 2.817944   6  
  16  1   10   3   0    5   92.508155 1.800595  94.457287 0.880551  95.456825 2.551559   6  
  17  4   10   2   0    5   98.505423 2.032971 100.671135 0.731883 101.520729 2.484937   6  
  18  1   10   3   0    5  104.502717 1.600706 106.218607 0.401804 106.735043 3.267898   6  
  19  2   10   2   1    5  110.516661 2.116174 112.749014 0.377681 113.248764 2.768125   6  
  20  3   10   3   1    2  116.513964 2.234029 118.862886 0.691764 119.679191 2.335007   6  
  21  2   10   2   1    5  122.511226 1.233358 123.860630 0.410516 124.393723 3.617746   6  
  22  3   10   3   1    5  128.508538 1.750705 130.374356 0.710018 131.207306 2.801475   6  
  23  1   10   2   0    2  134.505808 2.366076 136.988014 0.819546 137.920936 2.085102   6  
  24  4   10   2   0    1  140.503103 2.350519 142.968649 0.306484 143.401791 2.601535   6  
  25  3   10   1   0    2  146.500377 2.033015 148.649409 0.854398 149.632301 2.368307   6  
  26  3   10   3   1    2  152.497684 1.583916 154.213567 0.895058 155.229777 2.768122   6  
  27  4   10   3   0    5  158.511613 1.883077 160.510727 0.901869 161.526921 2.484906   6  
  28  4   10   2   0    5  164.508907 1.584938 166.224796 0.201752 166.541315 3.467811   6  
  29  1   10   3   0    2  170.506181 2.349448 172.988393 0.532077 173.638093 2.368310   6  
  30  2   10   2   1    5  176.503475 1.351107 177.969477 0.052413 178.136075 3.867621   6  
  31  1   10   3   0    3  182.500742 2.432659 185.049603 0.886315 186.065815 1.935173   6  
  32  4   10   3   0    3  188.498056 1.717266 190.330549 1.015104 191.463373 2.534897   6  
  33  3   10   1   0    3  194.495326 2.216342 196.827464 1.020931 197.977093 2.018464   6  
  34  1   10   3   0    2  200.509291 2.050450 202.674971 0.949500 203.741157 2.268341   6  
  35  4   10   1   0    5  206.506558 2.216294 208.838839 0.947561 209.905018 2.101762   6  
  36  4   10   3   0    2  212.503847 2.067325 214.686202 1.232538 216.035594 1.968476   6  
  37  2   10   2   1    5  218.501123 1.866399 220.500178 0.727670 221.349842 2.651524   6  
  38  2   10   2   1    5  224.498430 1.984766 226.597483 0.233349 226.947313 3.051336   6  
  39  1   10   2   0    5  230.495703 1.966367 232.578094 0.308963 233.011247 2.984683   6  
  40  1   10   1   1    1  236.492994 2.267372 238.875263 0.920772 239.924777 2.068441   6  
  41  4   10   2   0    1  242.506928 2.199567 244.822557 0.001040 244.939173 3.067982   6  
  42  3   10   2   0    5  248.504224 2.084025 250.703229 0.936558 251.752770 2.251683   6  
  43  2   10   2   1    3  254.501508 2.033015 256.667232 1.067031 257.850005 2.151681   6  
  44  2   10   3   0    4  260.498809 2.034023 262.647825 0.890432 263.664051 2.334975   6  
  45  4   10   1   0    2  266.496077 2.216227 268.828348 1.065454 270.011182 1.985064   6  
  46  3   10   2   0    5  272.493377 1.867308 274.475821 1.389704 275.991790 2.001822   6  
  47  1   10   1   1    5  278.490646 1.200038 279.806740 0.468224 280.389790 3.601011   6  
  48  3   10   3   1    5  284.504610 1.733732 286.353748 0.280770 286.753589 3.251242   6  
  49  2   10   2   1    5  290.501889 1.633118 292.267781 0.472768 292.850815 3.151198   6  
  50  1   10   1   1    3  296.499174 2.100709 298.731492 0.967403 299.814352 2.185024   6  
  51  1   10   2   0    3  302.496451 2.482783 305.111771 0.858046 306.094851 1.901715   6  
  52  4   10   3   0    1  308.493751 2.000917 310.609462 1.140433 311.875553 2.118425   6  
  53  3   10   3   1    3  314.491034 2.049600 316.656723 1.337364 318.122717 1.868397   6  
  54  3   10   1   0    5  320.488324 1.734183 322.337489 0.813766 323.270395 2.718126   6  
  55  2   10   2   1    5  326.485606 1.449996 328.051539 0.239383 328.418065 3.567589   6  
  56  2   10   2   1    5  332.516218 1.718274 334.365391 0.105100 334.598603 3.417824   6  
  57  1   10   3   0    1  338.513488 2.382813 341.029033 0.707789 341.861989 2.151749   6  
  58  2   10   3   0    5  344.510791 1.950438 346.576524 0.277485 346.976334 3.034700   6  
