%% MetaTwinsTri_behave_Conf for '_notguess': starting at guoli (       50.0000000000).1-Apr-2019 11:55:057.375365e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   9    3   0    5    2.498882 1.050931   3.715000 0.939770   4.781172 3.217941   6  
   2  4   9    2   0    3    8.496154 2.066709  10.695005 1.181498  11.994573 2.001795   6  
   3  3   9    3   1    6   14.493509 1.400431  16.026080 0.459787  16.625808 3.367830   6  
   4  1   9    3   0    3   20.490724 0.834012  21.473606 0.869959  22.473158 3.517741   6  
   5  3   9    2   0    6   26.504667 1.683827  28.337155 0.859095  29.320111 2.684731   6  
   6  4   9    1   0    3   32.502015 1.866488  34.534325 0.963872  35.617204 2.384899   6  
   7  1   9    1   1    6   38.499217 1.467181  40.098502 0.538151  40.764863 3.234579   6  
   8  1   9    3   0    5   44.496511 0.984059  45.612669 0.681474  46.428963 3.567684   6  
   9  3   9    2   0    6   50.493781 1.583761  52.243075 0.710030  53.092595 2.901322   6  
  10  4   9    1   0    5   56.491071 1.133914  57.757222 0.897805  58.773366 3.217812   6  
  11  3   9    3   1    5   62.488340 2.299937  64.937227 0.988991  66.053400 1.935045   6  
  12  3   9    1   0    3   68.502279 1.417214  70.051586 1.156580  71.334412 2.667965   6  
  13  3   9    2   0    5   74.499630 1.833640  76.481993 0.751385  77.364998 2.634655   6  
  14  4   9    1   0    1   80.496912 2.316583  82.945736 0.695476  83.778682 2.218229   6  
  15  4   9    2   0    5   86.494129 1.633830  88.309966 0.758150  89.192975 2.801201   6  
  16  3   9    2   0    6   92.508057 1.750352  94.423872 0.852699  95.406738 2.601556   6  
  17  2   9    1   0    3   98.505337 1.966871 100.604390 0.998828 101.720564 2.285087   6  
  18  2   9    3   0    5  104.502619 1.966798 106.584956 0.777975 107.501267 2.501668   6  
  19  2   9    2   1    6  110.516557 1.783637 112.465685 1.035159 113.631807 2.385073   6  
  20  2   9    2   1    4  116.513903 2.016668 118.662878 1.405312 120.195570 1.818606   6  
  21  1   9    2   0    6  122.511117 1.567126 124.210216 1.142724 125.476448 2.534900   6  
  22  2   9    2   1    3  128.508411 2.050007 130.690782 1.083204 131.890267 2.118357   6  
  23  2   9    2   1    3  134.505739 2.250096 136.904594 0.824800 137.854158 2.151753   6  
  24  3   9    1   0    2  140.502970 2.383078 143.018490 0.669606 143.818192 2.185000   6  
  25  3   9    3   1    6  146.500252 1.651039 148.332842 0.944594 149.415582 2.584901   6  
  26  4   9    2   0    5  152.497524 1.883662 154.513191 0.467434 155.113008 2.884746   6  
  27  2   9    2   1    6  158.511469 1.816914 160.460567 0.609170 161.193584 2.818116   6  
  28  2   9    2   1    3  164.508805 2.299892 166.940815 0.908408 167.973841 2.035137   6  
  29  2   9    3   0    5  170.506023 1.117277 171.755300 0.298747 172.188679 3.817571   6  
  30  1   9    1   1    5  176.503304 1.017470 177.652852 0.191610 177.969308 4.034234   6  
  31  3   9    2   0    6  182.500586 1.367325 184.033180 0.672138 184.832871 3.167947   6  
  32  1   9    2   0    3  188.497857 2.266718 190.913445 0.838805 191.879659 2.118434   6  
  33  4   9    3   0    6  194.495146 1.200946 195.827801 0.426947 196.394283 3.601094   6  
  34  4   9    2   0    5  200.509079 0.650826 201.292074 0.480184 201.908457 4.100858   6  
  35  3   9    2   0    7  206.506369 1.217235 207.855723 0.245391 208.238931 3.767762   6  
  36  2   9    2   1    6  212.503654 1.117670 213.753005 0.225156 214.102925 3.900951   6  
  37  4   9    3   0    3  218.500926 1.067380 219.717044 1.218314 221.066432 2.934734   6  
  38  1   9    1   1    6  224.498270 0.800727 225.431188 0.718701 226.280738 3.717693   6  
  39  1   9    1   1    5  230.495494 1.717106 232.361305 0.783074 233.260908 2.734871   6  
  40  1   9    2   0    3  236.492774 1.850276 238.475203 1.334914 239.941214 2.051825   6  
  41  2   9    3   0    1  242.506709 2.350384 244.988914 1.013286 246.138395 1.868496   6  
  42  1   9    1   1    4  248.504040 2.233445 250.886332 1.511121 252.535491 1.468684   6  
  43  3   9    4   0    5  254.501271 1.217291 255.850717 1.128745 257.100099 2.901351   6  
  44  1   9    1   1    5  260.498553 2.350196 262.980701 1.430006 264.530060 1.468640   6  
  45  3   9    3   1    3  266.495831 2.133540 268.761472 1.044815 269.944270 2.051711   6  
  46  1   9    3   0    6  272.493105 1.850441 274.492204 0.589628 275.208544 2.784709   6  
  47  1   9    1   1    6  278.490449 1.700324 280.322768 0.406047 280.855986 3.134528   6  
  48  4   9    4   1    6  284.487676 2.017268 286.636627 0.668517 287.436339 2.551452   6  
  49  4   9    4   1    6  290.501669 1.716950 292.350778 0.274214 292.750596 3.251183   6  
  50  1   9    1   1    2  296.498962 1.850277 298.481320 0.826900 299.430895 2.568083   6  
  51  4   9    4   1    6  302.496179 1.800373 304.461941 0.176610 304.761807 3.234439   6  
  52  1   9    1   1    7  308.493449 2.083383 310.742427 0.529379 311.392141 2.601372   6  
  53  2   9    2   1    6  314.507394 1.950081 316.589784 0.371813 317.089626 2.918003   6  
  54  4   9    3   0    5  320.504663 2.383280 323.003606 0.426195 323.553289 2.451614   6  
  55  2   9    2   1    5  326.502003 0.983862 327.618188 0.388791 328.134607 3.867581   6  
  56  3   9    2   0    3  332.515879 1.883755 334.548304 1.114611 335.781087 2.235132   6  
  57  2   9    2   1    5  338.513234 2.016655 340.645512 0.922562 341.695071 2.318337   6  
  58  2   9    1   0    2  344.510515 2.483264 347.142705 1.001167 348.275417 1.735257   6  
  59  4   9    3   0    3  350.507790 1.700304 352.356901 1.292596 353.789575 2.218466   6  
  60  3   9    3   1    5  356.505077 1.300392 357.937697 0.615297 358.687350 3.317983   6  
]; % This session completes at 21-Apr-2019 12:01:27, 364.012s after session start, 360s on 60 trials, totally 382.116s.

