%% MetaTwinsTri_behave_Conf for '_guess': starting at guorenli (       50.0000000000).1-Apr-2019 11:55:067.375365e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   9    3   0    8      5      2.498868 1.066788   4.081502 0.997315   5.214317 2.784767   6  
   2  4   9    2   0    2      3      8.496178 2.083403  11.094984 0.805416  12.044563 1.951828   6  
   3  3   9    3   1    7      6     14.493453 1.416638  16.425915 0.280744  16.842398 3.151281   6  
   4  1   9    3   0    8      3     20.507395 0.833672  21.856786 0.576170  22.573134 3.434489   6  
   5  3   9    2   0    7      6     26.504675 1.699798  28.720349 0.412983  29.270100 2.734796   6  
   6  4   9    1   0    6      3     32.501978 1.883358  34.900885 0.881911  35.917090 2.085110   6  
   7  1   9    1   1    7      6     38.499239 1.483251  40.498359 1.415126  42.047654 1.951816   6  
   8  1   9    3   0    8      5     44.496550 1.000274  46.012530 0.709991  46.862146 3.134622   6  
   9  3   9    2   0    7      6     50.493833 1.599861  52.609538 1.024413  53.775688 2.218362   6  
  10  4   9    1   0    8      5     56.507770 1.133803  58.157035 0.764703  59.056629 2.951372   6  
  11  3   9    3   1    7      5     62.505046 2.299639  65.320450 0.555675  66.020140 1.985139   6  
  12  3   9    1   0    5      3     68.502340 1.433297  70.451478 0.776740  71.367709 2.634853   6  
  13  3   9    2   0    6      5     74.499633 1.850094  76.865231 0.764397  77.764827 2.235036   6  
  14  4   9    1   0    1      1     80.496911 2.332860  83.345627 0.645512  84.128612 1.868534   6  
  15  4   9    2   0    7      5     86.494204 1.650206  88.659893 0.571651  89.376236 2.618199   6  
  16  3   9    2   0    5      6     92.508144 1.766413  94.790464 1.312494  96.239793 1.768560   6  
  17  2   9    1   0    3      3     98.505439 1.983362 101.004313 1.155156 102.287069 1.718593   6  
  18  2   9    3   0    7      5    104.502711 1.983066 107.001595 1.065879 108.201056 1.801889   6  
  19  2   9    2   1    2      6    110.500016 1.816948 112.832300 0.800505 113.765197 2.235040   6  
  20  2   9    2   1    2      4    116.497287 2.049658 119.062799 0.949290 120.145641 1.851875   6  
  21  1   9    2   0    7      6    122.494579 1.600341 124.610299 0.349252 125.093403 2.901410   6  
  22  2   9    2   1    4      3    128.508506 2.066271 131.090704 1.144304 132.373444 1.635301   6  
  23  2   9    2   1    1      3    134.505821 2.266565 137.287890 0.272224 137.704359 2.301689   6  
  24  3   9    1   0    1      2    140.503090 2.399578 143.418453 0.263910 143.818264 2.185048   6  
  25  3   9    3   1    2      6    146.500383 1.666938 148.682731 0.958931 149.782233 2.218371   6  
  26  4   9    2   0    6      5    152.497659 1.899768 154.913248 1.161941 156.212657 1.785239   6  
  27  2   9    2   1    7      6    158.494962 1.850187 160.860557 0.439990 161.443622 2.551564   6  
  28  2   9    2   1    2      3    164.492233 2.332941 167.340962 0.871347 168.357176 1.635285   6  
  29  2   9    3   0    8      5    170.506195 1.133759 172.155449 0.652217 172.938424 3.067996   6  
  30  1   9    1   1    7      5    176.503455 1.033399 178.052788 0.635950 178.819093 3.184595   6  
  31  3   9    2   0    7      6    182.500771 1.383774 184.399905 0.965453 185.499410 2.501579   6  
  32  1   9    2   0    2      3    188.498045 2.282917 191.296789 0.571129 191.996473 2.001793   6  
  33  4   9    3   0    7      6    194.495337 1.216998 196.227894 0.973908 197.344044 2.651520   6  
  34  4   9    2   0    7      5    200.492611 0.683604 201.692088 0.793532 202.624994 3.367843   6  
  35  3   9    2   0    8      7    206.506545 1.233346 208.255784 0.695962 209.088742 2.918051   6  
  36  2   9    2   1    7      6    212.503849 1.133542 214.153104 0.572654 214.869450 3.134620   6  
  37  4   9    3   0    7      3    218.501092 1.083508 220.100415 0.734347 220.966690 3.034661   6  
  38  1   9    1   1    8      6    224.498430 0.817233 225.831161 0.562815 226.530832 3.467810   6  
  39  1   9    1   1    6      5    230.495706 1.733160 232.744697 1.058927 233.944149 2.051775   6  
  40  1   9    2   0    7      3    236.492995 1.866604 238.875251 1.094422 240.108036 1.885179   6  
  41  2   9    3   0    1      1    242.506920 2.366170 245.388982 0.730258 246.255250 1.751904   6  
  42  1   9    1   1    2      4    248.504229 2.250020 251.269637 0.241560 251.652800 2.351655   6  
