%% MetaTwinsTri_behave_Conf for '_guess': starting at wangjitu (       50.0000000000).7-Apr-2019 12:50:587.375425e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   4    2   1    3      7      2.498867 1.216807   4.231402 0.871420   5.230959 2.768112   6  
   2  2   4    1   0    4      6      8.496143 1.882730  10.895059 0.996010  12.011222 1.985074   6  
   3  2   4    2   1    4      7     14.493418 1.316353  16.325915 0.777033  17.225518 2.768000   6  
   4  1   4    2   0    5      7     20.507370 1.699540  22.723025 0.778804  23.622619 2.384976   6  
   5  3   4    2   0    3      1     26.504641 1.916098  28.936875 0.000979  29.053476 2.951390   6  
   6  3   4    2   0    5      6     32.501910 1.716151  34.734235 0.251564  35.100743 2.901408   6  
   7  2   4    3   0    3      3     38.499213 1.799495  40.814815 0.014110  40.948092 3.051343   6  
   8  4   4    1   0    5      6     44.496482 1.749553  46.762125 0.829352  47.711693 2.285030   6  
   9  1   4    2   0    5      8     50.493767 1.466278  52.476186 1.049964  53.642338 2.351650   6  
  10  4   4    1   0    3      7     56.491045 2.199322  59.206475 0.716418  60.039435 1.951781   6  
  11  1   4    1   1    5      8     62.488312 1.782853  64.787284 0.854298  65.770169 2.218281   6  
  12  1   4    2   0    2      7     68.485604 1.999351  71.001131 0.000907  71.117739 2.867916   6  
  13  1   4    3   0    3      7     74.516202 2.149361  77.181656 0.000971  77.298281 2.718150   6  
  14  1   4    3   0    3      7     80.513483 2.215941  83.245570 0.000975  83.362195 2.651510   6  
  15  4   4    2   0    3      7     86.510762 2.032683  89.059598 0.706963  89.892568 2.118425   6  
  16  1   4    3   0    4      6     92.508035 1.699521  94.723699 0.511268  95.356754 2.651531   6  
  17  3   4    1   0    3      5     98.505327 1.899506 100.920895 0.219014 101.254075 2.751482   6  
  18  2   4    3   0    3      6    104.502605 2.249183 107.268012 1.047118 108.434180 1.568604   6  
  19  1   4    2   0    5      4    110.499884 2.232633 113.248639 0.788946 114.164882 1.835133   6  
  20  1   4    3   0    3      6    116.497171 2.016086 119.029358 0.224793 119.379183 2.618054   6  
  21  2   4    1   0    4      6    122.511098 2.132717 125.159905 0.682040 125.959544 2.051780   6  
  22  3   4    3   1    2      6    128.508389 2.082765 131.107200 0.155979 131.390418 2.618191   6  
  23  1   4    2   0    3      6    134.505661 2.282608 137.304397 0.000912 137.420998 2.584897   6  
  24  4   4    3   0    4      5    140.502939 2.349177 143.368321 0.986237 144.467815 1.535351   6  
  25  2   4    1   0    3      6    146.500219 1.882734 148.899142 0.612799 149.632149 2.368306   6  
  26  2   4    3   0    3      8    152.497510 1.765948 154.779803 0.329958 155.229604 2.768094   6  
  27  4   4    4   1    3      8    158.494781 2.166053 161.176907 0.527511 161.826632 2.168289   6  
