%% MetaTwins_RDMsc_training for 'wangqiushuo': starting at _nofeedback (       50.0000000000).7-Apr-2019 16:47:30 for '7.375427e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1   9  4    4   1    0    6    2.499174   0    0  1.083573   3.715257 0.646204   4.481609  0   0    4.481609 0.517788   3  
   2   9  1    2   0    0    6    5.497804   0    0  1.300046   6.930497 0.877070   7.930036  0   0    7.930036 1.068005   4  
   3   9  1    3   0    0    3    9.495995   0    0  1.283341  10.895366 1.202157  12.211437  0   0   12.211437 0.784769   4  
   4  10  2    2   1    0    4   13.494183   0    0  1.000076  14.627002 1.649908  16.392877  0   0   16.392877 0.601517   4  
   5  10  3    3   1    0    3   17.492372   0    0  1.933182  19.541439 0.908939  20.574302  0   0   20.574302 1.418269   5  
   6   9  1    2   0    0    1   22.490105   0    0  1.749854  24.439215 0.996922  25.555380  0   0   25.555380 1.434903   5  
   7   9  1    2   0    0    4   27.504488   0    0  1.749947  29.370312 0.991199  30.486493  0   0   30.486493 0.518173   4  
   8  10  4    4   1    0    4   31.502664   0    0  1.400041  33.018661 0.698154  33.834957  0   0   33.834957 1.167885   4  
   9  10  1    4   0    0    7   35.500856   0    0  0.900107  36.550375 0.707798  37.383343  0   0   37.383343 0.617669   3  
  10  10  3    3   1    0    6   38.499503   0    0  1.416642  40.032135 0.392855  40.548566  0   0   40.548566 1.451086   4  
  11  10  1    1   1    0    1   42.497697   0    0  1.849780  44.480127 1.457808  46.062740  0   0   46.062740 0.935095   5  
  12   9  3    3   1    0    3   47.495406   0    0  1.416569  49.028056 0.553973  49.694411  0   0   49.694411 1.301137   4  
  13   9  4    3   0    0    1   51.493601   0    0  1.749789  53.359424 0.891874  54.375643  0   0   54.375643 0.618085   4  
  14   9  3    4   0    0    1   55.491789   0    0  1.483302  57.091059 0.492160  57.707450  0   0   57.707450 1.284460   4  
  15  10  2    2   1    0    1   59.489981   0    0  1.316568  60.922545 0.524406  61.572371  0   0   61.572371 1.417704   4  
  16  10  3    3   1    0    8   63.488166   0    0  1.449842  65.070782 0.609281  65.803774  0   0   65.803774 1.184487   4  
  17   9  3    3   1    0    3   67.486341   0    0  2.049645  69.652030 1.557435  71.334590  0   0   71.334590 0.651830   5  
  18   9  1    2   0    0    4   72.500736   0    0  1.733137  74.349895 1.216691  75.682619  0   0   75.682619 1.318195   5  
  19   9  3    3   1    0    2   77.498463   0    0  1.333446  78.947819 1.097335  80.163923  0   0   80.163923 0.834611   4  
  20   9  3    3   1    0    4   81.513305   0    0  1.399921  83.045952 0.659374  83.828933  0   0   83.828933 1.184604   4  
  21   8  4    4   1    0    4   85.511498   0    0  1.133438  86.760923 1.173232  88.060336  0   0   88.060336 0.951390   4  
  22   8  4    4   1    0    7   89.509692   0    0  0.933504  90.575763 0.429591  91.125609  0   0   91.125609 0.884300   3  
  23   7  4    4   1    0    7   92.508317   0    0  1.066954  93.724440 0.213844  94.057613  0   0   94.057613 0.950933   3  
  24   7  2    2   1    0    6   95.506954   0    0  1.150107  96.773048 0.429379  97.322806  0   0   97.322806 0.684379   3  
  25   6  1    3   0    0    6   98.505589   0    0  1.416581 100.038243 0.542620 100.704614  0   0  100.704614 1.301209   4  
  26   6  2    2   1    0    1  102.503788   0    0  1.299952 103.986452 0.766427 104.869373  0   0  104.869373 1.134639   4  
  27   6  3    2   0    0    1  106.501974   0    0  1.766499 108.384452 0.717921 109.217398  0   0  109.217398 0.784791   4  
  28   6  1    2   0    0    1  110.500148   0    0  1.566466 112.216049 0.509775 112.849087  0   0  112.849087 1.151296   4  
  29   7  3    3   1    0    5  114.515008   0    0  1.716496 116.364170 1.058165 117.546953  0   0  117.546953 1.468272   5  
  30   7  2    3   0    0    1  119.512724   0    0  2.082994 121.728396 1.229863 123.077782  0   0  123.077782 0.935178   5  
