%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at liudashuang (       50.0000000000).7-Apr-2019 17:16:427.375427e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   12   2   1   -1      6      2.498860 1.400140   4.414662 0.000000   6.413676 1.585403   6  
   2  4   12   1   0    5      7      8.496134 1.216281  10.228682 0.738498  11.094961 2.901349   6  
   3  3   12   3   1    4      8     14.493424 1.799283  16.809053 0.961033  17.891879 2.101682   6  
   4  1   12   2   0    6      5     20.490694 1.532979  22.539771 1.008874  23.672588 2.318202   6  
   5  4   12   1   0    4      8     26.504633 1.582901  28.603691 1.136252  29.853135 2.151737   6  
   6  2   12   2   1    1      5     32.501929 2.182592  35.200705 0.463069  35.783780 2.218387   6  
   7  3   12   1   0    2      5     38.499197 1.999325  41.014735 0.364807  41.497845 2.501585   6  
   8  1   12   1   1    6      8     44.513155 1.299575  46.328995 1.149225  47.595089 2.418292   6  
   9  1   12   4   0    4      7     50.510419 1.999198  53.025946 0.954779  54.108782 1.901863   6  
  10  4   12   4   1    4      5     56.507694 2.082658  59.106525 0.570089  59.806202 2.201725   6  
  11  4   12   4   1    3      6     62.504964 0.000000  65.520278 1.010139  66.653104 1.352109   6  
  12  1   12   2   0    5      6     68.502258 1.316442  70.334759 1.049525  71.500909 2.501570   6  
  13  2   12   2   1    6      7     74.499547 1.316370  76.332046 1.025571  77.481532 2.518186   6  
  14  1   12   1   1    6      8     80.496826 1.066501  82.079434 0.930823  83.128956 2.868002   6  
  15  3   12   3   1    5      8     86.494108 1.682952  88.693109 0.622417  89.442774 2.551426   6  
  16  2   12   2   1    5      6     92.508041 1.782822  94.807010 0.983712  95.906496 2.101774   6  
  17  1   12   1   1    7      6     98.505314 1.082919 100.104602 0.634444 100.854255 3.151297   6  
  18  2   12   3   0    6      8    104.502611 1.266182 106.285132 1.226004 107.634520 2.368313   6  
  19  4   12   4   1    5      8    110.499877 1.666104 112.682231 0.645235 113.448548 2.551577   6  
  20  3   12   2   0    5      4    116.497162 1.682837 118.696163 0.273346 119.095992 2.901393   6  
  21  2   12   3   0    4      5    122.494439 2.132636 125.143247 0.350288 125.609702 2.384977   6  
  22  1   12   1   1    7      8    128.508389 1.166584 130.190950 0.492613 130.807353 3.201265   6  
  23  4   12   2   0    5      6    134.505665 1.932786 136.954552 0.398000 137.470986 2.534892   6  
  24  3   12   3   1    4      7    140.502943 2.265847 143.285022 0.622381 144.034680 1.968436   6  
  25  1   12   1   1    6      6    146.500228 1.782908 148.799188 0.513338 149.432233 2.568129   6  
  26  1   12   3   0    3      7    152.497510 2.482455 155.496147 1.012178 156.628975 1.368626   6  
  27  2   12   2   1    5      6    158.511445 1.899510 160.927017 0.543991 161.593379 2.418292   6  
  28  2   12   1   0    4      5    164.508720 2.049280 167.074231 1.429605 168.623535 1.385422   6  
