%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at liudashuang (       50.0000000000).7-Apr-2019 17:36:147.375427e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   10   4   1    7      4      2.498851 0.850251   3.864913 1.003290   4.997728 3.001333   6  
   2  1   10   2   0    7      5      8.496138 0.366890   9.379067 0.533218  10.028768 3.967501   6  
   3  2   10   3   0    6      2     14.510062 0.666556  15.692870 0.324705  16.142675 3.867636   6  
   4  4   10   4   1    6      3     20.507351 0.949828  21.973351 0.943403  23.039551 2.968040   6  
   5  1   10   3   0    6      3     26.504638 0.666700  27.687432 0.161550  27.970647 4.034219   6  
   6  1   10   2   0    5      4     32.501922 1.033146  34.051220 0.500112  34.667612 3.334541   6  
   7  1   10   3   0    5      2     38.499202 1.066509  40.081817 0.245201  40.448321 3.551065   6  
   8  3   10   3   1    5      2     44.496485 1.033202  46.045768 0.041934  46.212363 3.784228   6  
   9  1   10   2   0    5      3     50.510429 1.233038  52.259623 0.160225  52.542830 3.467811   6  
  10  3   10   3   1    5      1     56.507698 1.116546  58.140292 0.000938  58.256918 3.751018   6  
  11  1   10   2   0    6     -1     62.504982 0.716659  63.737765 0.689068  64.554059 3.451145   6  
  12  4   10   4   1    6      2     68.502246 0.666612  69.685056 0.319181  70.118198 3.884304   6  
  13  2   10   3   0    5      1     74.499537 1.432977  76.448659 0.748154  77.314938 2.684758   6  
  14  2   10   3   0    5      2     80.496832 1.382975  82.395970 0.207324  82.729148 3.267757   6  
  15  2   10   2   1    6      5     86.510755 1.016522  88.043392 0.320658  88.493204 3.517792   6  
  16  2   10   2   1    4      3     92.508044 1.566253  94.590441 0.419014  95.123518 2.884750   6  
  17  1   10   2   0    4      3     98.505311 1.416323 100.437777 0.537543 101.104142 2.901411   6  
  18  4   10   2   0    3      1    104.502590 1.799476 106.818223 0.416031 107.351310 2.651517   6  
  19  4   10   4   1    3      1    110.499899 1.749577 112.765521 0.699604 113.581819 2.418214   6  
  20  4   10   4   1    5      5    116.497166 1.249806 118.263020 0.529714 118.912738 3.084493   6  
