%% MetaTwins_RDMsc_training for 'liudashuang': starting at _feedback (       50.0000000000).7-Apr-2019 15:50:29 for '7.375427e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  18  2    3   0    0    6    2.498998   0    0  2.449431   5.097833 0.172214   5.397689 0.999550   6.397240   7.396790 0.602438   6  
   2  18  1    3   0    0    8    8.496295   0    0  1.033343   9.712416 0.342512  10.178856 0.999556  11.178411  12.177947 0.818569   5  
   3  20  2    2   1    0    8   13.494018   0    0  1.933030  15.592970 0.207928  15.926255 0.999551  16.925806  17.925343 1.068897   6  
   4  20  3    3   1    0    8   19.491325   0    0  1.249935  20.907340 0.084674  21.107236 0.999545  22.106781  23.106329 0.885202   5  
   5  18  3    3   1    0    8   24.505701   0    0  1.499846  26.154954 0.129973  26.404831 0.999550  27.404380  28.403923 0.601988   5  
   6  18  1    1   1    0    8   29.503435   0    0  1.749644  31.435881 0.260194  31.819054 0.999539  32.818592  33.818136 1.185512   6  
   7  16  2    3   0    0    8   35.500713   0    0  1.566471  37.233265 0.104224  37.466480 0.999545  38.466025  39.465577 0.535348   5  
   8  16  1    2   0    0    7   40.498446   0    0  1.917169  42.580801 0.177943  42.880703 0.999538  43.880241  44.879781 1.118868   6  
   9  18  1    3   0    0    8   46.495723   0    0  1.966397  48.628098 0.110839  48.861312 0.999552  49.860864  50.860404 1.135524   6  
  10  18  4    2   0    0    7   52.492998   0    0  1.899597  54.575396 0.157945  54.841950 0.999544  55.841494  56.841034 1.152170   6  
  11  20  2    2   1    0    7   58.490287   0    0  1.599818  60.239448 0.147380  60.506043 0.999536  61.505579  62.505137 1.485343   6  
  12  20  3    3   1    0    7   64.504226   0    0  1.233291  65.903592 0.096270  66.120159 0.999544  67.119703  68.119261 0.885162   5  
  13  18  2    2   1    0    8   69.501954   0    0  1.233202  70.901353 0.348546  71.367782 0.999543  72.367324  73.366872 0.635267   5  
  14  18  4    2   0    0    8   74.499691   0    0  1.417175  76.082305 0.143540  76.348871 0.999531  77.348403  78.347938 0.651937   5  
  15  18  2    2   1    0    8   79.497421   0    0  2.016410  81.679794 0.195789  81.996293 0.999551  82.995844  83.995379 1.002243   6  
  16  18  3    3   1    0    7   85.494704   0    0  1.566584  87.227259 0.265821  87.610416 0.999532  88.609948  89.609510 1.385374   6  
  17  16  4    2   0    0    7   91.491977   0    0  2.082830  93.724200 0.147150  93.990850 0.999556  94.990406  95.989962 1.002197   6  
  18  16  2    2   1    0    7   97.505914   0    0  1.933092  99.621635 0.187865  99.921489 0.999549 100.921038 101.920585 1.085509   6  
  19  16  1    4   0    0    8  103.503217   0    0  1.916173 105.552245 0.221726 105.902125 0.999550 106.901674 107.901218 1.102146   6  
  20  16  3    3   1    0    8  109.500495   0    0  1.816405 111.499521 0.249120 111.866081 0.999541 112.865622 113.865171 1.135491   6  
  21  16  3    4   0    0    8  115.497762   0    0  1.549856 117.196994 0.156227 117.480210 0.999543 118.479752 119.479292 0.518629   5  
  22  16  3    3   1    0    8  120.495495   0    0  1.283436 121.944835 0.113757 122.178081 0.999541 123.177622 124.177168 0.818490   5  
  23  16  1    2   0    0    8  125.493235   0    0  1.483146 127.125680 0.142433 127.392354 0.999561 128.391915 129.391458 0.601922   5  
  24  16  4    2   0    0    8  130.490973   0    0  2.116196 132.773270 0.137461 133.039805 0.999559 134.039364 135.038901 0.952232   6  
  25  18  4    2   0    0    7  136.504908   0    0  1.916188 138.587171 0.291035 139.003780 0.999546 140.003326 141.002870 1.002192   6  
  26  18  4    2   0    0    7  142.502196   0    0  2.249581 144.901028 0.132116 145.150988 0.999548 146.150536 147.150075 0.852265   6  
  27  20  4    4   1    0    7  148.499477   0    0  2.299520 150.931707 0.251277 151.298204 0.999537 152.297741 153.297299 0.702309   6  
  28  20  3    3   1    0    7  154.496742   0    0  1.832974 156.512496 0.122962 156.762386 0.999553 157.761939 158.761488 1.235400   6  
  29  18  2    2   1    0    7  160.494019   0    0  1.833108 162.509744 0.161689 162.792986 0.999541 163.792527 164.792085 1.202081   6  
  30  18  2    2   1    0    7  166.491310   0    0  2.116279 168.790114 0.114967 169.023500 0.999541 170.023042 171.022587 0.968849   6  
  31  16  4    4   1    0    7  172.488591   0    0  2.366158 174.987430 0.152979 175.254000 0.999553 176.253553 177.253095 0.735625   6  
  32  16  1    1   1    0    7  178.502533   0    0  1.766399 180.468243 0.133747 180.718183 0.999546 181.717729 182.717284 1.285372   6  
  33  14  4    2   0    0    7  184.499801   0    0  1.949709 186.632180 0.109641 186.865398 0.999551 187.864949 188.864499 1.135442   6  
  34  14  1    1   1    0    7  190.497093   0    0  2.099649 192.762581 0.155968 193.045937 0.999549 194.045486 195.045024 0.952182   6  
  35  14  1    2   0    0    7  196.494375   0    0  2.332637 198.993237 0.142442 199.259790 0.999545 200.259335 201.258879 0.735598   6  
  36  14  2    2   1    0    7  202.491643   0    0  1.283291 203.957482 0.209559 204.290843 0.999529 205.290372 206.289931 0.701830   5  
  37  14  1    2   0    0    7  207.489385   0    0  1.766424 209.455167 0.163366 209.738375 0.999545 210.737920 211.737454 1.252032   6  
  38  14  4    4   1    0    7  213.486667   0    0  2.199541 215.835596 0.173138 216.135473 0.999530 217.135003 218.134552 0.852215   6  
  39  14  1    3   0    0    7  219.500597   0    0  2.216168 221.866204 0.173034 222.166072 0.999532 223.165604 224.165145 0.835559   6  
  40  14  3    3   1    0    7  225.497886   0    0  2.216151 227.880117 0.180867 228.180007 0.999545 229.179552 230.179084 0.818885   6  
  41  14  3    2   0    0    7  231.495156   0    0  2.066383 233.760818 0.207554 234.093984 0.999552 235.093536 236.093086 0.902169   6  
  42  14  4    2   0    0    7  237.492464   0    0  2.166167 239.841221 0.095582 240.057953 0.999538 241.057491 242.057041 0.935493   6  
  43  15  4    2   0    0    7  243.489739   0    0  2.499352 246.138467 0.169547 246.421735 0.999547 247.421282 248.420825 0.568986   6  
  44  15  3    3   1    0    7  249.487008   0    0  1.699846 251.369420 0.093174 251.586060 0.999533 252.585594 253.585155 1.401924   6  
  45  15  1    1   1    0    7  255.500957   0    0  1.733058 257.433400 0.190756 257.749923 0.999547 258.749470 259.749015 1.252005   6  
  46  14  2    2   1    0    7  261.498229   0    0  2.316149 263.980438 0.240539 264.346932 0.999551 265.346483 266.346028 0.652270   6  
  47  14  4    4   1    0    7  267.495506   0    0  2.016291 269.644396 0.233914 269.994369 0.999548 270.993918 271.993475 1.002094   6  
  48  13  4    2   0    0    7  273.492782   0    0  2.416196 276.091468 0.162763 276.374806 0.999563 277.374369 278.373898 0.618951   6  
  49  13  3    3   1    0    7  279.490072   0    0  1.883134 281.539134 0.178656 281.838997 0.999559 282.838556 283.838092 1.152033   6  
  50  13  3    1   0    0    7  285.487343   0    0  2.266136 287.952900 0.204486 288.286083 0.999547 289.285630 290.285171 0.702226   6  
  51  13  2   -1   0    0    2  291.517942   0    0  0.000000 294.033483 0.101893 294.250037 0.999545 295.249582 296.249140 0.769026   6  
  52  13  2    3   0    0    7  297.515227   0    0  1.916345 299.614134 0.180284 299.914144 0.999544 300.913688 301.913225 1.102248   6  
  53  14  3    2   0    0    7  303.512509   0    0  2.249579 305.961395 0.138391 306.227950 0.999539 307.227490 308.227038 0.785709   6  
  54  14  2    3   0    0    7  309.509792   0    0  2.216159 311.875216 0.189102 312.191901 0.999554 313.191455 314.191003 0.819021   6  
  55  15  3    3   1    0    6  315.507072   0    0  2.316640 318.005943 0.192077 318.322457 0.999548 319.322005 320.321547 0.685741   6  
  56  15  4    2   0    0    7  321.504345   0    0  1.966310 323.669953 0.122517 323.919915 0.999554 324.919469 325.919025 1.085540   6  
  57  15  1    4   0    0    6  327.501624   0    0  2.099618 329.767274 0.319462 330.200395 0.999560 331.199955 332.199493 0.802365   6  
  58  16  1    1   1    0    7  333.515576   0    0  2.299480 335.997783 0.235066 336.347607 0.999558 337.347165 338.346714 0.669087   6  
  59  16  2    3   0    0    7  339.512853   0    0  2.232889 341.895002 0.245313 342.261608 0.999543 343.261151 344.260701 0.752376   6  
  60  16  1   -1   0    0    4  345.510125   0    0  0.000000 348.025655 0.037928 348.175594 0.999533 349.175127 350.174677 0.835674   6  
]; % This session completes at 27-Apr-2019 15:56:47, 353.008s after session start, 349s on 60 trials, totally 377.296s, correctness is 48.333%.

