%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at majingnan (       50.0000000000).5-May-2019 12:18:387.375705e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   12   1   0    3      6      2.498429 1.699143   4.713672 0.218637   5.046797 2.951932   6  
   2  1   12   4   0    6      3      8.494618 1.898774  10.909737 0.995025  12.025704 1.969204   6  
   3  3   12   3   1    6      6     14.490803 1.399294  16.406230 1.191601  17.705417 2.285651   6  
   4  2   12   2   1    7      6     20.503639 1.832298  22.852130 0.483871  23.451753 2.552120   6  
   5  1   12   1   1    3      8     26.499825 1.132806  28.148780 0.735989  28.998234 3.001835   6  
   6  4   12   4   1    6      8     32.496017 1.399357  34.411470 0.696618  35.227612 2.768598   6  
   7  3   12   1   0    5      6     38.492204 1.565787  40.574194 1.059675  41.740138 2.252250   6  
   8  2   12   3   0    5      6     44.488383 1.915509  46.920163 0.869386  47.902867 2.085675   6  
   9  3   12   2   0    2      6     50.501234 2.182132  53.199485 1.444983  54.765187 1.236180   6  
  10  4   12   4   1    7      8     56.497427 1.066181  58.079735 0.793339  58.979184 3.018336   6  
  11  2   12   4   0    7      8     62.510247 0.999602  64.025954 0.911141  65.058644 2.951935   6  
  12  3   12   1   0    6      6     68.506438 1.316004  70.338613 0.693067  71.138095 2.868671   6  
  13  2   12   4   0    6      8     74.502642 1.299335  76.318129 0.860039  77.284193 2.718755   6  
  14  3   12   3   1    6      6     80.515464 2.032198  83.063849 0.565095  83.746755 2.269034   6  
  15  1   12   1   1    6      8     86.511650 1.032824  88.060665 0.807707  88.976751 3.035228   6  
  16  1   12   1   1    4      6     92.507841 1.898963  94.922967 0.729517  95.772426 2.235740   6  
  17  1   12   1   1    4      6     98.504027 1.649159 100.669327 0.934039 101.718649 2.285712   6  
  18  1   12   1   1    6      6    104.500210 1.432594 106.448950 0.735820 107.298438 2.702104   6  
  19  1   12   1   1    3      8    110.496402 2.098766 113.111406 0.573567 113.794320 2.202399   6  
