%% MetaTwins_RDMsc_training for 'mengqingwu': starting at _feedback (       50.0000000000).5-May-2019 11:31:29 for '7.375705e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  50  3    3   1    0    7    2.498896   0    0  1.149797   3.764995 0.866023   4.747888 0.999533   5.747421   6.746964 1.252160   6  
   2  50  4    4   1    0    7    8.496178   0    0  1.199841   9.812244 0.813460  10.745163 0.999534  11.744697  12.744247 1.252167   6  
   3  45  1    1   1    0    8   14.493457   0    0  0.766653  15.376393 0.337201  15.826189 0.999535  16.825725  17.825273 1.168412   5  
   4  45  3    3   1    0    8   19.491192   0    0  0.883185  20.490729 0.465135  21.073803 0.999549  22.073351  23.072903 0.918509   5  
   5  40  4    4   1    0    8   24.505571   0    0  0.949890  25.571762 0.246918  25.938261 0.999536  26.937797  27.937350 1.068454   5  
   6  40  3    3   1    0    8   29.503305   0    0  0.849961  30.469531 0.330787  30.919342 0.999545  31.918886  32.918424 1.085105   5  
   7  36  3    3   1    0    8   34.501038   0    0  1.033204  35.650527 0.466534  36.233582 0.999541  37.233123  38.232683 0.768573   5  
   8  36  2    2   1    0    8   39.498766   0    0  0.783610  40.398367 0.120700  40.631595 0.999539  41.631134  42.630681 1.368306   5  
   9  32  2    2   1    0    8   44.496500   0    0  1.066536  45.679311 0.306993  46.112439 0.999541  47.111980  48.111533 0.885179   5  
  10  32  1    1   1    0    8   49.494238   0    0  0.733325  50.343850 0.180207  50.643723 0.999540  51.643263  52.642804 1.351640   5  
  11  28  3    3   1    0    8   54.491977   0    0  0.949908  55.558147 0.186990  55.858016 0.999551  56.857567  57.857101 1.135069   5  
  12  28  2    2   1    0    8   59.506364   0    0  0.683402  60.305993 0.108954  60.539224 0.999551  61.538774  62.538309 1.468250   5  
  13  25  3    3   1    0    8   64.504091   0    0  1.116464  65.736873 0.231324  66.086709 0.999545  67.086254  68.085792 0.918501   5  
  14  25  4    4   1    0    8   69.501823   0    0  0.966580  70.584672 0.119110  70.817891 0.999554  71.817445  72.816975 1.185045   5  
  15  22  2    2   1    0    8   74.499560   0    0  0.749983  75.365823 0.101066  75.582399 0.999541  76.581940  77.581483 1.418262   5  
  16  22  2    2   1    0    8   79.497275   0    0  0.950024  80.563462 0.109204  80.796682 0.999549  81.796231  82.795791 1.201674   5  
  17  19  1    1   1    0    8   84.495007   0    0  0.683752  85.294638 0.054463  85.461240 0.999562  86.460802  87.460326 0.534857   4  
  18  19  4    2   0    0    8   88.493208   0    0  1.099961  89.709308 0.222831  90.059145 0.999548  91.058694  92.058248 0.935141   5  
  19  19  2    2   1    0    8   93.490930   0    0  1.416568  95.023572 0.158764  95.306777 0.999535  96.306312  97.305868 0.685230   5  
  20  19  1    1   1    0    8   98.505320   0    0  0.750082  99.371588 0.092244  99.588163 0.999542 100.587705 101.587246 1.418248   5  
  21  17  1    1   1    0    8  103.503050   0    0  1.049888 104.669185 0.367607 105.152299 0.999538 106.151837 107.151396 0.851825   5  
  22  17  1    1   1    0    8  108.500770   0    0  1.349939 109.966781 0.297216 110.383259 0.999548 111.382807 112.382350 0.618605   5  
  23  15  1    1   1    0    8  113.498514   0    0  1.216629 114.831237 0.346272 115.297695 0.999556 116.297250 117.296793 0.701887   5  
  24  15  3    3   1    0    8  118.496249   0    0  1.283884 119.895617 0.159989 120.178818 0.999548 121.178366 122.177906 0.818509   5  
  25  14  3    2   0    0    8  123.493979   0    0  1.333279 124.943322 0.406663 125.476410 0.999552 126.475962 127.475504 0.518629   5  
  26  14  2    2   1    0    8  128.491708   0    0  0.883488 129.491258 0.254828 129.857758 0.999543 130.857301 131.856852 1.135021   5  
  27  14  1    1   1    0    7  133.489436   0    0  1.299909 134.905464 0.974780 136.004961 0.999547 137.004507 138.004051 0.985550   6  
  28  13  1    2   0    0    6  139.503388   0    0  1.083259 140.702832 0.783313 141.602428 0.999541 142.601969 143.601517 1.402014   6  
  29  13  4    2   0    0    5  145.500654   0    0  1.166584 146.783399 0.900356 147.799613 0.999550 148.799163 149.798699 1.202096   6  
  30  14  3    1   0    0    5  151.497927   0    0  1.599872 153.213834 1.317985 154.646509 0.999543 155.646052 156.645601 1.352480   7  
