%% MetaTwins_RDMsc_training for 'mengqingwu': starting at _nofeedback (       50.0000000000).5-May-2019 11:53:01 for '7.375705e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  16  2    2   1    0    6    2.499036   0    0  1.083649   3.698505 0.397231   4.214931  0   0    4.214931 0.784337   3  
   2  16  1    3   0    0    6    5.497677   0    0  2.266273   7.879929 0.502702   8.496314  0   0    8.496314 0.501572   4  
   3  16  3    2   0    0    6    9.495867   0    0  1.016601  10.628683 0.666244  11.411657  0   0   11.411657 0.584407   3  
   4  18  1    3   0    0    5   12.494501   0    0  2.315994  14.926730 0.455598  15.493139  0   0   15.493139 0.501546   4  
   5  18  2    2   1    0    5   16.492689   0    0  0.750136  17.358911 0.821219  18.291868  0   0   18.291868 0.700972   3  
   6  18  2    2   1    0    5   19.491329   0    0  1.683290  21.290518 0.373120  21.790280  0   0   21.790280 1.201201   4  
   7  16  4    2   0    0    5   23.489528   0    0  0.966780  24.572358 0.603526  25.288698  0   0   25.288698 0.700948   3  
   8  16  4    4   1    0    6   26.488161   0    0  0.983370  27.587654 1.329219  29.036996  0   0   29.036996 0.951272   4  
   9  16  4    4   1    0    6   30.502988   0    0  2.116212  32.735318 0.993514  33.851485  0   0   33.851485 1.151613   5  
  10  14  3    2   0    0    6   35.500719   0    0  0.783445  36.400324 0.271831  36.800128  0   0   36.800128 1.200679   3  
  11  14  4    2   0    0    5   38.499379   0    0  1.383309  39.998681 0.674717  40.798312  0   0   40.798312 1.201111   4  
  12  15  1    1   1    0    6   42.514208   0    0  0.933561  43.563731 0.667318  44.346721  0   0   44.346721 0.667720   3  
  13  15  3    3   1    0    5   45.512843   0    0  1.549818  47.178769 0.610347  47.911774  0   0   47.911774 1.101297   4  
  14  14  1    1   1    0    6   49.511032   0    0  1.633178  51.260249 0.808900  52.176499  0   0   52.176499 0.834766   4  
  15  14  1    2   0    0    6   53.509219   0    0  1.533202  55.158480 0.482872  55.758204  0   0   55.758204 1.251242   4  
  16  14  4    4   1    0    5   57.507402   0    0  0.900066  58.523619 0.200727  58.840145  0   0   58.840145 1.167490   3  
