%% MetaTwinsTri_behave_Conf for '_guess': starting at yanghongxia (       50.0000000000).6-May-2019 12:28:487.375715e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   14   4   0    7      7      2.498858 1.217463   4.231405 1.402645   5.764043 2.235024   6  
   2  3   14   3   1    7      7      8.496133 1.516665  10.528550 0.041902  10.695144 3.301250   6  
   3  2   14   1   0    4      1     14.493424 1.999538  17.008941 0.503123  17.641987 2.351589   6  
   4  3   14   3   1    4      6     20.490697 1.366551  22.373164 0.682497  23.189481 2.801341   6  
   5  2   14   2   1    4      6     26.488040 2.099598  29.103518 0.834257  30.053036 1.935104   6  
   6  3   14   3   1    7      7     32.501925 1.682953  34.700923 0.445588  35.267327 2.734649   6  
   7  1   14   3   0    4      6     38.515911 1.849750  40.881455 1.595535  42.597340 1.418747   6  
   8  1   14   1   1    4      7     44.513129 0.966697  45.995798 0.905187  47.028655 2.984716   6  
   9  3   14   2   0    5      6     50.510423 1.599633  52.626124 1.101297  53.842247 2.168502   6  
  10  2   14   1   0    6      5     56.507703 1.016675  58.040390 0.974612  59.139844 2.868088   6  
  11  4   14   2   0    4      1     62.504978 2.332649  65.353749 0.723547  66.203372 1.801833   6  
  12  1   14   3   0    6      5     68.502325 1.599623  70.617970 0.703932  71.450986 2.551511   6  
  13  1   14   1   1    4      5     74.499529 2.282582  77.298271 0.589875  78.014606 1.985169   6  
  14  2   14   3   0    6      2     80.496806 1.216699  82.229372 0.001025  82.362650 3.634404   6  
  15  3   14   3   1    6      6     86.494168 1.416489  88.426614 0.925846  89.476096 2.518289   6  
  16  1   14   1   1    7      6     92.491456 1.099690  94.107314 0.791063  95.023563 2.968028   6  
  17  4   14   2   0    6      6     98.505320 1.416398 100.437847 1.087756 101.653954 2.351547   6  
  18  3   14   3   1    4      5    104.502608 1.449441 106.468390 0.308639 106.901508 3.101244   6  
  19  2   14   3   0    6      5    110.499886 0.966681 111.982537 1.085634 113.198651 2.801350   6  
  20  1   14   3   0    3      5    116.497220 2.382714 119.395838 0.416988 119.945603 2.051638   6  
  21  1   14   1   1    6      6    122.494437 1.566393 124.576899 0.848972 125.559724 2.434777   6  
  22  4   14   3   0    6      6    128.508438 1.516485 130.540785 1.493720 132.156720 1.851989   6  
  23  1   14   1   1    4      5    134.505657 1.783093 136.804620 1.174961 138.104023 1.901868   6  
  24  3   14   1   0    5      3    140.502941 2.016245 143.035126 1.732165 144.900952 1.102219   6  
  25  2   14   3   0    3      2    146.500281 2.132909 149.149030 0.556675 149.832048 2.168398   6  
  26  3   14  -1   0    1      1    152.497559 0.000000 155.029699 0.621341 155.779347 2.218382   6  
  27  4   14   2   0   -1      6    158.511445 0.866774 159.894153 0.000000 161.893186 2.118490   6  
  28  4   14   2   0    7      6    164.508710 0.666833 165.691520 0.446794 166.274589 3.734361   6  
  29  1   14   1   1    5      8    170.506060 1.416538 172.438462 0.467586 173.038185 2.968052   6  
