%% MetaTwins_RDMsc_training for 'yanghongxia': starting at _feedback (       50.0000000000).6-May-2019 11:44:05 for '7.375715e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  27  3    3   1    0    8    2.499006   0    0  1.850164   4.564831 0.553903   5.247751 0.999616   6.247367   7.246852 0.752380   6  
   2  27  4    4   1    0    8    8.496340   0    0  1.700346  10.378715 0.738314  11.245104 0.999537  12.244641  13.244133 0.752433   6  
   3  24  1    1   1    0    8   14.493569   0    0  1.183950  15.809600 0.367119  16.309413 0.999539  17.308952  18.308494 0.685256   5  
   4  24  4    4   1    0    8   19.491383   0    0  1.217087  20.857340 0.327589  21.323795 0.999565  22.323360  23.322896 0.668562   5  
   5  21  2    4   0    0    8   24.489042   0    0  1.450609  26.071646 0.160918  26.354851 0.999545  27.354396  28.353944 0.635240   5  
   6  21  2    2   1    0    8   29.503429   0    0  1.467058  31.169428 0.208768  31.502516 0.999551  32.502068  33.501615 0.501945   5  
   7  21  1    4   0    0    8   34.501228   0    0  1.783557  36.416952 0.048094  36.600203 0.999614  37.599817  38.599306 1.402034   6  
   8  21  4    4   1    0    8   40.498450   0    0  1.700534  42.330942 0.042559  42.497591 0.999488  43.497079  44.496633 0.501898   5  
   9  21  4    4   1    0    8   45.496173   0    0  0.867454  46.512382 0.146586  46.778930 0.999541  47.778471  48.778017 1.218238   5  
  10  18  2    4   0    0    8   50.493905   0    0  0.750886  51.376843 0.129024  51.626796 0.999468  52.626264  53.625823 1.368140   5  
  11  18  4    4   1    0    8   55.508365   0    0  0.667387  56.307946 0.145604  56.574554 0.999480  57.574034  58.573586 1.434936   5  
  12  18  2    4   0    0    8   60.506023   0    0  1.500457  62.155284 0.052976  62.321942 0.999481  63.321423  64.320970 0.685290   5  
  13  18  3    4   0    0    8   65.503767   0    0  1.467231  67.119760 0.195607  67.452879 0.999540  68.452419  69.451972 0.552029   5  
  14  20  4    4   1    0    8   70.501498   0    0  1.050758  71.734175 0.250342  72.100784 0.999546  73.100330  74.099861 0.901870   5  
  15  20  2    4   0    0    7   75.499292   0    0  1.683715  77.315075 1.466181  78.914354 0.999603  79.913957  80.913444 1.086022   7  
  16  20  2    4   0    0    8   82.512784   0    0  1.383693  84.028769 0.320875  84.478492 0.999549  85.478041  86.477596 0.535348   5  
  17  22  3   -1   0    0   -1   87.510457   0    0  0.000000  90.025986 0.000000  92.025031 0.999592  93.024623  94.024164 0.986515   8  
  18  22  3    3   1    0    8   95.506822   0    0  2.400285  98.022426 0.069146  98.222345 0.999453  99.221798 100.221363 0.785698   6  
  19  22  2   -1   0    0    3  101.504167   0    0  0.000000 104.019648 0.091539 104.236268 0.999480 105.235748 106.235293 0.769153   6  
  20  22  1    3   0    0    8  107.501395   0    0  1.567222 109.200684 0.477898 109.800351 0.999616 110.799967 111.799433 1.202180   6  
  21  22  3    3   1    0    8  113.498677   0    0  1.134096 114.798091 0.157496 115.081288 0.999552 116.080840 117.080380 0.918514   5  
  22  22  3    3   1    0    8  118.496477   0    0  0.717234 119.396004 0.089608 119.612566 0.999541 120.612107 121.611644 1.384984   5  
  23  19  3    3   1    0    8  123.494134   0    0  0.567618 124.193764 0.061933 124.377068 0.999617 125.376685 126.376170 0.618198   4  
  24  19  1    3   0    0    8  127.492328   0    0  0.617619 128.258639 0.011308 128.391919 0.999542 129.391462 130.391007 0.601544   4  
  25  19  1    1   1    0    8  131.507176   0    0  1.751036 133.422984 0.032080 133.589569 0.999528 134.589097 135.588649 1.418748   6  
  26  19  4    1   0    0    8  137.504450   0    0  0.850662 138.504000 0.025859 138.653933 0.999539 139.653472 140.653011 1.351652   5  
  27  19  1    4   0    0    8  142.502250   0    0  1.567101 144.218173 0.009690 144.351346 0.999548 145.350894 146.350439 0.651931   5  
  28  21  3    4   0    0    8  147.499917   0    0  0.968196 148.649401 0.077941 148.849297 0.999614 149.848911 150.848458 1.151636   5  
  29  21  3    3   1    0    8  152.497649   0    0  0.717545 153.397334 0.094521 153.613806 0.999543 154.613350 155.612908 1.384905   5  
  30  21  2    3   0    0    8  157.495468   0    0  0.900679 158.544855 0.014233 158.694906 0.999475 159.694381 160.693926 1.301604   5  
  31  21  4    2   0    0    8  162.493117   0    0  1.350480 163.992447 0.151350 164.275642 0.999539 165.275181 166.274734 0.718505   5  
  32  24  1    4   0    0    8  167.490913   0    0  1.150412 168.773612 0.033257 168.940195 0.999546 169.939742 170.939288 1.051671   5  
  33  24  1    1   1    0    8  172.488592   0    0  1.034120 173.671486 0.080843 173.871292 0.999541 174.870833 175.870381 1.118298   5  
  34  24  2    4   0    0    8  177.486326   0    0  1.250850 178.918962 0.056545 179.102255 0.999538 180.101793 181.101340 0.885061   5  
  35  24  4    4   1    0    8  182.500714   0    0  1.033889 183.666795 0.110861 183.900082 0.999546 184.899628 185.899235 1.101529   5  
  36  24  1    1   1    0    8  187.515101   0    0  2.466758 190.130677 0.033760 190.297170 0.999556 191.296726 192.296271 0.719063   6  
  37  21  4    4   1    0    8  193.512398   0    0  1.083307 194.745092 0.002905 194.861788 0.999533 195.861320 196.860855 1.151771   5  
  38  21  4    4   1    0    8  198.510193   0    0  0.933982 199.609626 0.000904 199.742891 0.999544 200.742435 201.742048 1.268300   5  
  39  18  2    4   0    0    8  203.507853   0    0  0.634234 204.307420 0.003609 204.440836 0.999472 205.440308 206.439862 0.568318   4  
  40  18  1    4   0    0    8  207.506029   0    0  0.800736 208.488934 0.000950 208.622200 0.999542 209.621742 210.621294 1.384977   5  
  41  20  4    4   1    0    8  212.503832   0    0  0.817329 213.503183 0.005714 213.636599 0.999595 214.636194 215.635676 1.368320   5  
  42  20  4    4   1    0    8  217.501498   0    0  0.667467 218.351126 0.140671 218.617672 0.999541 219.617214 220.616767 1.384971   5  
  43  18  3    4   0    0    1  222.499314   0    0  1.150628 223.815174 1.297063 225.247993 0.999538 226.247531 227.247094 0.752374   6  
  44  18  3    3   1    0    8  228.496520   0    0  1.150715 229.812563 0.080168 230.029235 0.999464 231.028699 232.028246 0.968507   5  
  45  18  2    4   0    0    8  233.510921   0    0  1.000829 234.693612 0.222299 235.043631 0.999462 236.043093 237.042653 0.968487   5  
  46  18  2    4   0    0    8  238.508706   0    0  1.150813 239.858041 0.476995 240.457765 0.999551 241.457316 242.456859 0.552022   5  
