%% MetaTwins_RDMsc_training for 'yanghongxia': starting at _nofeedback (       50.0000000000).6-May-2019 11:59:07 for '7.375715e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  18  4    3   0    0    6    2.498972   0    0  2.000349   4.664694 0.415805   5.214339  0   0    5.214339 0.784803   4  
   2  18  1    4   0    0    7    6.497108   0    0  1.367141   8.029737 0.582740   8.746085  0   0    8.746085 1.251251   4  
   3  20  3    3   1    0    7   10.495295   0    0  1.550473  12.194340 0.225841  12.544363  0   0   12.544363 1.451259   4  
   4  20  3    4   0    0    7   14.510135   0    0  1.167413  15.842738 0.478797  16.442600  0   0   16.442600 0.567865   3  
   5  20  4    4   1    0    7   17.508774   0    0  1.600573  19.241323 0.666985  20.024305  0   0   20.024305 0.984703   4  
   6  20  1    2   0    0    7   21.506953   0    0  2.200317  23.905887 0.236118  24.255778  0   0   24.255778 0.751423   4  
   7  20  1    4   0    0    7   25.505155   0    0  2.000187  27.620860 0.766639  28.520446  0   0   28.520446 1.484937   5  
   8  22  3    3   1    0    7   30.502877   0    0  1.583925  32.218838 1.214777  33.568160  0   0   33.568160 1.435039   5  
   9  22  1   -1   0    0    3   35.500619   0    0  0.000000  38.016157 0.188518  38.332670  0   0   38.332670 0.668264   4  
  10  22  2    2   1    0    7   39.515539   0    0  1.550481  41.214701 0.688277  42.030995  0   0   42.030995 0.984699   4  
  11  19  2   -1   0    0    1   43.513720   0    0  0.000000  46.029179 0.002274  46.162441  0   0   46.162441 0.851440   4  
  12  19  2    4   0    0    7   47.511897   0    0  1.950344  49.627634 0.607469  50.360537  0   0   50.360537 0.651523   4  
  13  19  4    2   0    0    7   51.493374   0    0  1.617030  53.275765 0.969426  54.375386  0   0   54.375386 0.618052   4  
  14  21  4    4   1    0    7   55.491551   0    0  1.367086  57.024189 0.485761  57.640640  0   0   57.640640 1.351073   4  
  15  21  1    1   1    0    7   59.489742   0    0  1.250591  60.872449 0.501385  61.488825  0   0   61.488825 0.501031   3  
  16  18  4    4   1    0    7   62.488449   0    0  1.483849  64.104374 0.424379  64.654066  0   0   64.654066 1.334459   4  
  17  18  1    1   1    0    2   66.503231   0    0  1.033836  67.669237 0.530279  68.319134  0   0   68.319134 0.684250   3  
  18  16  2    4   0    0    7   69.501864   0    0  1.300683  70.951159 0.368382  71.451039  0   0   71.451039 0.551057   3  
  19  16  1    2   0    0    5   72.500508   0    0  2.250133  74.899427 0.517891  75.549197  0   0   75.549197 1.451494   5  
  20  18  4    1   0    0    4   77.498306   0    0  1.084045  78.714349 1.441277  80.280386  0   0   80.280386 0.718079   4  
  21  18  3    3   1    0    7   81.496424   0    0  1.716960  83.345592 0.394117  83.862014  0   0   83.862014 1.134646   4  
  22  18  2    4   0    0    7   85.494618   0    0  1.966921  87.610325 0.468995  88.210047  0   0   88.210047 0.784800   4  
