%% MetaTwinsTri_behave_Conf for '_guess': starting at yanghuixia (       50.0000000000).6-May-2019 12:56:337.375715e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   7    1   0    5      7      2.498871 1.699409   4.714537 0.427434   5.247622 2.751469   6  
   2  3   7    3   1    2      7      8.496163 2.416524  11.428179 0.664749  12.211163 1.785239   6  
   3  4   7    2   0    4      2     14.510114 2.465885  17.492095 0.921338  18.524965 1.485381   6  
   4  4   7    1   0    3      7     20.507414 2.199978  23.222845 1.377648  24.705521 1.302115   6  
   5  4   7    4   1    3      6     26.504697 2.299237  29.320087 1.169181  30.602843 1.402078   6  
   6  3   7    3   1    5      7     32.501999 1.633631  34.651037 1.279040  36.050396 1.951826   6  
   7  3   7   -1   0    1      4     38.499282 2.499131  41.014831 0.967222  42.097663 1.901837   6  
   8  2   7    3   0    5      7     44.513234 1.550191  46.578955 0.757412  47.445256 2.568213   6  
   9  4   7    4   1    6      7     50.493867 1.599428  52.609572 0.715408  53.442538 2.551378   6  
  10  1   7    1   1    5      7     56.491160 1.700321  58.706841 1.031111  59.856308 2.135065   6  
  11  3   7    3   1    5      8     62.488456 1.699539  64.704112 0.477985  65.303838 2.684731   6  
  12  2   7    2   1    6      2     68.502418 1.700242  70.718069 0.772822  71.601015 2.401670   6  
  13  4   7    4   1    5      7     74.499691 1.949456  76.965252 0.774837  77.848178 2.151704   6  
  14  4   7    4   1    4      7     80.496994 2.100108  83.112450 0.985851  84.211981 1.785240   6  
  15  2   7    2   1    5      7     86.494302 1.799259  88.809914 0.362219  89.293025 2.701487   6  
  16  1   7    1   1    5      7     92.508241 1.500228  94.524003 0.826182  95.456914 2.551532   6  
  17  4   7    4   1    5      7     98.505527 1.283051 100.304727 0.578681 100.987746 3.017994   6  
  18  2   7    2   1    7      5    104.502831 1.216787 106.235384 0.419612 106.768464 3.234576   6  
  19  1   7    1   1    6      7    110.500110 1.516171 112.532533 0.707107 113.348818 2.651535   6  
  20  2   7    2   1    6      7    116.514041 1.716731 118.746401 0.479376 119.346116 2.668180   6  
  21  4   7    4   1    6      7    122.511351 1.599514 124.627052 0.800902 125.543319 2.468252   6  
  22  1   7    1   1    8      7    128.508656 1.516563 130.541072 0.173081 130.824279 3.184595   6  
  23  1   7    1   1    3      7    134.489278 2.099219 137.104758 0.496458 137.721158 2.268170   6  
  24  4   7    4   1    5      7    140.486585 1.433379 142.435697 0.520217 143.068745 2.918054   6  
  25  2   7    1   0    7      7    146.500510 1.766187 148.782832 0.291838 149.182658 2.817989   6  
  26  3   7    3   1    5      7    152.497820 1.466893 154.480258 0.580313 155.179945 2.818107   6  
  27  3   7    3   1    6      2    158.495097 1.582929 160.594157 0.481981 161.193887 2.801415   6  
  28  1   7    1   1    5      7    164.492408 1.200113 166.208237 0.607698 166.924648 3.067978   6  
  29  2   7    1   0    7      7    170.506350 1.432779 172.455464 0.655364 173.221778 2.784796   6  
  30  1   7    1   1    5      8    176.503655 1.349984 178.369474 1.204100 179.685542 2.318333   6  
  31  3   7    3   1    6      8    182.500942 1.232940 184.250171 0.375237 184.733259 3.267905   6  
  32  3   7    4   0    7      2    188.498242 1.183821 190.197469 1.516315 191.830064 2.168394   6  
  33  2   7    3   0    6      7    194.512177 1.149716 196.178091 0.744745 197.044374 2.968027   6  
  34  2   7    2   1    6      7    200.509488 0.283811 201.309119 1.703035 203.124973 2.884735   6  
  35  3   7    3   1    7      7    206.506767 1.249581 208.272634 0.806165 209.188892 2.818097   6  
  36  4   7    2   0    7      2    212.504068 1.150317 214.169976 1.582525 215.869221 2.135062   6  
  37  1   7    3   0    6      6    218.501344 0.899905 219.917372 1.007915 221.033560 2.967854   6  
  38  3   7    3   1    6      7    224.498622 0.800620 225.814724 0.534080 226.464436 3.534433   6  
  39  4   7    4   1    6      7    230.495932 1.266275 232.278487 0.326123 232.711593 3.284480   6  
  40  3   7    3   1    5      7    236.493230 1.216477 238.225780 0.423397 238.758871 3.234585   6  
  41  2   7    2   1    5      2    242.490519 1.399652 244.406306 0.386788 244.906107 3.084610   6  
  42  3   7    3   1    6      7    248.504497 1.033475 250.053786 0.543989 250.703458 3.301257   6  
  43  4   7    4   1    7      7    254.501770 1.482762 256.500865 0.571730 257.183896 2.818096   6  
  44  1   7    1   1    5      7    260.499055 1.416997 262.431459 0.363138 262.914636 3.084648   6  
  45  1   7    3   0    5      7    266.496346 1.716172 268.728667 0.964517 269.811525 2.185050   6  
  46  4   7    4   1    5      7    272.510298 1.316400 274.342797 0.710653 275.159089 2.851442   6  
  47  2   7    2   1    5      2    278.507601 1.583523 280.606630 0.628190 281.339610 2.668204   6  
  48  3   7   -1   0    1      3    284.504874 2.499205 287.020419 0.604016 287.736752 2.268349   6  
  49  1   7    1   1    5      7    290.502184 1.716529 292.734505 1.176737 294.017258 1.985149   6  
  50  3   7    3   1    5      7    296.516139 1.816114 298.848416 1.272803 300.231111 1.785261   6  
  51  1   7    1   1    2      7    302.496773 2.349908 305.362148 0.492588 305.961879 2.035091   6  
  52  2   7    2   1    3      7    308.494054 2.382661 311.392745 0.970166 312.475580 1.518582   6  
  53  4   7    4   1    4      7    314.491359 1.583585 316.590405 1.373388 318.073080 1.918497   6  
  54  1   7    1   1    2      7    320.505294 2.299395 323.320688 1.198715 324.636762 1.368704   6  
  55  1   7    4   0    4      7    326.502591 1.700294 328.718268 0.567489 329.401279 2.601541   6  
  56  2   7    4   0    5      2    332.499890 1.749425 334.765535 1.227629 336.114925 1.885179   6  
  57  4   7    4   1    6      7    338.497192 1.450610 340.462968 0.651618 341.229283 2.768124   6  
  58  2   7    3   0    4      2    344.494465 1.716242 346.726783 1.216003 348.059517 1.935167   6  
  59  1   7    1   1    5      7    350.508434 1.450272 352.474203 1.283802 353.873567 2.135078   6  
  60  2   7    3   0    6      7    356.505708 1.732869 358.754691 0.839880 359.704272 2.301680   6  
]; % This session completes at 26-May-2019 13:02:53, 364.004s after session start, 360s on 60 trials, totally 380.121s.

