%% MetaTwinsTri_behave_Conf for '_guess': starting at yanghuixia (       50.0000000000).6-May-2019 12:36:297.375715e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   14   3   0    4      6      2.498876 1.649688   4.664587 1.418020   6.197206 1.801891   6  
   2  2   14   1   0    5      5      8.496100 1.200144  10.212067 0.667252  10.995056 3.001353   6  
   3  2   14   2   1    5      6     14.493463 1.266205  16.275994 0.759972  17.142262 2.851415   6  
   4  2   14   2   1    5      5     20.507423 1.533574  22.556505 0.711101  23.372790 2.634858   6  
   5  3   14   1   0    3      5     26.504703 2.282423  29.303433 0.729054  30.153057 1.851867   6  
   6  1   14   1   1    5      2     32.502012 1.749846  34.767651 1.017348  35.900467 2.101731   6  
   7  3   14   1   0    3      2     38.499283 2.265922  41.281362 0.941154  42.330901 1.668618   6  
   8  3   14   3   1    4      5     44.496588 2.299562  47.311988 1.066820  48.494785 1.502029   6  
   9  4   14   2   0    4      5     50.493880 2.315725  53.325926 0.436317  53.875681 2.118429   6  
  10  2   14   1   0    5      5     56.507838 1.666846  58.690180 0.761117  59.556465 2.451605   6  
  11  1   14   2   0    4      5     62.505122 1.765968  64.787417 1.308900  66.203452 1.801897   6  
  12  1   14   1   1    3      6     68.502431 2.349588  71.367805 0.960266  72.433982 1.568660   6  
  13  3   14   1   0    3      5     74.499707 2.016117  77.031899 1.837711  78.981015 1.018919   6  
  14  4   14  -1   0    3      3     80.497004 2.499585  83.012528 0.646919  83.778858 2.218378   6  
  15  4   14   4   1    5      6     86.494287 1.782750  88.793248 0.950013  89.859437 2.135080   6  
  16  4   14   4   1    5      7     92.508255 1.366955  94.390731 1.246745  95.756742 2.251714   6  
  17  1   14   2   0    5      7     98.505538 1.383024 100.404699 0.914760 101.437537 2.568221   6  
  18  1   14   4   0    4      2    104.502826 1.750141 106.768471 1.095105 107.984593 2.018449   6  
  19  1   14   4   0    5      7    110.500106 1.432989 112.449236 1.258642 113.815292 2.185051   6  
  20  4   14   1   0    5      6    116.497425 1.267023 118.279939 0.582384 118.979601 3.018031   6  
  21  2   14  -1   0    1      3    122.494703 2.498981 125.010236 1.309961 126.426263 1.568660   6  
  22  4   14   4   1    5      7    128.508661 1.133751 130.157846 1.653127 131.923783 2.085083   6  
  23  2   14   1   0    6      6    134.505935 1.416309 136.438408 1.110212 137.654533 2.351637   6  
  24  1   14   4   0    6      7    140.503249 1.516648 142.535648 1.463608 144.118286 1.885172   6  
  25  2   14   2   1    3      4    146.500532 2.365956 149.382562 0.864793 150.365448 1.635305   6  
  26  4   14   4   1    5      7    152.497828 1.633309 154.646859 0.394766 155.146630 2.851405   6  
  27  2   14  -1   0    2      3    158.495118 0.000000 161.010663 1.430207 162.559951 1.435393   6  
  28  3   14   4   0    7      7    164.509027 0.967170 165.991741 1.380757 167.491050 2.518245   6  
  29  3   14   2   0    5      5    170.506354 1.399652 172.422159 1.318924 173.854846 2.151735   6  
