%% MetaTwins_RDMsc_training for 'yanghuixia': starting at _nofeedback (       50.0000000000).6-May-2019 11:54:29 for '7.375715e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  18  3    3   1    0    6    2.498886   0    0  1.216688   3.848255 0.581044   4.547949  0   0    4.547949 1.451147   4  
   2  18  4    4   1    0    6    6.497051   0    0  1.100022   7.729763 0.262912   8.113005  0   0    8.113005 0.884239   3  
   3  16  4    2   0    0    5    9.495702   0    0  1.566473  11.178205 1.174907  12.477683  0   0   12.477683 0.518187   4  
   4  16  1    2   0    0    2   13.493881   0    0  2.016348  15.626252 0.849097  16.592489  0   0   16.592489 1.401532   5  
   5  18  3    3   1    0    6   18.491613   0    0  1.500094  20.107550 0.893589  21.123759  0   0   21.123759 0.867947   4  
   6  18  1    1   1    0    8   22.489810   0    0  1.133333  23.739247 0.710322  24.572191  0   0   24.572191 1.417676   4  
   7  16  4    4   1    0    8   26.504643   0    0  1.216675  27.837377 0.565010  28.520408  0   0   28.520408 1.484473   4  
   8  16  1    1   1    0    8   30.502831   0    0  0.900172  31.535699 0.349145  32.002170  0   0   32.002170 1.000891   3  
   9  14  3    2   0    0    3   33.501464   0    0  1.666561  35.333969 0.899537  36.350182  0   0   36.350182 0.651521   4  
  10  14  2    1   0    0    6   37.499653   0    0  1.766479  39.382139 0.515783  40.015185  0   0   40.015185 0.984713   4  
  11  15  3    2   0    0    6   41.497839   0    0  1.999674  43.630211 0.644983  44.396532  0   0   44.396532 0.601540   4  
  12  15  1    1   1    0    5   45.496022   0    0  1.499853  47.128624 0.767589  48.011544  0   0   48.011544 0.984716   4  
  13  15  4    4   1    0    8   49.494219   0    0  1.399801  51.010070 0.287973  51.410002  0   0   51.410002 0.584433   3  
  14  14  2    1   0    0    4   52.509500   0    0  1.516463  54.142102 1.321169  55.591447  0   0   55.591447 1.418303   5  
  15  14  1    2   0    0    6   57.507244   0    0  1.666382  59.289766 0.497654  59.906159  0   0   59.906159 1.101316   4  
  16  15  2    4   0    0    7   61.505432   0    0  1.150144  62.771524 0.402130  63.287952  0   0   63.287952 0.717688   3  
  17  15  4    3   0    0    2   64.504070   0    0  1.882977  66.503153 1.006113  67.619317  0   0   67.619317 1.384945   5  
  18  16  2    4   0    0    5   69.501806   0    0  1.183060  70.801208 1.274578  72.200582  0   0   72.200582 0.801370   4  
  19  16  3    2   0    0    5   73.499985   0    0  1.250032  74.916011 0.847934  75.882240  0   0   75.882240 1.117861   4  
  20  18  2    3   0    0    3   77.498169   0    0  2.166151  79.780291 1.315750  81.213150  0   0   81.213150 0.785110   5  
  21  18  2    1   0    0    5   82.495900   0    0  1.200022  83.845132 0.986153  84.944790  0   0   84.944790 1.051165   4  
  22  20  4    4   1    0    8   86.510742   0    0  1.316959  87.943435 0.479858  88.543161  0   0   88.543161 1.467815   4  
  23  20  1    1   1    0    6   90.508929   0    0  1.249967  91.874920 1.012681  93.007803  0   0   93.007803 1.001355   4  
  24  18  4    4   1    0    5   94.507116   0    0  2.349674  96.972657 0.722536  97.805625  0   0   97.805625 1.201719   5  
  25  18  3    3   1    0    6   99.504846   0    0  1.999828 101.653815 1.123444 102.903305  0   0  102.903305 1.101769   5  
  26  16  1    1   1    0    7  104.502589   0    0  1.050388 105.668720 1.178090 106.968138  0   0  106.968138 1.034672   4  
  27  16  1    1   1    0    8  108.500766   0    0  0.816979 109.466999 0.723762 110.316610  0   0  110.316610 0.684381   3  
  28  14  3    4   0    0    6  111.499411   0    0  1.833022 113.448521 0.549440 114.114886  0   0  114.114886 0.884745   4  
  29  14  3    3   1    0    4  115.497588   0    0  2.166139 117.796560 1.057884 118.979337  0   0  118.979337 1.018491   5  
  30  14  1    1   1    0    7  120.495318   0    0  1.016832 121.644809 1.224998 122.994195  0   0  122.994195 1.001337   4  
  31  13  1    1   1    0    7  124.493512   0    0  0.833638 125.459674 0.622929 126.209400  0   0  126.209400 0.784279   3  
  32  13  4    2   0    0    4  127.492145   0    0  2.266113 129.874261 0.896148 130.890606  0   0  130.890606 1.101686   5  
  33  13  1    1   1    0    5  132.489879   0    0  0.983310 133.606040 0.583319 134.305715  0   0  134.305715 0.684267   3  
  34  13  2    1   0    0    5  135.488521   0    0  0.900093 136.504732 0.952033 137.570908  0   0  137.570908 1.417697   4  
  35  13  4    4   1    0    7  139.486713   0    0  1.316601 140.936003 0.712785 141.769001  0   0  141.769001 1.217763   4  
  36  13  1    1   1    0    7  143.501546   0    0  0.883426 144.501091 1.366318 145.983757  0   0  145.983757 1.018025   4  
  37  12  3    1   0    0    7  147.499726   0    0  1.616578 149.232281 0.685094 150.031917  0   0  150.031917 0.968048   4  
  38  12  2    4   0    0    1  151.514571   0    0  1.949660 153.580303 1.415485 155.112951  0   0  155.112951 0.901866   5  
  39  13  2    4   0    0    6  156.512306   0    0  1.349873 157.978315 1.342427 159.444313  0   0  159.444313 0.568228   4  
  40  13  3    3   1    0    2  160.510496   0    0  2.332886 162.959388 1.131009 164.208823  0   0  164.208823 0.801905   5  
  41  13  4    4   1    0    7  165.508221   0    0  1.349855 166.974232 0.315425 167.407359  0   0  167.407359 0.601099   3  
  42  12  1    3   0    0   -1  168.506876   0    0  1.766484 170.405876 0.000000 172.405048  0   0  172.405048 0.602042   5  
  43  12  4    4   1    0    7  173.504595   0    0  1.033393 174.670741 0.286925 175.070552  0   0  175.070552 0.934278   3  
  44  12  4    4   1    0    7  176.503241   0    0  1.499791 178.135825 0.151451 178.402370  0   0  178.402370 0.601099   3  
  45  11  2    2   1    0    2  179.501876   0    0  2.099558 181.717538 0.759775 182.600477  0   0  182.600477 1.401601   5  
  46  11  2    3   0    0    2  184.499599   0    0  1.449822 186.098892 1.196524 187.414946  0   0  187.414946 0.584826   4  
  47  11  3    4   0    0    7  188.497788   0    0  1.100079 189.730572 0.232342 190.080418  0   0  190.080418 0.917509   3  
  48  12  2    4   0    0    7  191.496442   0    0  1.150049 192.762475 0.257450 193.145685  0   0  193.145685 0.850860   3  
  49  12  3    4   0    0    7  194.495070   0    0  0.933400 195.544487 0.320679 195.977743  0   0  195.977743 1.017417   3  
  50  13  2    4   0    0    7  197.493704   0    0  0.866837 198.493266 1.023235 199.642731  0   0  199.642731 1.351033   4  
  51  13  2    4   0    0    5  201.508558   0    0  0.816806 202.458083 0.782140 203.357714  0   0  203.357714 0.651070   3  
  52  14  3    4   0    0    5  204.507200   0    0  1.249941 205.873248 0.519468 206.506287  0   0  206.506287 0.501136   3  
  53  14  1    4   0    0    3  207.505855   0    0  0.816874 208.438747 1.077471 209.638203  0   0  209.638203 1.367870   4  
  54  15  4    4   1    0    5  211.504023   0    0  0.716824 212.336975 0.269702 212.720128  0   0  212.720128 1.284135   3  
