%% MetaTwinsTri_behave_Conf for '_guess': starting at caolidan (       50.0000000000).8-May-2019 12:31:497.375735e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   14   2   1    7      6      2.498972 1.033295   4.048266 1.140132   5.297708 2.701483   6  
   2  3   14   4   0    7      2      8.496279 1.833501  10.845264 1.488959  12.461150 1.535345   6  
   3  4   14   2   0    7      2     14.493551 1.416381  16.426022 0.940804  17.492199 2.501565   6  
   4  2   14   2   1    5      2     20.490854 2.349874  23.356230 1.174835  24.655654 1.335441   6  
   5  2   14   2   1    2      3     26.504817 1.999367  29.020329 1.722319  30.869493 1.135487   6  
   6  3   14   2   0    6      2     32.502104 1.783522  34.801070 1.552909  36.466984 1.535347   6  
   7  3   14   2   0    6      2     38.499381 1.899401  40.914954 0.993995  42.031147 1.968398   6  
   8  2   14   2   1    5      6     44.496695 2.216688  47.228787 0.916529  48.261657 1.735256   6  
   9  3   14   2   0    6      2     50.493965 1.732913  52.742952 0.851478  53.709187 2.284917   6  
  10  2   14   1   0    6      5     56.491271 1.583609  58.590325 0.865029  59.573220 2.418276   6  
  11  4   14  -1   0    7      2     62.488550 0.000000  65.020717 0.706182  65.853699 2.134972   6  
  12  1   14   1   1    3      2     68.502515 2.099722  71.118009 1.148402  72.384094 1.618648   6  
  13  1   14   1   1    2      2     74.499798 2.199152  77.215248 1.558792  78.897809 1.102086   6  
  14  2   14   2   1    7      7     80.497109 1.366965  82.379573 1.021133  83.512418 2.484897   6  
  15  1   14   1   1    6      5     86.494388 1.549544  88.560124 0.391204  89.076558 2.917892   6  
  16  4   14   2   0    6      3     92.508344 1.799895  94.823963 1.020537  95.956794 2.051767   6  
  17  2   14   2   1    7      3     98.505629 1.732874 100.754613 0.378463 101.254386 2.751476   6  
  18  1   14   2   0    5      3    104.502930 2.083381 107.101752 1.078511 108.301114 1.702032   6  
  19  2   14   2   1    6      3    110.516867 1.332941 112.366031 1.195192 113.682108 2.334987   6  
  20  2   14   2   1    5      3    116.514178 1.799934 118.829789 0.508384 119.462844 2.551548   6  
  21  3   14   2   0    6      2    122.511453 1.632884 124.660490 0.758603 125.543420 2.468261   6  
  22  4   14   2   0    5      5    128.508756 1.450287 130.474534 1.103032 131.690656 2.318327   6  
  23  1   14   3   0    6      2    134.506042 1.799274 136.821656 1.136461 138.071101 1.935173   6  
  24  3   14   2   0    5      2    140.503341 1.833468 142.852284 0.560970 143.535312 2.468302   6  
  25  3   14   1   0    6      2    146.500630 1.699473 148.716290 0.266273 149.099456 2.901405   6  
  26  1   14   1   1    4      2    152.497932 2.199631 155.213362 1.032129 156.362809 1.635339   6  
  27  3   14   3   1    6      2    158.511866 1.599646 160.627575 0.874407 161.627130 2.384967   6  
  28  2   14   2   1    5      7    164.509184 1.683099 166.708063 1.200125 168.024246 1.985159   6  
  29  1   14   1   1    7      7    170.506457 1.333057 172.355613 0.861793 173.338504 2.668183   6  
  30  4   14   2   0    8      7    176.503760 1.133610 178.153012 0.934728 179.202539 2.801437   6  
  31  2   14   2   1    7      7    182.501034 0.783283 183.800457 1.223617 185.149849 2.851415   6  
  32  4   14   2   0    8      7    188.498331 0.583298 189.597837 0.527388 190.247538 3.751029   6  
  33  3   14   3   1    7      5    194.495613 1.366363 196.378103 0.869385 197.360998 2.634852   6  
  34  1   14   1   1    7      7    200.509582 1.749718 202.775234 0.449250 203.341643 2.668178   6  
  35  3   14   2   0    7      2    206.506864 1.216381 208.239416 0.780453 209.139016 2.868080   6  
  36  4   14   4   1    6      1    212.504176 1.949894 214.969731 1.265708 216.352443 1.651951   6  
  37  1   14   2   0    5      7    218.501446 1.899317 220.917026 1.295769 222.333059 1.668629   6  
  38  3   14   2   0    7      5    224.498745 1.216760 226.231373 0.658856 227.014289 2.984702   6  
  39  1   14   2   0   -1      5    230.496044 0.966567 231.978706 0.000000 233.977786 2.018481   6  
  40  3   14   4   0    8      5    236.493338 1.600223 238.609102 0.612668 239.342046 2.651513   6  
  41  1   14   1   1    6      5    242.507280 1.932675 244.956177 1.026865 246.105675 1.901838   6  
  42  1   14   3   0    4      1    248.504597 1.983382 251.003461 1.159786 252.286216 1.718596   6  
  43  2   14   2   1    2      5    254.501862 2.016083 257.034055 0.926544 258.083587 1.918471   6  
  44  3   14   2   0    5      5    260.499166 1.383606 262.398321 1.182461 263.697727 2.301664   6  
  45  4   14  -1   0    1      4    266.496478 2.499177 269.011999 1.141474 270.278083 1.718538   6  
  46  3   14   4   0    4      1    272.493754 1.699451 274.709306 0.791890 275.625679 2.368301   6  
  47  4   14   4   1    7      1    278.491050 1.932715 280.939954 0.766512 281.822857 2.168326   6  
  48  4   14   4   1    6      1    284.488343 1.666803 286.670647 0.330298 287.120471 2.868095   6  
  49  4   14   4   1    6      2    290.502278 1.766215 292.784580 0.586601 293.484267 2.518132   6  
  50  4   14   4   1    2      2    296.499580 2.399958 299.414938 0.958255 300.497777 1.501910   6  
  51  3   14   4   0    1      2    302.496855 1.699478 304.712526 0.800199 305.628806 2.368163   6  
  52  1   14   2   0    2      2    308.494177 2.383200 311.392854 0.624876 312.142522 1.851854   6  
  53  2   14   4   0    3      2    314.491458 2.099211 317.106933 0.806094 318.039844 1.951673   6  
  54  4   14   2   0    7      7    320.488745 1.383640 322.387893 0.943785 323.454075 2.534892   6  
  55  4   14   2   0    7      5    326.502703 1.916151 328.934932 0.992644 330.051105 1.951817   6  
  56  1   14   2   0    6      2    332.516662 1.283695 334.315837 0.476584 334.915581 3.101293   6  
  57  2   14   2   1    7      5    338.513938 1.482981 340.513028 0.824714 341.462606 2.551556   6  
  58  4   14   3   0    7      2    344.511256 1.383698 346.410386 0.984984 347.509894 2.501579   6  
  59  2   14   2   1    3      2    350.508527 2.016095 353.040713 0.728286 353.890334 2.118420   6  
  60  1   14   2   0    4      2    356.505829 2.133289 359.154627 1.060908 360.337432 1.668612   6  
]; % This session completes at 28-May-2019 12:38:07, 364.005s after session start, 360s on 60 trials, totally 378.024s.

