%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at zhaoyue (       48.0000000000).1-Jun-2019 12:48:427.375775e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   10   2   1    3      3      2.498859 1.700716   4.714529 0.961395   5.797379 2.201704   6  
   2  4   10   2   0    5      4      8.496148 1.833152  10.845076 0.001541  10.978352 3.017966   6  
   3  1   10   1   1    5      7     14.493436 0.966711  15.976091 0.502197  16.609134 3.384436   6  
   4  2   10   2   1   -1      5     20.490715 1.316468  22.339867 0.000000  24.338887 1.651922   6  
   5  1   10   3   0   -1      4     26.487986 1.416441  28.420440 0.000000  30.419478 1.568568   6  
   6  1   10   1   1    1      6     32.501933 0.949933  33.967928 0.218473  34.317779 3.684379   6  
   7  3   10   3   1    2      7     38.515860 1.033342  40.065160 0.001347  40.198452 3.817646   6  
   8  3   10   3   1    3      4     44.513140 1.233200  46.262352 1.024636  47.411832 2.601545   6  
   9  4   10   3   0    2      4     50.510435 1.183214  52.209642 0.462450  52.809372 3.201277   6  
  10  3   10   1   0    1      3     56.507704 1.966218  58.989921 0.396082  59.523009 2.484939   6  
  11  4   10   3   0    2      4     62.504986 1.899548  64.920558 0.136208  65.170449 2.834863   6  
  12  1   10   3   0    1      2     68.502271 2.399407  71.417652 0.262148  71.817502 2.185000   6  
  13  3   10   1   0    1      1     74.499556 2.399414  77.414869 0.069266  77.598147 2.401687   6  
  14  2   10  -1   0    2      3     80.496832 0.000000  83.012367 0.220787  83.362204 2.634816   6  
  15  4   10   2   0    3      3     86.494104 1.599880  88.609891 0.260611  89.009636 2.984634   6  
  16  2   10   3   0    3      3     92.491395 1.249927  94.257253 0.448700  94.840329 3.151176   6  
  17  3   10   3   1    2      4     98.488673 1.849623 100.854260 0.380595 101.370695 2.618056   6  
  18  2   10   3   0    1      2    104.502612 2.282655 107.301357 0.001135 107.434626 2.568325   6  
  19  2   10   2   1   -1      5    110.499898 1.033170 112.049193 0.000000 114.081695 1.918433   6  
  20  3   10   3   1    5      3    116.513833 1.633059 118.662866 0.820226 119.612443 2.401619   6  
  21  3   10   1   0    5      4    122.511178 1.333060 124.360279 0.118553 124.610161 3.401284   6  
  22  1   10   2   0    3      3    128.508387 1.999459 131.023924 0.311227 131.457142 2.551489   6  
  23  3   10   3   1    5      4    134.505745 1.483090 136.504784 0.228751 136.854602 3.151305   6  
  24  1   10   1   1    1      3    140.502968 1.866452 142.885188 0.079174 143.085126 2.918062   6  
  25  3   10   2   0    3      4    146.500228 1.516418 148.532655 0.124888 148.782546 3.217926   6  
  26  1   10   1   1    3      4    152.497513 1.633049 154.646553 0.620451 155.396212 2.601496   6  
  27  3   10   2   0    1      1    158.494801 2.249361 161.260216 0.001426 161.410146 2.584819   6  
  28  1   10   2   0    5      5    164.492088 1.266475 166.274613 0.580696 166.990941 3.001264   6  
  29  2   10   2   1    3      4    170.489358 1.783077 172.788313 0.538454 173.454757 2.534691   6  
  30  2   10   1   0    1      1    176.503296 2.266203 179.285380 0.122925 179.535260 2.468271   6  
  31  4   10   4   1    5      5    182.500647 1.216475 184.233123 0.505076 184.866247 3.134571   6  
  32  1   10   2   0    5      4    188.514523 1.499745 190.530286 0.957214 191.613113 2.401645   6  
  33  2   10   2   1    5      4    194.511907 1.349717 196.377619 0.523354 197.027296 2.984840   6  
  34  2   10   2   1    5      4    200.509150 1.399614 202.424880 0.461142 203.024612 2.984704   6  
  35  1   10   2   0    3      3    206.506430 1.566421 208.588753 0.631954 209.355085 2.651521   6  
  36  1   10   3   0    3      4    212.503650 1.649720 214.669336 0.530788 215.335704 2.668185   6  
  37  4   10   1   0    4      4    218.500924 1.233252 220.250202 0.317850 220.699947 3.301282   6  
  38  4   10   4   1    4      6    224.498209 1.083298 226.097474 0.348536 226.580595 3.417822   6  
  39  3   10   3   1    2      4    230.495485 1.083400 232.094764 0.806018 233.027684 2.967957   6  
  40  4   10   4   1    3      5    236.492835 1.033294 238.042069 0.294302 238.458543 3.534349   6  
  41  1   10   3   0    4      4    242.490064 1.266497 244.272579 0.465637 244.872364 3.117829   6  
  42  4   10   1   0    4      3    248.487336 1.299847 250.303176 0.535932 250.969552 3.017832   6  
  43  1   10   3   0    3      3    254.501278 1.183044 256.200508 0.142730 256.467053 3.534455   6  
  44  4   10   1   0    4      5    260.515219 1.166502 262.197787 0.079979 262.397691 3.617753   6  
  45  2   10   2   1    3      4    266.512488 1.466367 268.494999 0.204966 268.828106 3.184627   6  
  46  3   10   1   0    4      4    272.509786 0.900155 273.925886 0.492593 274.558854 3.451146   6  
  47  3   10   3   1   -1      3    278.507058 1.982753 281.005918 0.000000 283.005006 1.002284   6  
  48  4   10   1   0    4      5    284.504329 1.433191 286.453452 0.332160 286.919914 3.084656   6  
  49  4   10   2   0    1      2    290.501607 2.216307 293.233716 0.001337 293.366974 2.634871   6  
  50  3   10   3   1    3      3    296.498903 1.633122 298.647925 0.556314 299.330963 2.668135   6  
  51  2   10   2   1    2      4    302.496188 1.033240 304.045469 0.792041 304.978396 3.017951   6  
  52  3   10   3   1    1      2    308.493457 2.432694 311.442119 0.132876 311.708737 2.284862   6  
  53  1   10   2   0    3      4    314.490745 1.566545 316.573144 0.436720 317.139549 2.851297   6  
  54  4   10   2   0    1      2    320.488027 2.099640 323.103501 0.522994 323.753210 2.234864   6  
  55  4   10   1   0    1      3    326.501968 1.649701 328.667614 1.173816 329.967133 2.035068   6  
  56  4   10   3   0    2      3    332.499242 1.849429 334.864913 0.171677 335.164759 2.834813   6  
  57  2   10   3   0    1      3    338.513235 1.499697 340.528939 0.907673 341.561874 2.451631   6  
  58  2   10   1   0   -1      1    344.510529 2.415882 347.442462 0.000000 349.458188 0.552613   6  
  59  4   10   3   0    1      2    350.507739 2.299348 353.323140 0.137226 353.589748 2.418319   6  
  60  3   10   2   0    2      3    356.505022 2.032885 359.053866 0.909054 360.103394 1.901965   6  
  61  2   10  -1   0    2      2    362.502314 0.000000 365.017836 0.902503 366.050699 1.951841   6  
  62  2   10   3   0    2      2    368.499591 1.582984 370.598637 0.523838 371.248346 2.751468   6  
  63  1   10   1   1    3      3    374.496861 1.466453 376.479320 1.016084 377.628785 2.368256   6  
  64  2   10   2   1    2      3    380.494146 1.499828 382.509895 1.093737 383.742686 2.251607   6  
  65  4   10   3   0    2      3    386.491442 1.116608 388.124033 0.638729 388.890348 3.101180   6  
  66  2   10   3   0    2      3    392.488718 1.299809 394.304551 1.058195 395.487357 2.501412   6  
  67  3   10   3   1    3      3    398.502647 1.066630 400.085255 0.147204 400.351817 3.651073   6  
  68  2   10   2   1    2      3    404.499926 1.699653 406.715587 0.333940 407.165398 2.834762   6  
  69  2   10   2   1    2      4    410.513864 1.833007 412.862818 0.526558 413.512516 2.501619   6  
  70  4   10   3   0    3      4    416.511159 1.783046 418.810100 0.431722 419.376524 2.634875   6  
  71  1   10   3   0    1      3    422.508444 1.899503 424.924017 0.360032 425.407129 2.601537   6  
  72  1   10   4   0    4      5    428.505710 1.483088 430.504818 1.113445 431.737587 2.268445   6  
  73  4   10   4   1    3      4    434.503007 1.299805 436.318853 0.554617 437.001872 3.001364   6  
