%% MetaTwins_RDMsc_training for 'zhaoyue': starting at _feedback (       48.0000000000).1-Jun-2019 11:55:07 for '7.375775e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  27  4    4   1    0    3    2.499288   0    0  2.216851   4.848233 1.567228   6.547441 0.999574   7.547015   8.546561 1.452959   8  
   2  27  1    1   1    0    8   10.495675   0    0  0.834031  11.461860 0.164733  11.761823 0.999475  12.761299  13.760857 1.235000   5  
   3  24  3    4   0    0    8   15.493405   0    0  1.633788  17.259273 0.279863  17.659070 0.999559  18.658629  19.658181 1.335391   6  
   4  24  4    4   1    0    6   21.490686   0    0  1.900425  23.523103 1.151947  24.805914 0.999474  25.805388  26.804947 1.185892   7  
   5  24  2    3   0    0    1   28.487520   0    0  2.317533  30.936321 1.284234  32.352442 0.999536  33.351978  34.351517 0.636117   7  
   6  24  1    1   1    0    8   35.500997   0    0  1.250437  36.883707 0.220360  37.233539 0.999540  38.233078  39.232645 0.768430   5  
   7  24  2    4   0    0    7   40.498736   0    0  1.533887  42.181313 1.037686  43.347433 0.999619  44.347052  45.346543 0.652246   6  
   8  24  1    1   1    0    8   46.512672   0    0  1.050646  47.745448 0.179868  48.045299 0.999633  49.044932  50.044394 0.968507   5  
   9  24  3    2   0    0    6   51.510402   0    0  2.383481  54.059153 0.214505  54.409090 0.999530  55.408620  56.408190 0.602458   6  
  10  24  3   -1   0    0    1   57.507694   0    0  0.000000  60.023227 0.024880  60.173151 0.999545  61.172696  62.172228 0.835684   6  
  11  24  2    3   0    0    6   63.504963   0    0  1.983623  65.653844 0.252529  66.037140 0.999544  67.036684  68.036246 0.968948   6  
  12  27  4   -1   0    0    4   69.502244   0    0  0.000000  72.017790 0.413339  72.550864 0.999555  73.550419  74.549971 1.452510   7  
  13  27  3    4   0    0    5   76.499068   0    0  1.500581  78.148339 0.164541  78.431548 0.999534  79.431082  80.430627 0.568677   5  
  14  27  4    4   1    0    7   81.496800   0    0  1.717090  83.329152 1.218201  84.678699 0.999561  85.678260  86.677799 1.319236   7  
  15  27  3   -1   0    0    4   88.510304   0    0  0.000000  91.025841 0.200012  91.342345 0.999542  92.341887  93.341447 0.669079   6  
  16  27  2   -1   0    0    2   94.507568   0    0  0.000000  97.023115 0.064741  97.206364 0.999528  98.205893  99.205437 0.802366   6  
  17  27  2    2   1    0    7  100.504848   0    0  1.850565 102.570594 0.944412 103.636776 0.999543 104.636319 105.635853 1.369240   7  
  18  24  1    1   1    0    7  107.501686   0    0  1.583784 109.300883 0.449993 109.867282 0.999555 110.866837 111.866377 1.135521   6  
  19  24  2   -1   0    0    6  113.498973   0    0  0.000000 116.231055 1.418801 117.780361 0.999543 118.779904 119.779454 1.219705   8  
  20  24  4    3   0    0    5  121.495336   0    0  1.450637 123.077962 1.442825 124.643915 0.999537 125.643452 126.643019 1.352484   7  
  21  24  1    1   1    0    8  128.492166   0    0  1.167386 129.858230 0.252675 130.241385 0.999532 131.240917 132.240470 0.751827   5  
  22  24  3    1   0    0    8  133.489903   0    0  2.233388 135.922139 0.282373 136.321954 0.999547 137.321501 138.321038 0.668957   6  
  23  24  2    1   0    0    6  139.487193   0    0  2.500213 142.152640 0.213217 142.485825 0.999540 143.485365 144.484910 0.502348   6  
  24  27  3    1   0    0    1  145.517785   0    0  2.166921 147.849948 0.346053 148.316513 0.999558 149.316071 150.315608 0.702413   6  
  25  27  4    3   0    0    6  151.515067   0    0  2.233602 153.930641 0.291324 154.347123 0.999529 155.346652 156.346217 0.669077   6  
  26  30  3    1   0    0    8  157.512344   0    0  1.300588 158.961699 0.179487 159.261554 0.999550 160.261105 161.260661 0.751922   5  
  27  30  1    1   1    0    8  162.510076   0    0  0.950779 163.592884 0.341541 164.059386 0.999526 165.058912 166.058475 0.951840   5  
  28  30  2   -1   0    0    2  167.507824   0    0  0.000000 170.023348 0.161905 170.306547 0.999535 171.306081 172.305642 0.702398   6  
  29  30  2    2   1    0    8  173.505097   0    0  2.300193 176.003968 0.195834 176.320485 0.999543 177.320028 178.319585 0.685742   6  
  30  27  4    4   1    0    8  179.502363   0    0  2.283487 181.934571 0.572114 182.634303 0.999534 183.633837 184.633385 1.369212   7  
  31  27  1    1   1    0    7  186.499209   0    0  1.783764 188.448329 0.384456 188.948095 0.999530 189.947624 190.947183 1.052253   6  
  32  24  2   -1   0    0    2  192.496473   0    0  0.000000 195.012012 0.232790 195.378507 0.999541 196.378048 197.377596 0.619122   6  
  33  24  1    1   1    0    8  198.493762   0    0  0.733991 199.360042 0.708425 200.193003 0.999543 201.192545 202.192080 0.801915   5  
  34  24  4    4   1    0    5  203.508161   0    0  2.067103 205.707166 1.582321 207.423055 0.999539 208.422594 209.422141 0.586247   7  
  35  21  1    1   1    0    7  210.504987   0    0  1.650386 212.287508 0.503997 212.920557 0.999546 213.920103 214.919640 1.085553   6  
  36  21  1    3   0    0    8  216.502267   0    0  2.033620 218.701280 0.249329 219.067781 0.999526 220.067308 221.066853 0.935606   6  
  37  21  1    1   1    0    8  222.499548   0    0  1.583780 224.248581 1.226900 225.598141 0.999547 226.597688 227.597242 1.402462   7  
  38  21  1    1   1    0    5  229.496368   0    0  2.416769 232.111758 0.853194 233.094746 0.999543 234.094289 235.093831 0.902680   7  
  39  18  4    4   1    0    3  236.493200   0    0  2.466757 239.142010 0.678731 239.941641 0.999542 240.941184 241.940722 1.052583   7  
  40  18  4    4   1    0    5  243.490032   0    0  2.483437 246.205449 1.140090 247.471565 0.999546 248.471111 249.470661 0.519433   7  
  41  16  1    1   1    0    7  250.503498   0    0  1.817059 252.485820 0.604344 253.218954 0.999544 254.218498 255.218048 0.785692   6  
  42  16  4    4   1    0    6  256.500805   0    0  2.083517 258.733122 0.144313 258.999660 0.999546 259.999206 260.998757 1.002278   6  
  43  14  3    3   1    0    6  262.514751   0    0  2.066887 264.730492 0.245526 265.096899 0.999555 266.096455 267.095991 0.918973   6  
  44  14  4    4   1    0    5  268.512022   0    0  1.567032 270.211097 0.217883 270.561093 0.999543 271.560635 272.560178 1.452064   6  
  45  13  3    4   0    0    7  274.509300   0    0  2.350134 276.991512 0.048053 277.158107 0.999532 278.157639 279.157198 0.852335   6  
  46  13  3    4   0    0    5  280.506575   0    0  1.617082 282.255792 0.440317 282.822204 0.999541 283.821745 284.821281 1.185525   6  
  47  14  2    3   0    0    6  286.503864   0    0  1.500514 288.186298 0.103981 288.419666 0.999538 289.419205 290.418764 0.585329   5  
  48  14  3    3   1    0    3  291.501591   0    0  2.200180 293.867197 0.151098 294.133740 0.999530 295.133270 296.132904 0.868932   6  
  49  14  2   -1   0    0    1  297.498880   0    0  0.000000 300.014427 0.335599 300.480863 0.999535 301.480398 302.479952 0.519152   6  
  50  14  3    3   1    0    3  303.496161   0    0  1.766977 305.378479 0.219474 305.728481 0.999549 306.728031 307.727568 1.268820   6  
  51  13  4    3   0    0    3  309.493430   0    0  1.317275 310.959256 0.239363 311.325949 0.999534 312.325483 313.325033 0.668631   5  
  52  13  2    2   1    0    2  314.491168   0    0  2.250288 316.923417 0.614935 317.673066 0.999528 318.672594 319.672158 1.319225   7  
  53  13  2    3   0    0    3  321.504653   0    0  2.416734 324.070167 0.173879 324.370024 0.999550 325.369574 326.369115 0.635711   6  
  54  13  1    2   0    0    2  327.501945   0    0  1.683806 329.351107 0.234263 329.700945 0.999538 330.700484 331.700035 1.302049   6  
  55  14  3    2   0    0    2  333.499226   0    0  2.416050 336.081330 0.216698 336.414578 0.999537 337.414115 338.413660 0.585688   6  
  56  14  4    3   0    0    3  339.496518   0    0  2.017012 341.645522 0.270486 342.045345 0.999554 343.044899 344.044437 0.952167   6  
  57  15  1    2   0    0    6  345.493793   0    0  1.150715 346.809864 1.284353 348.225880 0.999544 349.225424 350.224980 0.768855   6  
  58  15  2    2   1    0    6  351.507722   0    0  2.433284 354.089877 0.052142 354.273142 0.999544 355.272686 356.272233 0.735716   6  
  59  15  3    3   1    0    3  357.505011   0    0  1.983364 359.620723 0.798988 360.553630 0.999547 361.553177 362.552723 1.452509   7  
  60  14  4    2   0    0    6  364.501836   0    0  1.883512 366.550781 0.388994 367.067333 0.999555 368.066888 369.066430 0.935642   6  
]; % This session completes at 01-Jun-2019 12:01:35, 372.007s after session start, 368s on 60 trials, totally 388.328s, correctness is 48.333%.

