%% MetaTwins_RDMsc_training for 'zhaoyue': starting at _nofeedback (       48.0000000000).1-Jun-2019 12:09:56 for '7.375775e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  18  2   -1   0    0    4    2.498904   0    0  0.000000   5.014447 0.133829   5.280966  0   0    5.280966 0.718166   4  
   2  18  4    4   1    0    5    6.497090   0    0  1.483954   8.129588 1.661296   9.928866  0   0    9.928866 1.068441   5  
   3  18  3    1   0    0    8   11.494893   0    0  1.550528  13.210618 0.260451  13.610539  0   0   13.610539 1.384502   4  
   4  18  3    4   0    0    5   15.493016   0    0  2.167149  17.825227 0.165694  18.125141  0   0   18.125141 0.868067   4  
   5  20  2   -1   0    0    1   19.491247   0    0  0.000000  22.006732 0.091085  22.223301  0   0   22.223301 0.768166   4  
   6  20  3    1   0    0    5   23.506048   0    0  1.400427  25.055348 0.845597  26.021569  0   0   26.021569 0.984667   4  
   7  20  3    1   0    0    1   27.504230   0    0  1.317353  28.986869 0.993636  30.119709  0   0   30.119709 0.884703   4  
   8  22  4    4   1    0    7   31.502409   0    0  1.634224  33.301603 0.049556  33.484859  0   0   33.484859 0.517740   3  
   9  22  1    1   1    0    7   34.501065   0    0  1.883496  36.583456 0.163145  36.883320  0   0   36.883320 1.117902   4  
  10  19  1    1   1    0    8   38.499238   0    0  1.650519  40.331756 0.190924  40.648335  0   0   40.648335 1.351073   4  
  11  19  3   -1   0    0    2   42.497438   0    0  0.000000  45.012964 0.115296  45.262845  0   0   45.262845 0.734801   4  
  12  19  1    1   1    0    7   46.495618   0    0  1.883662  48.528037 0.448537  49.111111  0   0   49.111111 0.884672   4  
  13  17  2    1   0    0    8   50.493810   0    0  2.416685  53.092726 0.151870  53.375836  0   0   53.375836 0.618106   4  
  14  17  1    1   1    0    7   54.491998   0    0  1.284019  55.924686 0.492673  56.541079  0   0   56.541079 1.451050   4  
  15  17  2    4   0    0    4   58.490188   0    0  1.850411  60.539262 0.078267  60.739169  0   0   60.739169 1.251135   4  
  16  17  2    1   0    0    8   62.488448   0    0  2.317247  64.953925 0.141667  65.220480  0   0   65.220480 0.768012   4  
  17  19  3    4   0    0    3   66.503222   0    0  2.466766  69.185349 0.193345  69.518511  0   0   69.518511 1.484879   5  
  18  19  1    1   1    0    7   71.500962   0    0  1.800457  73.433419 0.335572  73.899866  0   0   73.899866 1.101170   4  
  19  19  2    1   0    0    7   75.499130   0    0  1.567156  77.231550 0.452310  77.814828  0   0   77.814828 1.184466   4  
  20  19  2    3   0    0    3   79.497358   0    0  2.350130  82.012678 0.166339  82.312712  0   0   82.312712 0.684703   4  
  21  21  3    1   0    0    7   83.495525   0    0  1.600541  85.244657 0.547653  85.927737  0   0   85.927737 1.067844   4  
  22  21  3    1   0    0    5   87.493710   0    0  2.033576  89.709372 1.139153  90.975455  0   0   90.975455 1.018314   5  
  23  24  1    1   1    0    7   92.491445   0    0  1.767563  94.407327 0.984882  95.523397  0   0   95.523397 1.468102   5  
  24  24  2   -1   0    0    2   97.505827   0    0  0.000000 100.021368 0.350767 100.504464  0   0  100.504464 0.501599   4  
  25  24  2    2   1    0    7  101.504017   0    0  1.117437 102.820185 0.194214 103.136600  0   0  103.136600 0.867638   3  
  26  21  3    3   1    0    7  104.502661   0    0  2.000068 106.651684 0.433676 107.201420  0   0  107.201420 0.801567   4  
  27  21  2    2   1    0    8  108.500851   0    0  1.217171 109.950278 0.254119 110.333345  0   0  110.333345 0.667731   3  
  28  18  1    1   1    0    7  111.516205   0    0  1.367181 113.032127 0.510069 113.681816  0   0  113.681816 1.334662   4  
  29  18  3   -1   0    0    1  115.514400   0    0  0.000000 118.029863 0.158388 118.313063  0   0  118.313063 0.701489   4  
  30  18  1    1   1    0   -1  119.512516   0    0  1.767201 121.461605 0.000000 123.460740  0   0  123.460740 0.552014   5  
  31  18  3    1   0    0    7  124.510260   0    0  1.500422 126.142847 0.773598 127.042439  0   0  127.042439 0.968038   4  
  32  18  1    1   1    0    1  128.508436   0    0  1.050342 129.724564 0.252488 130.107721  0   0  130.107721 0.900952   3  
  33  18  2    2   1    0    8  131.507131   0    0  1.067308 132.756524 0.081340 132.973081  0   0  132.973081 1.034224   3  
  34  16  4    3   0    0    4  134.505768   0    0  1.950363 136.621434 1.274129 138.020811  0   0  138.020811 0.985149   5  
  35  16  4    4   1    0    5  139.503462   0    0  1.766952 141.419227 1.076984 142.618722  0   0  142.618722 1.384959   5  
  36  16  2    2   1    0    7  144.501191   0    0  1.517450 146.200431 0.220763 146.550253  0   0  146.550253 1.451162   4  
  37  14  2   -1   0    0    2  148.499383   0    0  0.000000 151.014918 0.400387 151.547952  0   0  151.547952 1.451661   5  
  38  14  4    2   0    0    7  153.513768   0    0  1.217252 154.946330 0.413769 155.496208  0   0  155.496208 0.517803   3  
  39  14  1    1   1    0    3  156.512410   0    0  1.983580 158.678099 0.773456 159.577696  0   0  159.577696 1.434938   5  
  40  14  3    2   0    0    7  161.510148   0    0  1.667015 163.375978 1.022877 164.525452  0   0  164.525452 1.485015   5  
  41  14  4    1   0    0    1  166.507879   0    0  1.833377 168.473652 0.667889 169.273293  0   0  169.273293 0.734814   4  
  42  15  4    2   0    0    2  170.506129   0    0  1.317408 172.055363 0.323417 172.505150  0   0  172.505150 0.501140   3  
  43  15  4    4   1    0    8  173.504704   0    0  1.400564 175.087410 0.170208 175.387199  0   0  175.387199 0.617748   3  
  44  15  4    4   1    0    2  176.503341   0    0  2.150263 178.818979 0.716588 179.652007  0   0  179.652007 1.351570   5  
  45  14  1    1   1    0    8  181.501077   0    0  1.783856 183.466864 1.048648 184.649663  0   0  184.649663 1.351650   5  
  46  14  4    4   1    0    7  186.498812   0    0  1.533591 188.214610 0.371629 188.714477  0   0  188.714477 1.284672   4  
  47  13  3    1   0    0    6  190.496998   0    0  2.416744 193.079172 0.517684 193.728873  0   0  193.728873 1.268365   5  
  48  13  1    1   1    0    7  195.511403   0    0  1.500484 197.194064 0.136387 197.460505  0   0  197.460505 0.551118   3  
  49  13  1    1   1    0    3  198.510032   0    0  2.416815 201.125430 0.787922 202.041764  0   0  202.041764 0.968506   5  
  50  12  4    1   0    0    3  203.507755   0    0  2.300177 205.973175 0.698394 206.806267  0   0  206.806267 1.201831   5  
  51  12  4   -1   0    0    2  208.505497   0    0  0.000000 211.021038 0.067254 211.220931  0   0  211.220931 0.784809   4  
  52  12  4    1   0    0    4  212.503699   0    0  1.484358 214.152927 0.524645 214.819301  0   0  214.819301 1.184726   4  
  53  13  3    1   0    0    8  216.501877   0    0  1.900130 218.567623 0.290843 218.984086  0   0  218.984086 1.018026   4  
  54  13  4    4   1    0    8  220.500059   0    0  1.567056 222.265937 0.044075 222.449191  0   0  222.449191 0.551211   3  
  55  13  2    1   0    0    3  223.498697   0    0  1.783759 225.464489 0.266746 225.847655  0   0  225.847655 1.151284   4  
  56  13  1   -1   0    0    1  227.496894   0    0  0.000000 230.012428 0.165055 230.295633  0   0  230.295633 0.701494   4  
  57  13  2    1   0    0    1  231.495077   0    0  1.166540 232.844339 0.543739 233.510834  0   0  233.510834 1.484477   4  
  58  14  3    1   0    0    2  235.493263   0    0  2.150274 237.825541 0.518755 238.458588  0   0  238.458588 0.534919   4  
  59  14  1    1   1    0    4  239.508118   0    0  1.400261 241.074054 0.562830 241.757101  0   0  241.757101 1.251248   4  
  60  14  4   -1   0    0    2  243.506305   0    0  0.000000 246.021840 0.579951 246.721509  0   0  246.721509 1.285030   5  
]; % This session completes at 01-Jun-2019 12:15:39, 250.004s after session start, 246s on 60 trials, totally 342.58s, correctness is 43.333%.

