%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at linxiaojia (       48.0000000000).1-Jun-2019 12:49:107.375775e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   9    1   0    2    2.498884 1.433488   4.098164 0.569447   4.781177 3.217925   6  
   2  1   9    2   0    2    8.496176 2.350723  11.061692 0.588895  11.778030 2.218381   6  
   3  2   9    4   0    6   14.493449 1.749898  16.425938 0.843175  17.392149 2.601526   6  
   4  1   9    3   0    5   20.490761 1.550897  22.206650 1.223180  23.556039 2.434948   6  
   5  2   9    2   1    6   26.504699 2.083229  28.737018 0.535466  29.386737 2.618180   6  
   6  4   9    4   1    4   32.502009 1.817652  34.501101 1.033247  35.650586 2.351618   6  
   7  1   9    2   0    5   38.499289 2.166270  40.831564 1.000781  41.947731 2.051809   6  
   8  2   9    1   0    4   44.496585 1.767989  46.412391 1.458250  47.995011 2.001810   6  
   9  1   9    4   0    5   50.493875 1.616541  52.243033 0.893693  53.259299 2.734746   6  
  10  4   9    4   1    5   56.491177 1.351315  57.990477 0.519935  58.623525 3.367868   6  
  11  3   9    3   1    6   62.505119 1.716430  64.404275 0.658018  65.187245 2.818029   6  
  12  3   9    4   0    2   68.502428 2.433808  71.117900 0.830235  72.067479 1.935033   6  
  13  3   9    1   0    3   74.499703 2.349597  76.998571 1.335181  78.447924 1.551925   6  
  14  1   9    4   0    3   80.497006 1.684632  82.346158 1.264042  83.728838 2.268400   6  
  15  2   9    4   0    5   86.494290 2.366304  89.026401 1.270997  90.425841 1.568578   6  
  16  3   9    1   0    2   92.491588 2.167521  94.807183 0.765002  95.690143 2.301558   6  
  17  4   9    4   1    5   98.488871 1.533209 100.188146 1.388248 101.704094 2.284906   6  
  18  3   9    3   1    3  104.502838 1.483478 106.185409 1.546732 107.851324 2.151625   6  
  19  1   9    1   1    6  110.500115 1.666471 112.315965 0.705514 113.148917 2.851316   6  
  20  4   9    2   0    6  116.497411 2.083910 118.796374 0.789315 119.712643 2.285024   6  
  21  4   9    4   1    5  122.494695 2.099502 124.760315 0.833073 125.709910 2.284897   6  
  22  4   9    3   0    6  128.492007 1.833555 130.507765 1.762693 132.390239 1.601982   6  
  23  2   9    2   1    7  134.489286 1.366699 136.021938 1.003081 137.138090 2.851274   6  
  24  2   9    2   1    6  140.486582 1.917667 142.618961 0.762191 143.501892 2.484901   6  
  25  1   9    1   1    7  146.500536 1.616502 148.266367 0.478504 148.866119 3.134476   6  
  26  2   9    2   1    2  152.497824 2.000751 154.630198 0.986849 155.746367 2.251660   6  
  27  2   9    2   1    4  158.495125 2.032850 160.694141 1.265586 162.076824 1.918364   6  
  28  2   9    4   0    2  164.509015 2.034207 166.758054 1.625522 168.507274 1.502029   6  
  29  4   9    1   0    2  170.506354 1.966401 172.638740 0.854490 173.621625 2.384965   6  
  30  2   9    4   0    3  176.487008 2.200904 178.852570 0.989100 179.968760 2.018415   6  
  31  1   9    1   1    6  182.500949 1.616463 184.266738 1.393115 185.782791 2.218386   6  
  32  3   9   -1   0    4  188.514905 0.000000 191.030441 0.011433 191.163705 2.851425   6  
  33  1   9    2   0    2  194.512185 1.649717 196.344693 0.799500 197.260945 2.751471   6  
  34  2   9    2   1    6  200.509485 2.167059 202.841776 1.273831 204.241137 1.768585   6  
  35  2   9    2   1    1  206.506773 1.749737 208.455909 1.271293 209.855254 2.151744   6  
  36  2   9    2   1    6  212.504081 2.084109 214.786378 1.126760 216.035810 1.968486   6  
  37  1   9    1   1    7  218.501369 1.866122 220.550421 0.716920 221.383386 2.618207   6  
  38  3   9    3   1    6  224.515362 2.150532 226.830933 0.573197 227.530635 2.484898   6  
  39  3   9   -1   0    3  230.512601 0.000000 233.028139 0.184517 233.327999 2.684843   6  
  40  2   9    2   1    7  236.509901 0.984367 237.676037 0.681089 238.475679 3.534456   6  
  41  1   9    1   1    4  242.507182 1.499660 244.189766 0.941726 245.255958 2.751463   6  
  42  3   9    3   1    6  248.504489 2.017898 250.720147 0.654780 251.503130 2.501581   6  
  43  1   9    2   0    7  254.501771 1.849730 256.550858 0.763920 257.433771 2.568232   6  
  44  4   9    4   1    7  260.499067 1.134569 261.781816 0.927539 262.831340 3.167965   6  
  45  2   9    4   0    7  266.513012 1.883009 268.578761 0.521994 269.228474 2.784758   6  
  46  1   9    1   1    7  272.510325 1.184622 273.843052 0.524715 274.492758 3.517792   6  
  47  2   9    3   0    5  278.507602 2.033014 280.706516 0.864347 281.689494 2.318331   6  
  48  4   9    4   1    6  284.504903 1.384424 286.054109 1.137472 287.320303 2.684827   6  
  49  3   9    3   1    6  290.502186 1.649864 292.367904 0.719466 293.200982 2.801434   6  
  50  1   9    1   1    5  296.499494 1.750802 298.415272 0.985148 299.514793 2.484915   6  
  51  3   9    3   1    6  302.496765 1.666492 304.345943 0.773006 305.245518 2.751488   6  
  52  3   9    4   0    6  308.510730 1.884005 310.559793 1.212752 311.892538 2.118422   6  
  53  3   9    4   0    6  314.508017 1.566387 316.223900 0.518135 316.856948 3.151282   6  
  54  3   9    4   0    3  320.505316 1.601039 322.287849 1.579612 323.987082 2.018482   6  
  55  4   9    4   1    6  326.502595 1.882923 328.551618 0.632628 329.301340 2.701493   6  
  56  4   9    4   1    5  332.499894 1.517480 334.182472 0.562442 334.865490 3.134640   6  
  57  1   9    1   1    7  338.497177 1.449981 340.096473 0.690101 340.912752 3.084652   6  
  58  1   9    2   0    6  344.511143 1.466809 346.143750 0.707107 346.976707 3.034659   6  
  59  2   9    4   0    2  350.508424 1.666603 352.340947 0.936395 353.390453 2.618204   6  
  60  3   9    3   1    5  356.505768 1.517738 358.204964 1.104396 359.421077 2.584884   6  
  61  3   9    4   0    6  362.503011 1.816453 364.485458 1.111069 365.718227 2.285016   6  
  62  4   9    4   1    6  368.500318 2.350306 371.015844 1.194988 372.331917 1.668608   6  
  63  4   9    2   0    2  374.497595 1.966456 376.629968 0.668817 377.412951 2.584870   6  
  64  4   9    4   1    6  380.494894 1.501106 382.160799 0.653295 382.927151 3.067976   6  
  65  3   9    3   1    6  386.508840 1.849609 388.524606 0.591222 389.240942 2.768135   6  
  66  4   9    4   1    6  392.506142 2.250804 394.921722 0.639580 395.688036 2.318323   6  
  67  1   9    1   1    5  398.503419 1.799871 400.485815 1.039368 401.651995 2.351660   6  
  68  2   9    2   1    2  404.500709 2.350393 407.066232 0.751380 407.932518 2.068403   6  
  69  2   9    2   1    5  410.498000 1.899689 412.597039 0.828709 413.546639 2.451607   6  
  70  1   9    3   0    4  416.495318 1.916801 418.627662 1.028262 419.777172 2.218359   6  
  71  1   9    1   1    6  422.492596 1.916350 424.574995 0.614804 425.307994 2.684831   6  
  72  4   9    4   1    6  428.506523 1.900574 430.588775 0.995782 431.705100 2.301654   6  
