%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at linxiaojia (       48.0000000000).1-Jun-2019 13:08:407.375775e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   9    4   1    6    2.498821 1.284659   3.948203 0.449402   4.514434 3.484630   6  
   2  2   9    2   1    6    8.496146 1.632879  10.328449 0.544835  10.995027 3.001329   6  
   3  3   9    2   0    2   14.493274 2.150796  16.758917 0.952897  17.825214 2.168291   6  
   4  1   9    3   0    5   20.507387 2.049315  22.739522 0.546950  23.406077 2.601535   6  
   5  2   9    2   1    2   26.504678 1.834343  28.503751 0.673177  29.303425 2.701476   6  
   6  2   9    2   1    5   32.501953 1.849806  34.517729 1.484691  36.117000 1.885191   6  
   7  4   9    4   1    6   38.499271 1.667678  40.331772 0.652866  41.098093 2.901401   6  
   8  2   9    2   1    7   44.496544 1.783032  46.429009 0.439789  46.995442 3.001323   6  
   9  1   9    1   1    6   50.493851 2.034054  52.692856 0.565310  53.375880 2.618192   6  
  10  4   9    2   0    2   56.507787 2.199585  58.856730 0.542819  59.523094 2.484931   6  
  11  2   9    3   0    2   62.505081 1.800780  64.487521 0.913784  65.520394 2.484933   6  
  12  3   9    3   1    6   68.502370 1.883120  70.568123 0.463566  71.151173 2.851431   6  
  13  2   9    2   1    6   74.499671 1.950770  76.598733 0.520360  77.231764 2.768136   6  
  14  2   9    2   1    6   80.496964 2.132767  82.812592 0.576079  83.512263 2.484927   6  
  15  1   9    1   1    3   86.494263 2.100119  88.743254 1.136791  89.992676 2.001821   6  
  16  4   9    3   0    2   92.508203 2.116264  94.807178 0.666116  95.590147 2.418286   6  
  17  3   9    3   1    6   98.505559 2.433820 101.120881 0.812269 102.053896 1.951831   6  
  18  3   9    2   0    2  104.502792 2.249390 106.951688 0.569736 107.634715 2.368303   6  
  19  2   9    1   0    6  110.500087 1.984336 112.632466 0.715699 113.465424 2.534895   6  
  20  4   9    3   0    2  116.497385 1.817062 118.529803 1.714740 120.362299 1.635298   6  
  21  2   9    2   1    6  122.494684 1.617379 124.277206 0.401067 124.793583 3.201326   6  
  22  2   9    2   1    6  128.508614 2.032957 130.724292 0.544102 131.390676 2.618179   6  
  23  1   9    1   1    6  134.505916 1.717328 136.388396 0.852002 137.354636 2.651455   6  
  24  4   9    4   1    6  140.503207 1.516622 142.169076 0.477883 142.768848 3.234590   6  
  25  4   9    1   0    2  146.500504 2.217269 148.882754 1.151227 150.148847 1.851879   6  
  26  3   9    3   1    6  152.497791 1.333332 154.013588 0.598911 154.730120 3.267896   6  
  27  1   9    4   0    6  158.495096 1.667639 160.327595 0.372991 160.827366 3.167939   6  
  28  4   9    3   0    6  164.492374 1.399875 166.075009 0.444948 166.641395 3.351209   6  
  29  3   9    2   0    2  170.506338 2.017275 172.705335 1.028682 173.854821 2.151727   6  
  30  1   9    1   1    7  176.503622 1.533024 178.186200 0.695908 179.002480 3.001384   6  
  31  2   9    2   1    6  182.500918 1.667683 184.333424 0.618076 185.066423 2.934722   6  
  32  4   9    4   1    6  188.498207 1.599709 190.264089 0.438837 190.830508 3.167915   6  
  33  1   9    1   1    6  194.495511 1.850564 196.511258 0.471111 197.094341 2.901387   6  
  34  1   9    1   1    6  200.492783 1.599727 202.258614 0.447452 202.825069 3.167953   6  
  35  2   9    2   1    6  206.506745 1.517821 208.205920 0.683450 209.005630 3.001344   6  
  36  3   9    1   0    3  212.504021 1.816451 214.469828 0.719914 215.302759 2.701508   6  
  37  2   9    4   0    6  218.501292 1.767545 220.450383 0.638199 221.216772 2.784794   6  
  38  1   9    1   1    6  224.498618 2.299510 226.930827 0.801558 227.847108 2.151742   6  
  39  3   9    3   1    6  230.495915 1.917320 232.611635 0.678852 233.411266 2.584875   6  
  40  1   9    1   1    4  236.493211 1.833112 238.508943 0.951674 239.575148 2.418295   6  
  41  2   9    4   0    6  242.507119 2.200497 244.889412 0.546350 245.555791 2.451594   6  
  42  2   9    4   0    4  248.504447 1.766483 250.436899 1.322881 251.886250 2.118416   6  
  43  2   9    3   0    2  254.501758 1.967199 256.634024 0.957161 257.716961 2.285005   6  
  44  2   9    3   0    6  260.499033 1.449926 262.131598 0.464193 262.714698 3.284571   6  
  45  3   9    4   0    1  266.496332 1.717282 268.412129 0.995668 269.528291 2.468266   6  
  46  4   9    4   1    6  272.493612 1.699600 274.359431 0.791456 275.275695 2.718151   6  
  47  1   9    1   1    7  278.507577 1.050984 279.707032 0.710043 280.539983 3.467812   6  
  48  4   9    4   1    6  284.504858 1.499728 286.170792 0.582090 286.870464 3.134620   6  
  49  3   9    2   0    7  290.502156 1.917181 292.601217 0.508010 293.234303 2.768089   6  
  50  3   9    1   0    2  296.499446 1.616424 298.265331 0.750195 299.131585 2.868088   6  
  51  1   9    2   0    7  302.496747 1.701039 304.379220 0.483651 304.978957 3.018014   6  
  52  1   9    3   0    2  308.494022 2.249575 310.926235 0.550448 311.592631 2.401632   6  
  53  4   9    4   1    4  314.507986 1.767445 316.457110 1.257042 317.839800 2.168421   6  
  54  1   9    3   0    6  320.505284 2.066269 322.770920 0.713803 323.603878 2.401621   6  
  55  1   9    2   0    4  326.502579 1.717965 328.435033 0.820422 329.384604 2.618206   6  
  56  2   9    2   1    6  332.499852 1.982886 334.648900 0.737854 335.498506 2.501576   6  
  57  4   9    2   0    6  338.497166 2.167234 340.846096 0.878627 341.845640 2.151737   6  
  58  3   9    2   0    1  344.494436 1.699960 346.360275 0.896399 347.376470 2.618202   6  
  59  4   9    4   1    6  350.508401 1.434796 352.124343 1.030888 353.273820 2.734790   6  
  60  4   9    3   0    6  356.505688 1.533139 358.221540 1.515841 359.854185 2.151738   6  
  61  1   9    4   0    7  362.502993 1.535792 364.202215 0.868097 365.185086 2.818127   6  
  62  1   9    2   0    1  368.500260 2.266171 370.949058 0.697609 371.765459 2.235036   6  
  63  1   9    2   0    6  374.497580 1.867432 376.546647 0.995483 377.662814 2.334976   6  
