%% MetaTwins_RDMsc_training for 'linxiaojia': starting at _feedback (       48.0000000000).1-Jun-2019 11:08:22 for '7.375775e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  14  1    1   1    0    2    2.498887   0    0  1.183824   3.831621 1.000079   4.947767 0.999550   5.947317   6.946852 1.052256   6  
   2  14  1    3   0    0    2    8.496176   0    0  1.501672  10.195406 0.668341  10.978381 0.999546  11.977927  12.977467 1.018938   6  
   3  14  3    3   1    0    5   14.493450   0    0  1.799874  16.475907 0.970087  17.558751 0.999539  18.558290  19.557847 1.435821   7  
   4  14  4    4   1    0    7   21.490291   0    0  1.349917  22.956300 0.818836  23.889213 0.999556  24.888769  25.888325 1.102206   6  
   5  13  1    4   0    0    6   27.504278   0    0  1.517717  29.170172 0.559256  29.853199 0.999542  30.852741  31.852285 1.152200   6  
   6  13  1    1   1    0    2   33.501539   0    0  2.116242  35.783864 0.985406  36.883366 0.999527  37.882893  38.882459 1.119248   7  
   7  13  1    4   0    0   -1   40.498400   0    0  2.467352  43.147203 0.000000  45.146293 0.999540  46.145833  47.145389 0.853238   8  
   8  13  1    4   0    0    5   48.494782   0    0  1.300002  49.944128 0.827276  50.893691 0.999550  51.893241  52.892799 1.102122   6  
   9  13  3    3   1    0    5   54.492022   0    0  1.284562  55.891447 1.361095  57.374084 0.999575  58.373659  59.373200 0.619089   6  
  10  13  2    1   0    0    5   60.489366   0    0  1.633109  62.288556 0.677727  63.088187 0.999551  64.087738  65.087295 0.902209   6  
  11  13  2    2   1    0    5   66.503323   0    0  1.983837  68.702327 0.492408  69.318721 0.999544  70.318265  71.317804 0.685736   6  
  12  13  4   -1   0    0    3   72.500606   0    0  0.000000  75.016147 0.004537  75.132755 0.999533  76.132287  77.131843 0.868881   6  
  13  13  1    4   0    0    1   78.497900   0    0  1.267864  79.947248 0.749061  80.830183 0.999547  81.829731  82.829269 1.168870   6  
  14  13  1    3   0    0    5   84.495184   0    0  1.000668  85.678003 1.718632  87.510530 0.999528  88.510058  89.509606 1.485685   7  
  15  14  4    3   0    0    1   91.492032   0    0  1.083602  92.708156 0.906767  93.741007 0.999557  94.740564  95.740126 1.251982   6  
  16  14  2    3   0    0    3   97.489336   0    0  1.934001  99.588343 1.820430 101.520842 0.999540 102.520382 103.519939 1.469578   8  
  17  15  3    1   0    0    5  105.485701   0    0  1.483304 107.134974 0.803836 108.051232 0.999527 109.050759 110.050325 0.935443   6  
  18  15  4    3   0    0    1  111.516340   0    0  1.634378 113.332180 0.755118 114.215115 0.999548 115.214663 116.214194 0.802361   6  
  19  16  2    2   1    0    5  117.513619   0    0  1.550048 119.262782 0.574621 119.962510 0.999543 120.962053 121.961574 1.052272   6  
  20  16  3    3   1    0    2  123.510912   0    0  1.517593 125.193484 1.853397 127.159275 0.999533 128.158807 129.158357 0.852771   7  
  21  14  2    2   1    0    2  130.507745   0    0  2.316163 133.006627 1.680193 134.805796 0.999570 135.805366 136.804959 1.203023   8  
  22  14  3    3   1    0    6  138.504128   0    0  1.199970 139.870207 0.778306 140.769785 0.999548 141.769333 142.768886 1.235483   6  
  23  13  4    4   1    0    6  144.501336   0    0  1.151331 145.767542 0.750731 146.633815 0.999534 147.633349 148.632899 1.368768   6  
  24  13  4    2   0    0    1  150.515387   0    0  1.799722 152.464470 1.755225 154.346985 0.999564 155.346549 156.346092 0.669515   7  
  25  13  4    4   1    0    6  157.512215   0    0  1.333407 159.011499 0.576607 159.711232 0.999540 160.710772 161.710346 1.302103   6  
  26  13  2    1   0    0    5  163.509522   0    0  1.501086 165.158699 1.450984 166.724748 0.999523 167.724271 168.723823 1.285925   7  
  27  13  3    3   1    0    6  170.506363   0    0  1.316508 171.939047 0.824274 172.888603 0.999566 173.888169 174.887725 1.118848   6  
  28  13  2    4   0    0    6  176.503665   0    0  1.768423 178.386156 0.817284 179.319055 0.999553 180.318608 181.318132 0.685741   6  
  29  13  2    2   1    0    7  182.500955   0    0  1.616434 184.283481 0.620894 185.016472 0.999542 186.016014 187.015588 0.985576   6  
  30  13  1    3   0    0    2  188.498137   0    0  1.600858 190.264105 1.708270 192.096621 0.999535 193.096156 194.095718 0.902741   7  
  31  13  4    4   1    0    5  195.511733   0    0  1.549815 197.210974 0.652284 197.977281 0.999551 198.976832 199.976388 1.035572   6  
  32  13  1    1   1    0    5  201.509023   0    0  1.384429 203.041676 0.684538 203.841317 0.999544 204.840861 205.840412 1.168843   6  
  33  12  3    3   1    0    5  207.506319   0    0  1.533071 209.155573 0.432825 209.705329 0.999547 210.704876 211.704432 1.302116   6  
  34  12  4    4   1    0    5  213.503624   0    0  1.051156 214.669759 0.470548 215.252823 0.999552 216.252375 217.251921 0.751922   5  
  35  11  3    1   0    0    2  218.501367   0    0  1.533214 220.167273 0.814187 221.100178 0.999555 222.099733 223.099241 0.902352   6  
  36  11  1    3   0    0    1  224.498546   0    0  2.099976 226.830935 0.979245 227.930439 0.999469 228.929908 229.929525 1.069365   7  
  37  12  4    4   1    0    6  231.495503   0    0  1.083432 232.728275 0.504084 233.344668 0.999538 234.344206 235.343755 0.651965   5  
  38  12  3    1   0    0    5  236.509897   0    0  1.116825 237.809300 0.874331 238.808855 0.999561 239.808416 240.807951 1.202157   6  
  39  12  4    4   1    0    6  242.507185   0    0  0.950547 243.606679 0.721122 244.439671 0.999566 245.439237 246.438755 0.568647   5  
  40  12  3    1   0    0    3  247.504983   0    0  1.817278 249.487375 1.109531 250.720155 0.999542 251.719698 252.719237 1.285911   7  
  41  12  4    4   1    0    6  254.501769   0    0  1.033343 255.684498 0.890731 256.700778 0.999545 257.700324 258.699888 1.302100   6  
  42  12  2    3   0    0    6  260.499007   0    0  1.684469 262.431537 1.472404 264.030806 0.999545 265.030351 266.029895 0.969407   7  
  43  12  3    3   1    0    7  267.495913   0    0  1.266735 268.895273 0.674418 269.694912 0.999540 270.694451 271.694021 1.302106   6  
  44  12  4    4   1    0    7  273.493204   0    0  0.951198 274.576029 0.762389 275.458973 0.999564 276.458537 277.458068 0.535361   5  
  45  11  3    1   0    0    1  278.507594   0    0  1.216818 279.840335 0.876241 280.839876 0.999555 281.839430 282.838985 1.168843   6  
  46  11  3    3   1    0    6  284.504903   0    0  1.334175 285.954256 0.984105 287.053755 0.999585 288.053340 289.052849 0.952268   6  
  47  11  1    1   1    0    5  290.502189   0    0  1.333412 291.984857 0.681950 292.784511 0.999525 293.784036 294.783601 1.218802   6  
  48  10  3    3   1    0    5  296.499485   0    0  1.785150 298.431954 0.562739 299.114918 0.999598 300.114516 301.114048 0.885668   6  
  49  10  2    2   1    0    6  302.496765   0    0  1.716452 304.362583 0.776223 305.245544 0.999538 306.245082 307.244638 0.752327   6  
  50   9  1    4   0    0    6  308.493966   0    0  1.417915 310.060001 0.422608 310.609785 0.999543 311.609328 312.608861 1.385442   6  
  51   9  4    4   1    0    6  314.491357   0    0  1.849543 316.557102 0.819105 317.489994 0.999550 318.489543 319.489106 0.502432   6  
  52   9  2    1   0    0    4  320.505310   0    0  1.200976 321.838014 1.671480 323.620580 0.999536 324.620116 325.619659 1.385874   7  
  53   9  3    4   0    0    5  327.502150   0    0  1.050024 328.684947 0.713767 329.517908 0.999540 330.517448 331.517002 1.485303   6  
  54  10  2    4   0    0    5  333.499338   0    0  1.784372 335.515207 0.466338 336.098185 0.999670 337.097855 338.097352 0.902297   6  
  55  10  1    1   1    0    3  339.496730   0    0  1.100065 340.746174 1.136900 341.995620 0.999530 342.995150 343.994714 1.002161   6  
  56  10  1    1   1    0    1  345.493925   0    0  2.016989 347.676376 0.442190 348.242801 0.999542 349.242343 350.241871 0.752388   6  
  57   9  2    3   0    0    1  351.491314   0    0  1.883151 353.557062 0.442790 354.123459 0.999551 355.123010 356.122490 0.868942   6  
  58   9  2    4   0    0    5  357.488632   0    0  1.667275 359.321122 0.455112 359.904198 0.999547 360.903745 361.903275 1.085578   6  
  59  10  4    4   1    0    5  363.502551   0    0  1.133455 364.768642 1.299084 366.184673 0.999563 367.184236 368.183786 0.818881   6  
  60  10  2    2   1    0    7  369.499757   0    0  1.651220 371.265719 1.743283 373.131559 0.999535 374.131094 375.130637 0.869447   7  
]; % This session completes at 01-Jun-2019 11:14:51, 378.004s after session start, 374s on 60 trials, totally 389.308s, correctness is 53.333%.

