%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at linxiaosi (       48.0000000000).1-Jun-2019 12:48:237.375775e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   10   2   1    3    2.498405 1.682948   4.380541 1.634967   6.129414 1.869311   6  
   2  4   10   2   0    4    8.494580 1.832571  10.476554 1.672671  12.258854 1.736036   6  
   3  1   10   1   1    7   14.507412 0.949930  15.606720 0.610375  16.322922 3.684801   6  
   4  2   10   2   1    5   20.503580 1.299546  21.969181 1.396134  23.485020 2.518892   6  
   5  1   10   3   0    4   26.499758 1.399569  28.048802 0.951226  29.114765 2.885339   6  
   6  1   10   1   1    6   32.495952 0.949736  33.595247 0.931415  34.644588 3.351673   6  
   7  3   10   3   1    7   38.492114 1.049939  39.707984 0.892282  40.707375 3.285061   6  
   8  3   10   3   1    4   44.504955 1.233086  45.870761 1.532758  47.519698 2.485570   6  
   9  4   10   3   0    4   50.501136 1.182871  51.866935 0.727713  52.699729 3.301721   6  
  10  3   10   1   0    3   56.497324 1.965861  58.612486 1.185603  59.911805 2.085815   6  
  11  4   10   3   0    4   62.493478 1.899262  64.525530 1.113833  65.758078 2.235726   6  
  12  1   10   3   0    2   68.506329 2.382225  71.054698 1.008797  72.170650 1.835990   6  
  13  3   10   1   0    1   74.502507 2.382259  77.050881 0.978154  78.150165 1.852644   6  
  14  2   10  -1   0    3   80.498668 0.000000  83.013751 0.083450  83.213613 2.785364   6  
  15  4   10   2   0    3   86.494859 1.582787  88.226993 0.728891  89.076539 2.918613   6  
  16  2   10   3   0    3   92.491032 1.233010  93.856749 0.796327  94.772907 3.218429   6  
  17  3   10   3   1    4   98.503862 1.816005 100.502592 0.662220 101.285426 2.718750   6  
  18  2   10   3   0    2  104.500036 2.282386 106.965151 0.735724 107.814590 2.185759   6  
  19  2   10   2   1    5  110.496228 1.033211 111.695403 0.944384 112.761443 3.235079   6  
  20  3   10   3   1    3  116.492395 1.649378 118.291254 0.960379 119.357245 2.635459   6  
  21  3   10   1   0    4  122.505230 1.333048 123.987528 0.777106 124.887042 3.118486   6  
  22  1   10   2   0    3  128.501407 1.999155 130.666500 0.837968 131.616084 2.385631   6  
