%% MetaTwinsTri_behave_Conf for '_guess': starting at liukaile (       48.0000000000).1-Jun-2019 17:09:377.375777e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   8    4   0    3      6      2.498865 1.533010   4.547958 0.551559   5.214327 2.784765   6  
   2  1   8    1   1    7      6      8.496169 0.900171   9.912173 0.956141  10.994941 3.001353   6  
   3  2   8    3   0    4      8     14.493462 1.799291  16.809080 0.712266  17.642045 2.351636   6  
   4  4   8    4   1    6      6     20.507443 1.183521  22.206624 1.466874  23.789152 2.218489   6  
   5  3   8    3   1    6      8     26.504696 1.666083  28.687058 1.136570  29.936481 2.068447   6  
   6  2   8    2   1    2      3     32.501995 2.016781  35.034167 0.502519  35.650582 2.351646   6  
   7  1   8    4   0    7      8     38.499288 0.882936  39.898663 1.207984  41.231387 2.768128   6  
   8  4   8    4   1    7      8     44.496589 0.716361  45.729209 0.880561  46.728883 3.267956   6  
   9  3   8    3   1    2      8     50.510534 2.299017  53.325938 0.240277  53.692434 2.318332   6  
  10  3   8    1   0    3      2     56.507797 2.016364  59.039988 0.511056  59.673031 2.335043   6  
  11  3   8    3   1    7      8     62.505117 0.549810  63.571296 1.157599  64.853985 3.151352   6  
  12  2   8    2   1    2      3     68.502405 2.115782  71.134563 0.194383  71.451082 2.551554   6  
  13  2   8    1   0    4      6     74.499679 1.749741  76.765294 0.581299  77.464980 2.534951   6  
  14  1   8    4   0    4      8     80.513650 1.715979  82.745987 1.172105  84.045404 1.968471   6  
  15  2   8    2   1    5      3     86.510955 1.849730  88.876505 0.805961  89.809411 2.201763   6  
  16  2   8    4   0    7      8     92.508255 0.616405  93.641065 1.135986  94.890514 3.117955   6  
  17  4   8    4   1    4      8     98.505528 1.982501 101.004411 0.478302 101.604094 2.401665   6  
  18  4   8    2   0    5      6    104.486170 1.316114 106.318675 1.046564 107.484826 2.501374   6  
  19  1   8    1   1    7      3    110.500065 1.116764 112.132682 0.900377 113.148908 2.851413   6  
  20  1   8    2   0    3      1    116.497402 1.949166 118.962969 0.717135 119.795833 2.201658   6  
  21  2   8    3   0    4      3    122.494697 1.616004 124.627065 0.912861 125.659889 2.334913   6  
  22  2   8    2   1    4      4    128.491909 1.533268 130.541071 0.877691 131.540629 2.451524   6  
  23  1   8    4   0    4      8    134.489282 1.566037 136.571694 0.637386 137.321296 2.668112   6  
  24  1   8    1   1    6      6    140.503233 1.216187 142.235798 0.805721 143.168726 2.834661   6  
  25  1   8    4   0    4      3    146.500470 2.083125 149.099333 0.472532 149.699087 2.301660   6  
  26  3   8    4   0    7      8    152.497824 0.816383 153.830555 0.704791 154.663449 3.334553   6  
  27  1   8    1   1    5      7    158.495113 1.166207 160.177679 0.938032 161.243855 2.751394   6  
  28  1   8    3   0    3      2    164.492375 1.932990 166.941250 0.899338 167.957435 2.035111   6  
  29  2   8    4   0    5      8    170.506352 1.632606 172.655385 0.337863 173.105197 2.901386   6  
  30  3   8    3   1    5      8    176.503616 1.266668 178.286155 1.168256 179.568903 2.434974   6  
  31  1   8    2   0    7      8    182.500942 0.916330 183.933638 1.153678 185.216365 2.784809   6  
  32  2   8    1   0    5      3    188.498207 1.633171 190.647234 0.684517 191.446860 2.551603   6  
  33  4   8    4   1    7      8    194.495528 0.683104 195.694992 0.876162 196.694540 3.301216   6  
  34  4   8    2   0    5      7    200.509479 1.432792 202.458607 0.745376 203.324890 2.684826   6  
  35  4   8    4   1    8      8    206.506755 0.716848 207.739524 0.814895 208.672468 3.334535   6  
  36  2   8    2   1    5      8    212.504073 1.299546 214.319937 0.800524 215.236155 2.768143   6  
  37  4   8    4   1    5      8    218.501370 1.350041 220.367154 0.857110 221.350035 2.651547   6  
  38  3   8    2   0    5      8    224.498646 1.749242 226.764296 0.883922 227.763723 2.235146   6  
  39  3   8    3   1    4      8    230.512586 1.316787 232.345049 0.646060 233.111347 2.901487   6  
  40  2   8    1   0    5      8    236.509899 1.516032 238.542311 0.414101 239.075412 2.934710   6  
  41  2   8    3   0    4      8    242.507191 1.716356 244.739431 1.145175 246.005548 2.001873   6  
