%% MetaTwins_RDMsc_training for 'liukaile': starting at _feedback (       48.0000000000).1-Jun-2019 16:36:46 for '7.375777e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  15  2    2   1    0    7    2.498852   0    0  1.350023   3.964855 0.264848   4.348007 0.999550   5.347556   6.347103 0.651967   5  
   2  15  3    3   1    0    7    7.496589   0    0  1.883039   9.495592 0.116260   9.728920 0.999529  10.728449  11.727997 1.268776   6  
   3  14  1    1   1    0    7   13.493864   0    0  1.200066  14.826598 0.287035  15.226415 0.999549  16.225964  17.225494 0.768526   5  
   4  14  2    4   0    0    8   18.491597   0    0  1.383267  19.990851 0.349050  20.457374 0.999555  21.456929  22.456481 0.535247   5  
   5  14  1    1   1    0    6   23.489333   0    0  2.299513  25.904817 0.153983  26.171440 0.999548  27.170988  28.170542 0.818897   6  
   6  14  3    4   0    0    7   29.486601   0    0  1.533199  31.135858 0.137345  31.385743 0.999551  32.385294  33.384829 0.601847   5  
   7  14  2    1   0    0    5   34.517664   0    0  1.666471  36.300022 0.434264  36.849924 0.999546  37.849470  38.849020 1.168863   6  
   8  15  4    1   0    0    3   40.514936   0    0  1.966319  42.597332 0.776540  43.496921 0.999536  44.496457  45.496011 0.519151   6  
   9  15  4    1   0    0    7   46.512218   0    0  2.016356  48.644584 0.095560  48.861148 0.999547  49.860695  50.860237 1.152200   6  
  10  16  3    4   0    0    7   52.509491   0    0  2.416082  55.058343 0.252929  55.424837 0.999550  56.424387  57.423922 0.585820   6  
  11  16  2    4   0    0    2   58.506769   0    0  2.082998  60.705626 1.093859  61.921878 0.999548  62.921427  63.920973 1.086019   7  
  12  18  1    1   1    0    3   65.503592   0    0  2.199483  67.835873 1.209354  69.168593 0.999540  70.168132  71.167680 0.836149   7  
  13  18  3    2   0    0    3   72.500422   0    0  1.516506  74.149630 0.572207  74.849344 0.999552  75.848896  76.848437 1.152213   6  
  14  18  1    1   1    0    3   78.497697   0    0  1.916393  80.546772 0.874650  81.546318 0.999539  82.545856  83.545410 1.452515   7  
  15  18  3    2   0    0    3   85.494523   0    0  1.733100  87.360348 0.645438  88.126654 0.999556  89.126210  90.125758 0.868995   6  
  16  18  1    1   1    0    4   91.491826   0    0  1.782922  93.424263 0.924186  94.473780 0.999537  95.473317  96.472874 0.519123   6  
  17  18  2    2   1    0    6   97.489072   0    0  1.699743  99.338238 0.604510 100.054573 0.999554 101.054128 102.053663 0.935565   6  
  18  16  1   -1   0    0    3  103.503016   0    0  0.000000 106.018553 0.425245 106.568285 0.999555 107.567840 108.567376 1.435778   7  
  19  16  3    2   0    0    6  110.499830   0    0  1.449852 112.082461 0.268289 112.465608 0.999550 113.465157 114.464699 0.535228   5  
  20  16  4    4   1    0    6  115.497576   0    0  1.333133 116.963571 0.342444 117.430031 0.999543 118.429575 119.429151 0.568482   5  
  21  16  3    2   0    0    7  120.511968   0    0  1.499868 122.144561 0.267433 122.527706 0.999554 123.527260 124.526797 1.485391   6  
  22  16  2    4   0    0    5  126.509240   0    0  1.233238 127.875288 0.383358 128.375061 0.999549 129.374610 130.374138 0.635328   5  
  23  18  4    2   0    0    5  131.506975   0    0  1.333246 132.972977 0.573115 133.672658 0.999546 134.672205 135.671743 1.335460   6  
  24  18  1    1   1    0    5  137.504239   0    0  2.032890 139.686601 0.482731 140.286311 0.999554 141.285866 142.285414 0.719072   6  
  25  18  2    2   1    0    3  143.501530   0    0  1.633169 145.267292 0.668671 146.050369 0.999545 147.049914 148.049464 0.952292   6  
  26  16  3    1   0    0    5  149.498811   0    0  1.949582 151.597857 0.447441 152.164262 0.999552 153.163814 154.163350 0.835689   6  
  27  16  3    2   0    0    3  155.496073   0    0  1.833051 157.461859 0.521700 158.111566 0.999540 159.111105 160.110645 0.885670   6  
  28  18  3    2   0    0    5  161.493361   0    0  1.649749 163.292537 0.313989 163.725701 0.999520 164.725221 165.724776 1.268817   6  
  29  18  3    2   0    0    3  167.507303   0    0  2.032935 169.672988 0.838982 170.639204 0.999566 171.638770 172.638287 1.369245   7  
  30  20  4    4   1    0    7  174.504123   0    0  1.466421 176.119950 0.431023 176.669808 0.999541 177.669349 178.668902 1.335420   6  
  31  20  4    4   1    0    6  180.501402   0    0  1.966359 182.600454 0.167619 182.883659 0.999540 183.883199 184.882742 1.118840   6  
  32  18  1    1   1    0    5  186.498685   0    0  1.433170 188.081301 0.384262 188.581060 0.999554 189.580615 190.580153 1.418668   6  
  33  18  4    4   1    0    6  192.495958   0    0  1.166686 193.812023 0.209947 194.145211 0.999538 195.144748 196.144302 0.851767   5  
  34  16  2    1   0    0    3  197.493686   0    0  1.883090 199.492607 0.413619 200.025872 0.999546 201.025418 202.024955 0.968809   6  
  35  16  1    1   1    0    5  203.507627   0    0  1.716444 205.356797 0.579252 206.056461 0.999556 207.056017 208.055561 0.952293   6  
  36  16  4    4   1    0    6  209.504898   0    0  1.216604 210.870841 0.336708 211.320749 0.999549 212.320298 213.319840 0.685297   5  
  37  14  1    1   1    0    5  214.502642   0    0  1.549798 216.201873 0.658797 216.984837 0.999556 217.984393 218.983934 1.018932   6  
  38  14  2    4   0    0    5  220.499918   0    0  1.183350 221.849301 0.722481 222.698908 0.999542 223.698450 224.698008 1.302127   6  
  39  14  4    1   0    0    3  226.497195   0    0  1.783097 228.429646 0.708359 229.262617 0.999528 230.262145 231.261696 0.735726   6  
  40  15  1    1   1    0    5  232.511129   0    0  2.099504 234.726790 0.218388 235.059996 0.999520 236.059516 237.059062 0.952301   6  
  41  15  4    4   1    0    3  238.508399   0    0  1.749800 240.407572 0.258328 240.790711 0.999532 241.790244 242.789799 1.218830   6  
  42  14  2    2   1    0    2  244.505692   0    0  2.116181 246.771327 0.466166 247.354393 0.999543 248.353936 249.353493 0.652416   6  
  43  14  2    2   1    0    3  250.502958   0    0  2.282858 252.901794 0.581752 253.601566 0.999539 254.601105 255.600655 1.402542   7  
  44  13  1    1   1    0    3  257.499787   0    0  1.166952 258.815866 0.367522 259.298977 0.999542 260.298520 261.298063 0.701941   5  
  45  13  4    4   1    0    6  262.497523   0    0  1.366569 264.030153 0.722097 264.879778 0.999547 265.879326 266.878858 1.118843   6  
  46  12  2    1   0    0    3  268.494800   0    0  1.633081 270.260661 0.405361 270.793756 0.999547 271.793303 272.792850 1.202096   6  
  47  12  4   -1   0    0    2  274.492077   0    0  0.000000 277.007610 0.729291 277.857214 0.999549 278.856763 279.856299 1.135907   7  
  48  12  1    2   0    0    3  281.488909   0    0  1.733073 283.354716 0.301882 283.771204 0.999534 284.770738 285.770301 1.218673   6  
  49  13  3    2   0    0    3  287.502831   0    0  1.533247 289.185405 0.178118 289.485259 0.999561 290.484820 291.484357 0.518707   5  
  50  13  2    3   0    0    3  292.500555   0    0  2.232890 294.866178 0.374444 295.365944 0.999540 296.365483 297.365023 0.635784   6  
  51  14  3    3   1    0    2  298.514505   0    0  1.999668 300.646869 0.523549 301.296594 0.999533 302.296128 303.295661 0.719080   6  
  52  14  3    4   0    0    3  304.511779   0    0  2.016322 306.710788 0.432288 307.260540 0.999545 308.260085 309.259621 0.752393   6  
  53  14  4    1   0    0    2  310.509063   0    0  1.799703 312.441517 0.261310 312.824675 0.999550 313.824225 314.823761 1.185525   6  
  54  15  3    4   0    0    3  316.506346   0    0  1.882939 318.522094 0.441842 319.088503 0.999529 320.088033 321.087594 0.918990   6  
  55  15  2    2   1    0    4  322.503616   0    0  1.449910 324.102902 0.488164 324.719284 0.999539 325.718823 326.718376 1.285471   6  
  56  15  2    4   0    0    3  328.500901   0    0  2.216141 330.849829 0.238129 331.199673 0.999541 332.199215 333.198767 0.802350   6  
  57  15  4    4   1    0    3  334.498176   0    0  1.866393 336.497264 0.139028 336.763810 0.999540 337.763349 338.762896 1.235506   6  
  58  15  4    1   0    0    5  340.495449   0    0  2.299510 342.927689 0.846014 343.893913 0.999540 344.893452 345.893004 1.102671   7  
  59  15  1    3   0    0    2  347.492290   0    0  1.899907 349.524690 0.303899 349.957820 0.999544 350.957365 351.956921 1.035538   6  
  60  16  1    1   1    0    2  353.489547   0    0  1.749699 355.388693 0.208558 355.721876 0.999539 356.721415 357.720968 1.268746   6  
]; % This session completes at 01-Jun-2019 16:42:54, 361.003s after session start, 357s on 60 trials, totally 368.301s, correctness is 46.667%.

