%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at jiaxiuwen (       48.0000000000).2-Jun-2019 12:26:567.375785e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   14   1   1    1    2.498858 1.766791   4.414649 0.777993   5.314241 2.684827   6  
   2  1   14   3   0    7    8.496130 1.816391  10.495240 0.511327  11.128277 2.868044   6  
   3  1   14   4   0    6   14.493433 2.149576  16.842358 0.780452  17.741954 2.251615   6  
   4  3   14   3   1    7   20.490727 2.482559  23.139491 0.464444  23.722558 2.268273   6  
   5  2   14   2   1    6   26.487985 2.366102  29.036727 0.573648  29.736504 2.251565   6  
   6  3   14   1   0    8   32.485256 1.966382  34.634220 0.769094  35.517223 2.468092   6  
   7  1   14  -1   0    3   38.515860 0.000000  41.031415 0.000290  41.148006 2.868086   6  
   8  1   14   3   0    7   44.513132 1.932845  46.595434 0.453122  47.161940 2.851436   6  
   9  3   14   4   0    1   50.510424 1.699858  52.359538 1.063920  53.542381 2.468264   6  
  10  3   14   3   1    6   56.507707 1.999659  58.673245 0.496526  59.289774 2.718150   6  
  11  2   14   2   1    7   62.504975 1.949509  64.653882 0.405893  65.187100 2.818118   6  
  12  3   14   1   0    6   68.502272 2.249540  70.951149 0.345646  71.417611 2.584886   6  
  13  2   14  -1   0    2   74.499539 0.000000  77.015083 0.199087  77.331587 2.668190   6  
  14  3   14   3   1    7   80.496830 1.250052  81.912746 0.120000  82.146075 3.850989   6  
  15  4   14   1   0    6   86.494103 2.366134  89.059620 0.346359  89.526067 2.468268   6  
  16  1   14   3   0    7   92.491378 1.983341  94.657076 0.635756  95.406739 2.584852   6  
  17  2   14   2   1    7   98.505327 1.816329 100.504265 0.375202 101.004199 3.001301   6  
  18  2   14  -1   0    2  104.502609 0.000000 107.018160 0.032325 107.168074 2.834668   6  
  19  4   14   1   0    6  110.499894 1.566637 112.249103 0.371049 112.748868 3.251125   6  
  20  4   14   2   0    7  116.497169 2.349577 119.046026 0.165738 119.329231 2.668018   6  
  21  2   14  -1   0    4  122.511107 0.000000 125.026646 0.146388 125.293188 2.718149   6  
  22  3   14   2   0    7  128.508394 2.049652 130.807348 0.000713 130.923969 3.084650   6  
  23  3   14   1   0    6  134.505668 1.483231 136.154936 0.127178 136.404818 3.601074   6  
  24  2   14   1   0    6  140.502943 1.616485 142.318801 0.089770 142.535370 3.467807   6  
  25  1   14   1   1    6  146.500239 2.499267 149.199020 0.190356 149.515539 2.484928   6  
  26  2   14   3   0    7  152.497507 2.166117 154.846274 0.133190 155.096342 2.901400   6  
  27  3   14   2   0    7  158.494796 1.982986 160.660483 0.228518 161.010317 2.984703   6  
  28  2   14   1   0    6  164.508728 1.199977 165.891275 0.088883 166.108019 3.900951   6  
  29  4   14   3   0    7  170.506032 1.749580 172.455130 0.101597 172.671700 3.334549   6  
  30  4   14   2   0    7  176.503307 1.983341 178.685660 0.232728 179.035487 2.968013   6  
  31  2   14   4   0    1  182.500582 1.549678 184.233049 0.970929 185.332632 2.668125   6  
  32  1   14   1   1    6  188.497857 1.583143 190.247073 0.129549 190.496952 3.501065   6  
  33  3   14   1   0    6  194.495143 1.633165 196.327569 0.241516 196.694148 3.301108   6  
  34  1   14   2   0    7  200.492419 2.249526 202.924658 0.212157 203.257841 2.734667   6  
  35  3   14   4   0    6  206.489710 2.116047 208.788496 0.872669 209.788214 2.201551   6  
  36  4   14   4   1    1  212.503647 1.566364 214.236194 0.888999 215.252417 2.751463   6  
  37  3   14   1   0    8  218.500940 1.733161 220.383413 0.803366 221.316318 2.684843   6  
  38  1   14   3   0    6  224.498203 2.282858 226.963752 0.311335 227.396910 2.601514   6  
  39  1   14   1   1    6  230.512147 0.900321 231.561666 0.125544 231.811563 4.200802   6  
  40  4   14   4   1    6  236.509430 1.699792 238.375230 0.110099 238.608491 3.401168   6  
  41  1   14   2   0    7  242.506711 2.232798 244.938949 0.100984 245.155517 2.851417   6  
  42  3   14   2   0    7  248.503985 2.016419 250.719664 0.046943 250.886239 3.117979   6  
  43  2   14   4   0    6  254.501280 2.382818 257.049968 0.321187 257.499907 2.501609   6  
  44  2   14   2   1    7  260.498552 2.183240 262.864146 0.242100 263.230652 2.768120   6  
  45  1   14   3   0    7  266.495826 1.883096 268.561561 0.094856 268.778133 3.217888   6  
  46  1   14   2   0    7  272.493106 1.849733 274.542036 0.087396 274.758760 3.234517   6  
  47  4   14   1   0    6  278.490386 1.533123 280.189635 0.217280 280.522809 3.467713   6  
  48  4   14   4   1    6  284.487670 1.916301 286.570058 0.728102 287.419672 2.568096   6  
  49  4   14   4   1    7  290.501620 2.432805 293.167075 0.833688 294.133304 1.868372   6  
  50  3   14  -1   0    8  296.515586 0.000000 299.180956 0.671757 299.980661 2.035121   6  
  51  4   14   2   0    6  302.512828 2.199599 304.895084 0.529487 305.544801 2.468252   6  
  52  3   14   1   0    6  308.510129 0.933581 309.642947 0.143212 309.909479 4.100862   6  
  53  4   14   4   1    7  314.507402 2.299754 316.989607 0.896282 318.005811 2.001814   6  
  54  3   14   2   0    7  320.504671 2.266036 323.003545 0.272510 323.386703 2.618208   6  
  55  3   14   1   0    2  326.501959 1.766458 328.451072 0.865788 329.433957 2.568226   6  
  56  1   14  -1   0    3  332.499246 0.000000 335.014776 0.000210 335.131389 2.868069   6  
  57  3   14   4   0    6  338.496522 1.466476 340.112444 0.899722 341.128660 2.868082   6  
  58  2   14   4   0    7  344.493813 2.149537 346.809322 0.708628 347.642378 2.351655   6  
  59  4   14   2   0    7  350.491074 1.949598 352.623452 0.261484 353.006617 2.984659   6  
  60  4   14   4   1    6  356.505023 1.083425 357.754456 0.120428 357.987691 4.017492   6  
  61  4   14   1   0    3  362.502318 1.899711 364.584573 0.949474 365.650881 2.351561   6  
  62  1   14   1   1    7  368.499593 2.232916 370.881758 1.259631 372.264549 1.735158   6  
  63  4   14   4   1    6  374.496856 2.299599 376.929084 0.314868 377.362228 2.634720   6  
  64  4   14   4   1    1  380.510809 2.466016 383.142941 1.066548 384.325740 1.685299   6  
  65  2   14   2   1    8  386.508091 1.966164 388.690433 0.644336 389.456763 2.551549   6  
  66  2   14   4   0    1  392.505382 1.849780 394.471151 0.881700 395.470689 2.534901   6  
  67  4   14   4   1    8  398.502644 1.016604 399.718773 0.435300 400.268505 3.734371   6  
  68  4   14   2   0    8  404.499929 1.883031 406.582316 0.767476 407.465254 2.534906   6  
  69  3   14   1   0    6  410.497202 2.282985 412.979419 0.826342 413.928991 2.068447   6  
  70  3   14   3   1    7  416.494486 1.399889 418.093774 0.224250 418.443611 3.551110   6  
  71  3   14  -1   0    1  422.508442 0.000000 425.023972 0.211275 425.357141 2.651525   6  
  72  1   14   1   1    8  428.505708 1.233137 429.921738 0.139337 430.188288 3.817654   6  
  73  1   14   1   1    8  434.502982 1.433236 436.102269 0.131098 436.352150 3.651056   6  
  74  1   14   4   0    8  440.500276 1.599954 442.232670 0.230057 442.582664 3.417805   6  
  75  2   14   2   1    7  446.497549 1.749668 448.463333 0.546965 449.129694 2.868007   6  
  76  1   14   1   1    6  452.494836 1.749733 454.393904 1.170631 455.693393 2.301578   6  
  77  1   14   1   1    7  458.492119 1.649767 460.324620 0.440618 460.891031 3.101181   6  
  78  2   14   2   1    7  464.489392 2.266549 467.038160 0.313158 467.471380 2.518075   6  
  79  1   14   4   0    6  470.503347 1.100239 471.786086 0.161752 472.069287 3.934279   6  
  80  4   14   4   1    6  476.500619 0.966634 477.633440 0.227799 477.983280 4.017564   6  
  81  3   14  -1   0    2  482.514562 0.000000 485.030116 0.052566 485.196689 2.818100   6  
  82  1   14   4   0    7  488.511843 1.016755 489.677907 0.019739 489.811247 4.200821   6  
  83  2   14   2   1    7  494.509124 1.299972 495.991644 0.005477 496.125071 3.884273   6  
  84  4   14   4   1    7  500.506407 0.949938 501.639230 0.123523 501.889113 4.117521   6  
  85  2   14   2   1    7  506.503679 2.332818 509.135826 0.635777 509.902141 2.101774   6  
  86  3   14   3   1    7  512.500966 2.366170 515.049813 0.220446 515.399652 2.601542   6  
  87  4   14   1   0    7  518.498244 1.333378 520.014226 0.065738 520.197474 3.800998   6  
  88  4   14   4   1    6  524.495524 1.766443 526.394671 0.695802 527.210962 2.784761   6  
  89  2   14   1   0    4  530.492805 1.683056 532.358458 0.913311 533.391490 2.601485   6  
  90  2   14   2   1    7  536.490091 2.316214 538.988961 0.414610 539.522057 2.468173   6  
]; % This session completes at 02-Jun-2019 12:36:25, 544.005s after session start, 540s on 90 trials, totally 568.395s.

