%% MetaTwins_RDMsc_training for 'guoyulin': starting at _nofeedback (       48.0000000000).2-Jun-2019 11:56:02 for '7.375785e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  15  4    2   0    0    6    2.498901   0    0  1.869286   4.531300 0.639686   5.314274  0   0    5.314274 0.684837   4  
   2  15  1    1   1    0    6    6.497068   0    0  1.117722   7.829821 0.125116   8.096365  0   0    8.096365 0.900939   3  
   3  15  3    3   1    0    7    9.495739   0    0  0.901166  10.528603 0.156662  10.828472  0   0   10.828472 1.167501   3  
   4  14  1    1   1    0    7   12.494385   0    0  0.868271  13.560563 0.241852  13.943727  0   0   13.943727 1.050888   3  
   5  14  4    2   0    0    7   15.493029   0    0  1.651408  17.292220 0.072425  17.508779  0   0   17.508779 1.484474   4  
   6  14  4    3   0    0    5   19.507887   0    0  1.767426  21.390368 0.384569  21.923465  0   0   21.923465 1.084640   4  
   7  15  3    3   1    0    7   23.506080   0    0  1.218282  24.905450 0.097029  25.138668  0   0   25.138668 0.867633   3  
   8  15  1    1   1    0    7   26.504727   0    0  1.184224  27.804131 0.186378  28.137319  0   0   28.137319 0.867630   3  
   9  14  4    4   1    0    5   29.503382   0    0  1.901480  31.552434 0.095677  31.785670  0   0   31.785670 1.217932   4  
  10  14  1    1   1    0    7   33.501569   0    0  0.952029  34.601075 0.120027  34.867620  0   0   34.867620 1.134179   3  
  11  13  3    3   1    0    7   36.500204   0    0  1.184913  37.866264 0.118533  38.116154  0   0   38.116154 0.884290   3  
  12  13  3    1   0    0    7   39.498854   0    0  1.368352  41.031497 0.131407  41.298038  0   0   41.298038 0.701050   3  
  13  13  2    2   1    0    6   42.497505   0    0  1.219260  43.896861 0.155859  44.196741  0   0   44.196741 0.800992   3  
  14  13  3    3   1    0    7   45.496148   0    0  0.901607  46.529020 0.225463  46.928836  0   0   46.928836 1.067537   3  
  15  12  4    4   1    0    6   48.494799   0    0  1.501391  50.144055 0.145387  50.427257  0   0   50.427257 0.567771   3  
  16  12  2    2   1    0    6   51.493444   0    0  1.151780  52.809507 0.120155  53.076061  0   0   53.076061 0.917607   3  
  17  11  2    2   1    0    6   54.508750   0    0  2.050918  56.691091 0.043736  56.874344  0   0   56.874344 1.134638   4  
  18  11  3    3   1    0    7   58.506942   0    0  1.069149  59.773041 0.062422  59.972951  0   0   59.972951 1.034210   3  
  19  10  1    1   1    0    7   61.505584   0    0  2.317923  64.004457 0.018781  64.171057  0   0   64.171057 0.834758   4  
  20  10  1    1   1    0    2   65.503786   0    0  1.518131  67.169695 0.517355  67.836059  0   0   67.836059 1.167949   4  
  21   9  2    2   1    0    7   69.501978   0    0  1.884711  71.534391 0.084740  71.767629  0   0   71.767629 1.234565   4  
  22   9  1    1   1    0    6   73.500175   0    0  2.217785  75.865714 0.122843  76.132320  0   0   76.132320 0.868074   4  
  23   8  2    2   1    0    6   77.498362   0    0  2.034487  79.697368 0.211232  80.047223  0   0   80.047223 0.951371   4  
  24   8  1    1   1    0    1   81.496556   0    0  2.317741  83.995426 0.324808  84.461893  0   0   84.461893 0.534900   4  
  25   7  2    2   1    0   -1   85.494754   0    0  0.918522  86.577596 0.000000  86.877468  0   0   86.877468 1.117519   3  
  26   7  4    2   0    0    7   88.493398   0    0  2.084542  90.775702 0.073432  90.992276  0   0   90.992276 1.001355   4  
  27   7  3    3   1    0    6   92.508260   0    0  2.151226  94.840534 0.129449  95.107079  0   0   95.107079 0.901404   4  
  28   7  2    2   1    0    7   96.506457   0    0  2.434211  99.055285 0.166295  99.355160  0   0   99.355160 0.651519   4  
  29   6  2    2   1    0    6  100.504645   0    0  2.367724 103.036834 0.061128 103.236745  0   0  103.236745 0.768121   4  
  30   6  3    2   0    0    6  104.502843   0    0  2.501021 107.201626 0.157728 107.501493  0   0  107.501493 0.501578   4  
  31   6  2    1   0    0    1  108.501035   0    0  2.384457 111.033220 0.359255 111.532998  0   0  111.532998 1.468266   5  
  32   7  2    2   1    0    7  113.498786   0    0  2.317804 116.047622 0.014670 116.214228  0   0  116.214228 0.784771   4  
