%% MetaTwins_RDMsc_training for 'guoyuqi': starting at _feedback (       48.0000000000).2-Jun-2019 10:50:49 for '7.375785e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  50  4    4   1    0    8    2.499054   0    0  1.649680   4.264923 0.065227   4.448165 0.999554   5.447720   6.447266 0.552014   5  
   2  50  3    3   1    0    8    7.496790   0    0  0.916780   8.546318 0.282572   8.946117 0.999562   9.945679  10.945219 1.051803   5  
   3  45  4    4   1    0    8   12.494510   0    0  1.283311  13.893885 0.063793  14.077127 0.999549  15.076675  16.076220 0.918497   5  
   4  45  2    1   0    0    8   17.492249   0    0  1.066763  18.675043 0.077513  18.874950 0.999550  19.874500  20.874050 1.118381   5  
   5  45  1    1   1    0    8   22.489991   0    0  1.183235  23.839378 0.094300  24.055946 0.999535  25.055481  26.055033 0.935132   5  
   6  45  4    4   1    0    6   27.504365   0    0  1.116741  28.753736 0.125800  29.003690 0.999549  30.003240  31.002787 1.001755   5  
   7  40  2    2   1    0    7   32.502106   0    0  1.050016  33.668250 0.184461  33.968105 0.999543  34.967648  35.967197 1.035058   5  
   8  40  1    1   1    0    8   37.499838   0    0  1.083399  38.782592 0.130993  39.032472 0.999543  40.032015  41.031574 0.968421   5  
   9  36  4    4   1    0    8   42.497574   0    0  1.250131  43.863615 0.082863  44.063523 0.999549  45.063072  46.062615 0.935078   5  
  10  36  4    4   1    0    8   47.495303   0    0  1.150075  48.761384 0.082145  48.961309 0.999531  49.960840  50.960390 1.035028   5  
  11  32  3    3   1    0    8   52.493024   0    0  1.150248  53.758953 0.040694  53.925709 0.999553  54.925261  55.924814 1.068317   5  
  12  32  1    1   1    0    8   57.490766   0    0  0.833321  58.456991 0.056500  58.640247 0.999542  59.639789  60.639331 1.351518   5  
  13  28  3    3   1    0    8   62.488502   0    0  1.266466  63.887841 0.030222  64.037799 0.999538  65.037337  66.036890 0.951667   5  
  14  28  3    3   1    0    8   67.486225   0    0  1.050053  68.685692 0.000460  68.802299 0.999543  69.801842  70.801385 1.184893   5  
  15  25  3    3   1    0    8   72.517285   0    0  1.200079  73.833233 0.035310  73.983282 0.999537  74.982819  75.982363 1.035135   5  
  16  25  3    3   1    0    8   77.515001   0    0  1.266603  78.914233 0.045705  79.080958 0.999551  80.080509  81.080058 0.935175   5  
  17  22  2    1   0    0    8   82.512732   0    0  1.249872  83.878786 0.039465  84.045385 0.999535  85.044920  86.044475 0.968494   5  
  18  22  4    4   1    0    8   87.510472   0    0  1.366562  88.993143 0.043563  89.159729 0.999534  90.159264  91.158816 0.851887   5  
  19  22  1    1   1    0    8   92.508201   0    0  1.933065  94.557198 0.071261  94.740542 0.999533  95.740075  96.739613 1.268825   6  
  20  19  2    2   1    0    8   98.505473   0    0  0.883347  99.538341 0.105339  99.771567 0.999548 100.771116 101.770668 1.235043   5  
