%% MetaTwinsTri_behave_Conf for '_guess': starting at pengzibo (       48.0000000000).2-Jun-2019 17:54:037.375787e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   5    4   1    5      5      2.499000 1.433019   4.448125 0.268215   4.831273 3.167960   6  
   2  1   5    4   0    6      6      8.496282 1.149809  10.162191 1.095747  11.378307 2.618133   6  
   3  2   5    4   0    6      6     14.493570 1.099790  16.109499 1.687759  17.925353 2.068331   6  
   4  3   5    3   1    6      6     20.490850 1.116455  22.123437 0.958946  23.206290 2.784627   6  
   5  4   5    4   1    5      7     26.504789 1.016512  28.037413 1.020632  29.186900 2.818117   6  
   6  4   5    4   1    6      7     32.502065 0.683349  33.701520 1.399936  35.217519 2.784774   6  
   7  1   5    1   1    3      2     38.499351 2.399181  41.414697 1.042868  42.580833 1.418764   6  
   8  2   5    2   1    5      6     44.496629 1.116504  46.129213 1.218810  47.461953 2.534899   6  
   9  3   5    3   1    6      6     50.493912 1.566318  52.576289 0.903417  53.592495 2.401652   6  
  10  1   5    2   0    4      2     56.491188 2.232490  59.239938 0.443379  59.806362 2.185046   6  
  11  1   5    4   0    3      7     62.505122 0.783272  63.804545 1.187328  65.103960 2.901344   6  
  12  2   5    4   0    6      7     68.502419 1.216409  70.234955 0.776007  71.134545 2.867965   6  
  13  3   5    4   0    6      7     74.499686 1.016570  76.032319 0.660780  76.815303 3.184463   6  
  14  3   5    3   1    6      7     80.513631 1.016533  82.046267 1.375946  83.545588 2.468271   6  
  15  2   5    2   1    5      6     86.510911 1.599550  88.626620 1.117213  89.859394 2.151749   6  
  16  1   5    4   0    6      7     92.508196 1.449741  94.473974 1.233681  95.823352 2.185075   6  
  17  4   5    4   1    5      7     98.505487 1.099859 100.121408 0.302119 100.537891 3.467814   6  
  18  3   5    2   0    6      3    104.502745 0.733116 105.752194 0.860514 106.735083 3.267900   6  
  19  2   5    4   0    7      7    110.500048 1.549653 112.565773 0.060025 112.749033 3.251246   6  
  20  4   5    4   1    5      7    116.497323 0.699983 117.713420 0.330525 118.163225 3.834250   6  
  21  1   5    4   0    5      8    122.494604 0.683316 123.694044 1.683002 125.493244 2.501483   6  
  22  1   5    1   1    6      7    128.491874 1.099661 130.107803 0.100148 130.324388 3.667560   6  
  23  4   5    4   1    6      8    134.505819 1.033086 136.055098 0.874758 137.054670 2.951378   6  
  24  2   5    4   0    6      7    140.503088 1.249706 142.268972 0.399475 142.785400 3.217938   6  
