%% MetaTwins_RDMsc_training for 'pengzibo': starting at _feedback (       48.0000000000).2-Jun-2019 16:31:25 for '7.375787e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  50  4    4   1    0    8    2.499057   0    0  1.466524   4.114961 0.432476   4.664760 0.999539   5.664298   6.663844 1.335453   6  
   2  50  4    4   1    0    8    8.496350   0    0  1.099974   9.745788 0.421220  10.295531 0.999548  11.295079  12.294613 0.701969   5  
   3  45  2    2   1    0    8   13.510740   0    0  1.266672  14.960083 0.432367  15.509827 0.999549  16.509376  17.508924 0.502030   5  
   4  45  3    3   1    0    8   18.508479   0    0  1.549760  20.207704 0.419309  20.740793 0.999555  21.740348  22.739892 1.268804   6  
   5  40  1    1   1    0    8   24.505750   0    0  1.100086  25.738393 0.208115  26.071711 0.999552  27.071263  28.070809 0.935174   5  
   6  40  4    3   0    0    8   29.503493   0    0  1.333263  31.002813 1.648056  32.768685 0.999535  33.768220  34.767764 1.235947   7  
   7  40  4    4   1    0    8   36.500311   0    0  1.083435  37.716438 0.496775  38.332810 0.999560  39.332370  40.331914 0.668635   5  
   8  40  3    3   1    0    8   41.514709   0    0  1.166504  42.797458 0.419646  43.330546 0.999561  44.330107  45.329645 0.685299   5  
   9  36  4    4   1    0    8   46.512436   0    0  1.516420  48.145033 0.318419  48.578167 0.999554  49.577721  50.577276 1.435397   6  
  10  36  1    1   1    0    8   52.493059   0    0  0.950006  53.559239 0.169659  53.842458 0.999542  54.842000  55.841550 1.151572   5  
  11  32  2    2   1    0    8   57.490805   0    0  1.100079  58.723582 0.344531  59.190041 0.999545  60.189586  61.189121 0.801764   5  
  12  32  3    3   1    0    8   62.488535   0    0  0.966784  63.587912 0.201145  63.904568 0.999549  64.904117  65.903656 1.084998   5  
  13  28  2    2   1    0    8   67.502937   0    0  0.999923  68.619090 0.285916  69.018910 0.999556  70.018466  71.018001 0.985072   5  
  14  28  2    2   1    0    8   72.500659   0    0  1.050074  73.666806 0.083889  73.866714 0.999550  74.866264  75.865799 1.135017   5  
  15  25  1    1   1    0    8   77.498407   0    0  0.850144  78.464626 0.107880  78.697860 0.999541  79.697401  80.696945 1.301637   5  
  16  25  3    3   1    0    8   82.496134   0    0  0.816837  83.429038 0.334904  83.878831 0.999555  84.878387  85.877922 1.118426   5  
  17  22  3    3   1    0    8   87.493867   0    0  0.900174  88.510068 0.143795  88.776612 0.999550  89.776162  90.775715 1.218383   5  
  18  22  4    4   1    0    8   92.508259   0    0  1.516524  94.140846 0.205066  94.474033 0.999535  95.473569  96.473120 0.535364   5  
  19  19  4    4   1    0    8   97.505989   0    0  0.700087  98.322299 0.198345  98.638817 0.999537  99.638354 100.637905 1.368313   5  
  20  19  4    4   1    0    8  102.503730   0    0  1.033245 103.669805 0.128101 103.919745 0.999545 104.919290 105.918845 1.085100   5  
  21  17  4    3   0    0    8  107.501457   0    0  1.583135 109.200703 0.247179 109.567201 0.999534 110.566735 111.566278 1.435405   6  
  22  17  2    2   1    0    8  113.498749   0    0  0.983339 114.598248 0.164572 114.881441 0.999549 115.880990 116.880534 1.118433   5  
  23  17  2    2   1    0    8  118.513137   0    0  0.800188 119.429391 0.059821 119.612651 0.999529 120.612180 121.611722 1.401639   5  
  24  15  4    4   1    0    8  123.510868   0    0  1.849720 125.476648 0.070877 125.676553 0.999551 126.676104 127.675649 1.335454   6  
  25  15  1    4   0    0    8  129.508158   0    0  2.199546 131.840417 0.039392 131.990356 0.999539 132.989895 133.989450 1.018930   6  
  26  15  1    1   1    0    8  135.505424   0    0  1.849628 137.471214 0.031645 137.621131 0.999549 138.620679 139.620229 1.385428   6  
  27  15  2    2   1    0    8  141.486050   0    0  1.133241 142.735490 0.047221 142.902075 0.999538 143.901613 144.901172 1.084951   5  
  28  14  2    2   1    0    8  146.500444   0    0  2.016801 148.632808 0.041663 148.799391 0.999558 149.798948 150.798498 1.202038   6  
  29  14  3   -1   0    0    2  152.497720   0    0  0.000000 155.013270 0.070969 155.213159 0.999551 156.212710 157.212260 0.785596   6  
  30  14  2    2   1    0    8  158.495002   0    0  1.666394 160.277490 0.089759 160.494096 0.999544 161.493640 162.493199 0.501966   5  
  31  13  3    2   0    0    8  163.492746   0    0  2.099702 165.708400 0.106772 165.941625 0.999554 166.941179 167.940719 1.052208   6  
  32  13  3    3   1    0    8  169.506669   0    0  0.933487 170.589530 0.048157 170.756121 0.999534 171.755656 172.755201 1.251695   5  
  33  13  1    4   0    0    8  174.504411   0    0  1.433254 176.053716 0.064379 176.236968 0.999537 177.236505 178.236044 0.768604   5  
  34  13  1    1   1    0    8  179.502158   0    0  2.166006 181.784452 0.041049 181.951036 0.999550 182.950586 183.950135 1.052235   6  
  35  13  1    2   0    0    8  185.499431   0    0  1.932811 187.548495 0.098350 187.765057 0.999554 188.764611 189.764156 1.235505   6  
  36  13  2    4   0    0    8  191.496705   0    0  1.383031 193.012701 0.248196 193.379181 0.999561 194.378742 195.378276 0.618672   5  
  37  14  1    3   0    0    8  196.511112   0    0  1.416823 198.060313 0.066709 198.243663 0.999529 199.243192 200.242754 0.768584   5  
  38  14  1    2   0    0    8  201.508844   0    0  1.549767 203.174740 0.042726 203.341337 0.999539 204.340876 205.340429 0.668650   5  
